student_id,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,study_hours_daily,self_learning_hours,motivation_level,adaptability_score,gym_frequency,family_income_lpa,resume_score,communication_skills,aptitude_score,mock_interview_score,hackathons_participated,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill,wellness_score,screen_to_study_ratio,backlog_history,attendance_percentage,cgpa,at_risk_flag
S200000,8.67,6.15,1.87,5.57,62.7,3.07,1.97,1.0,40.78,2,5.8,51.44,48.52,60.42,60.17,0,3,1,6,5.06,68.58,53.02,2.0,0,66.24,6.54,1
S200001,5.65,5.74,0.29,7.31,41.01,3.9,0.81,1.3,74.15,1,10.7,47.61,65.98,58.78,71.6,0,2,1,7,7.97,32.02,49.23,1.47,2,42.22,8.93,1
S200002,6.35,8.33,0.21,7.59,30.04,3.96,0.44,6.18,99.6,0,8.9,58.79,40.48,68.58,47.85,2,1,5,1,7.61,68.62,45.59,2.1,2,82.9,8.25,1
S200003,6.87,9.19,0.16,4.39,28.03,0.92,1.16,1.29,80.46,1,7.3,59.96,56.21,68.1,79.69,1,0,1,5,1.29,61.16,64.51,9.93,1,97.48,7.06,1
S200004,5.2,7.54,0.88,8.62,23.08,2.56,2.03,4.7,63.01,1,4.3,47.04,80.17,36.04,63.5,1,3,2,1,7.89,53.66,46.48,2.94,1,94.77,8.28,0
S200005,6.3,9.45,1.11,3.58,45.9,1.53,0.05,6.26,52.31,3,8.3,56.03,87.47,57.39,62.48,0,4,1,3,6.11,79.42,52.12,6.18,1,46.0,7.31,1
S200006,6.3,8.84,1.63,5.04,0.0,1.42,0.8,4.16,53.14,2,1.0,92.53,21.24,55.77,60.63,1,1,1,5,7.39,46.68,67.79,6.22,1,59.06,7.35,1
S200007,3.84,8.18,0.14,6.17,13.88,4.38,6.43,5.69,31.28,1,5.3,47.07,28.27,62.8,79.82,1,5,0,4,6.3,41.2,59.48,1.87,0,97.7,6.76,0
S200008,7.72,7.82,0.63,4.88,27.69,2.49,0.06,8.14,64.06,1,13.6,63.73,70.81,33.23,57.94,3,6,2,1,5.89,32.6,64.14,3.15,1,79.32,7.64,0
S200009,7.14,9.24,0.94,8.08,22.8,5.0,1.26,4.52,81.35,3,1.3,64.66,73.89,77.33,51.7,1,3,2,4,10.0,15.08,54.38,1.85,0,51.08,8.07,1
S200010,5.42,5.22,5.13,1.8,24.87,2.6,5.68,5.7,51.84,1,6.7,42.96,36.01,35.44,68.8,1,2,0,3,8.65,56.5,68.79,2.01,1,65.59,6.82,1
S200011,6.06,3.77,3.47,10.0,86.57,5.85,0.03,4.25,46.98,0,2.6,68.26,73.98,55.4,60.5,1,4,0,4,9.35,45.51,22.92,0.64,0,96.89,4.98,1
S200012,7.01,8.7,2.14,3.68,60.37,1.56,1.69,8.6,59.32,1,1.0,48.31,69.75,82.18,18.81,1,4,0,5,10.0,66.92,48.97,5.59,2,72.72,6.35,0
S200013,5.93,8.89,1.99,7.24,40.13,1.92,8.0,4.62,41.76,2,1.8,33.52,79.49,57.95,42.69,3,1,2,4,1.07,34.07,47.89,4.63,1,75.3,7.51,0
S200014,5.96,10.65,0.2,8.41,55.31,2.83,0.61,3.93,73.83,1,4.5,66.14,73.22,60.96,72.4,0,4,0,3,10.0,49.36,46.74,3.76,0,67.59,7.15,1
S200015,4.27,6.36,3.87,2.93,30.51,2.48,4.95,6.86,49.42,4,1.0,55.46,45.63,50.78,29.86,0,2,0,7,2.64,53.29,63.34,2.56,0,75.38,6.57,1
S200016,7.08,3.7,0.14,6.04,81.43,3.7,1.24,3.94,61.47,1,3.5,51.21,40.17,43.87,51.95,0,2,0,7,4.88,23.73,33.54,1.0,1,53.33,7.39,1
S200017,6.47,7.53,1.11,7.46,19.54,0.0,2.29,7.22,71.34,3,5.3,66.26,73.28,74.33,71.46,2,4,1,5,3.06,16.58,59.39,30.14,0,61.05,6.38,1
S200018,6.68,10.17,0.12,3.07,4.49,5.72,0.71,5.65,53.74,4,9.4,37.77,63.51,89.22,42.2,1,2,0,2,8.88,24.71,80.63,1.78,0,79.46,7.47,0
S200019,4.16,5.09,0.6,3.94,59.81,3.61,1.57,8.82,29.31,0,14.8,40.42,55.83,44.83,28.44,1,3,0,2,5.48,53.52,46.41,1.41,1,91.26,7.94,0
S200020,8.61,6.21,1.88,6.48,30.95,4.7,0.72,7.66,53.97,0,2.1,75.2,48.74,40.64,87.69,1,6,0,4,2.3,43.03,63.75,1.32,0,87.21,5.38,0
S200021,6.52,5.19,7.22,3.36,38.03,1.67,1.09,6.01,85.64,2,2.3,73.81,63.88,59.8,29.61,2,1,0,4,8.15,40.87,67.98,3.11,0,84.62,5.59,0
S200022,5.76,2.78,2.7,5.75,25.7,5.34,2.11,7.95,53.65,0,1.0,21.98,62.46,83.75,35.53,1,2,2,1,3.7,44.41,61.18,0.52,0,61.03,4.83,1
S200023,9.14,9.57,0.31,4.7,18.25,0.32,1.87,5.68,80.9,1,9.8,76.36,87.41,50.29,70.93,1,1,0,4,7.03,73.63,72.19,29.54,0,63.54,5.92,1
S200024,6.24,5.49,2.66,6.0,25.25,3.87,6.83,6.43,96.89,1,1.7,65.33,66.34,67.69,96.64,0,3,1,3,2.56,34.79,60.09,1.42,0,74.38,7.38,0
S200025,4.27,10.58,7.0,3.76,24.42,5.83,0.14,6.15,29.86,0,6.7,29.07,50.46,70.18,28.74,3,2,0,3,3.0,69.13,61.7,1.81,1,81.5,8.41,0
S200026,5.73,5.53,1.7,1.32,30.59,3.12,5.04,7.12,42.57,0,2.0,72.73,71.07,44.41,39.88,0,3,0,3,4.19,76.8,67.15,1.77,0,78.2,4.69,0
S200027,3.1,2.2,2.72,3.97,72.13,3.62,1.23,8.99,51.18,2,8.6,53.08,52.67,48.0,52.75,2,2,1,2,5.97,64.29,38.19,0.61,0,63.75,5.87,0
S200028,7.77,4.21,0.05,6.04,37.07,4.43,0.55,4.86,53.7,1,21.5,41.79,75.97,48.82,48.27,1,1,1,2,4.48,78.34,63.3,0.95,2,80.44,9.53,0
S200029,5.72,4.12,0.07,5.83,44.23,4.2,0.83,7.5,58.61,2,20.0,93.32,56.98,38.24,50.42,1,3,2,6,7.58,43.01,50.32,0.98,0,77.73,7.76,0
S200030,5.26,4.77,0.24,6.22,45.23,3.48,1.06,8.82,67.2,2,3.3,85.4,78.5,83.35,65.91,2,5,1,2,6.37,69.1,52.74,1.37,1,76.62,9.09,0
S200031,7.8,5.94,0.48,3.54,40.4,0.49,3.75,3.27,50.27,0,6.5,53.11,96.28,91.61,52.2,0,2,1,2,3.32,59.84,61.46,12.08,1,92.08,8.79,1
S200032,3.99,5.59,0.41,1.42,56.34,0.0,0.43,6.91,65.26,1,3.3,68.28,57.08,58.76,79.42,1,0,2,6,9.37,46.71,58.37,22.38,0,83.9,8.27,1
S200033,7.05,10.61,1.38,5.98,65.5,2.91,0.96,5.95,65.31,1,9.6,41.97,77.78,18.63,94.33,0,5,1,3,4.49,34.07,41.03,3.65,0,76.31,7.19,0
S200034,3.41,0.92,1.32,5.49,60.49,3.45,0.13,7.43,79.2,0,3.7,63.72,63.68,36.72,15.83,1,4,1,3,6.57,67.45,40.03,0.27,2,100.0,4.95,1
