student_id,previous_cgpa,previous_semester_percentage,previous_subject_avg,weak_subject_count,subject_consistency,performance_band
S100000,7.65,69.92,91.88,2,55.52,At_Risk
S100001,6.82,63.57,75.66,1,69.7,Average
S100002,7.84,72.11,61.9,1,80.49,Average
S100003,8.98,85.75,63.9,0,72.74,Average
S100004,6.7,68.4,78.91,1,48.62,Average
S100005,6.7,60.52,63.21,2,85.87,Average
S100006,9.05,90.01,50.36,1,64.83,Average
S100007,8.0,72.85,73.85,1,56.62,Average
S100008,6.39,57.31,84.03,1,77.75,Average
S100009,7.71,76.0,67.05,3,78.49,Average
S100010,6.4,64.46,77.75,2,54.13,At_Risk
S100011,6.39,64.15,60.31,1,85.8,At_Risk
S100012,7.31,64.23,69.64,1,60.58,Average
S100013,4.51,41.01,69.3,0,50.41,At_Risk
S100014,4.76,48.49,63.45,0,64.38,At_Risk
S100015,6.27,59.72,55.72,1,70.54,At_Risk
S100016,5.68,49.7,58.51,1,58.88,Average
S100017,7.41,72.21,59.09,2,80.65,Average
S100018,5.82,52.43,62.03,1,90.71,At_Risk
S100019,5.16,56.24,66.22,1,91.84,At_Risk
S100020,8.91,90.78,69.88,2,59.22,Excellent
S100021,6.71,66.13,69.86,3,62.76,At_Risk
S100022,7.09,72.78,66.67,1,65.29,Average
S100023,5.15,49.16,68.19,6,57.49,At_Risk
S100024,6.29,62.84,56.86,0,84.06,At_Risk
S100025,7.14,73.78,70.48,1,90.54,Average
S100026,5.5,53.27,47.64,1,61.01,At_Risk
S100027,7.49,70.12,54.85,1,49.33,At_Risk
S100028,6.22,52.26,54.47,2,88.28,At_Risk
S100029,6.62,62.57,60.58,2,73.56,At_Risk
S100030,6.22,62.36,71.76,3,44.99,At_Risk
S100031,9.41,93.16,70.27,1,58.07,Excellent
S100032,6.98,68.35,71.55,2,69.81,At_Risk
S100033,5.62,51.27,78.52,3,84.57,At_Risk
S100034,8.07,68.75,70.35,3,77.94,Average
S100035,5.41,49.44,54.91,1,52.5,At_Risk
S100036,7.27,68.0,68.39,2,86.8,At_Risk
S100037,4.45,41.05,55.87,2,55.27,At_Risk
S100038,5.27,52.57,63.65,0,74.26,At_Risk
S100039,7.26,76.87,73.17,0,55.4,Average
S100040,7.96,76.11,65.8,0,81.8,Average
S100041,7.22,67.75,76.36,1,63.6,Average
S100042,6.85,64.03,68.11,0,56.79,Average
S100043,6.61,63.3,48.31,2,72.28,At_Risk
S100044,5.08,44.93,62.87,1,93.27,At_Risk
S100045,6.06,58.09,76.26,1,74.11,At_Risk
S100046,6.4,62.61,73.93,2,76.4,Average
S100047,8.37,80.39,54.07,0,52.91,At_Risk
S100048,7.45,72.57,62.02,2,49.17,Average
S100049,4.71,46.46,70.69,1,49.84,At_Risk
S100050,7.42,63.41,61.21,0,47.22,At_Risk
S100051,6.5,64.29,63.59,2,59.1,At_Risk
S100052,6.12,55.5,71.24,1,96.35,Average
S100053,7.8,69.67,91.82,1,78.69,At_Risk
S100054,8.34,74.82,72.03,2,46.71,Average
S100055,8.21,79.74,77.01,1,82.68,Average
S100056,5.91,55.25,56.47,3,52.33,At_Risk
S100057,6.6,55.95,51.82,1,65.17,At_Risk
S100058,7.43,72.5,56.62,1,79.9,At_Risk
S100059,8.27,73.0,65.72,1,48.02,Average
S100060,6.38,61.14,70.95,1,71.63,Good
S100061,6.76,65.16,74.25,1,48.43,At_Risk
S100062,5.56,56.38,79.59,0,79.39,Average
S100063,5.44,58.85,84.35,3,100.0,At_Risk
S100064,8.06,71.1,40.96,1,65.23,At_Risk
S100065,8.76,83.04,55.25,1,74.31,Average
S100066,6.91,64.51,89.62,0,59.66,Average
S100067,8.3,80.63,72.54,3,76.61,Average
S100068,7.47,71.83,66.61,3,66.83,Average
S100069,6.16,57.12,39.03,3,69.29,At_Risk
S100070,7.47,69.2,51.16,2,52.5,At_Risk
S100071,9.0,81.03,79.5,1,65.35,Average
S100072,6.95,70.01,61.91,7,95.42,At_Risk
S100073,9.03,87.66,75.08,0,95.49,Good
S100074,3.59,38.0,62.79,3,71.59,At_Risk
S100075,8.07,75.41,96.37,2,52.24,At_Risk
S100076,7.11,64.95,67.43,0,78.88,Average
S100077,6.61,58.49,48.63,0,49.22,Average
S100078,7.12,69.07,75.55,1,45.19,At_Risk
S100079,4.42,37.79,68.97,2,72.63,At_Risk
S100080,6.71,71.18,59.91,1,48.24,At_Risk
S100081,7.46,65.68,70.61,1,64.14,At_Risk
S100082,8.92,85.85,81.6,0,53.87,Average
