student_id,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,last_sync_time
S100000,66.24,3.07,1.97,15.55,2024-01-28 00:00:00
S100001,42.2,3.9,0.81,18.94,2024-01-22 00:00:00
S100002,82.9,3.96,0.44,17.39,2024-04-06 00:00:00
S100003,97.48,0.92,1.16,6.05,2024-05-03 00:00:00
S100004,95.0,2.56,2.03,13.7,2024-03-27 00:00:00
S100005,46.0,1.53,0.05,19.57,2024-02-09 00:00:00
S100006,59.0,1.42,0.8,17.93,2024-03-20 00:00:00
S100007,97.7,4.38,6.43,9.53,2024-04-24 00:00:00
S100008,79.0,2.49,0.06,17.91,2024-05-09 00:00:00
S100009,51.08,5.0,1.26,21.4,2024-02-18 00:00:00
S100010,65.59,2.6,5.68,8.17,2024-02-06 00:00:00
S100011,97.0,5.85,0.03,1.28,2024-03-02 00:00:00
S100012,72.72,1.56,1.69,27.42,2024-04-01 00:00:00
S100013,75.3,1.92,8.0,17.21,2024-04-21 00:00:00
S100014,67.59,2.83,0.61,11.8,2024-04-16 00:00:00
S100015,75.38,2.48,4.95,11.56,2024-05-07 00:00:00
S100016,53.33,3.7,1.24,16.03,2024-05-01 00:00:00
S100017,61.05,0.0,2.29,22.29,2024-01-29 00:00:00
S100018,79.46,5.72,0.71,4.43,2024-02-22 00:00:00
S100019,91.26,3.61,1.57,12.19,2024-01-26 00:00:00
S100020,87.21,4.7,0.72,26.58,2024-05-28 00:00:00
S100021,84.6,1.67,1.09,20.77,2024-05-28 00:00:00
S100022,61.0,5.34,2.11,20.18,2024-05-15 00:00:00
S100023,63.54,0.32,1.87,17.85,2024-05-01 00:00:00
S100024,74.38,3.87,6.83,17.17,2024-05-19 00:00:00
S100025,81.5,5.83,0.14,11.72,2024-02-03 00:00:00
S100026,78.2,3.12,5.04,11.09,2024-04-27 00:00:00
S100027,63.8,3.62,1.23,20.64,2024-04-17 00:00:00
S100028,80.44,4.43,0.55,11.22,2024-05-15 00:00:00
