student_id,hackathons_participated,preferred_domain,career_goal,submitted_at
S100000,0,Data Science,Job,2024-02-13 00:00:00
S100001,0,Cybersecurity,Job,2023-12-25 00:00:00
S100002,2,Product/Management,Job,2024-10-01 00:00:00
S100003,1,AI/ML,Startup/Entrepreneurship,2023-11-24 10:00:36
S100004,1,Web Development,Job,2023-11-27 00:00:00
S100005,0,Web Development,Job,2023-11-19 00:00:00
S100006,1,Cybersecurity,Higher Studies,2023-12-05 00:00:00
S100007,1,AI/ML,Job,2024-01-30 00:00:00
S100008,3,Product/Management,Job,2024-03-04 00:00:00
S100009,1,Web Development,Startup/Entrepreneurship,2024-03-27 00:00:00
S100010,1,Product/Management,Higher Studies,2023-11-11 00:00:00
S100011,1,AI/ML,Startup/Entrepreneurship,2023-12-02 00:00:00
S100012,1,Web Development,Job,2023-11-07 00:00:00
S100013,3,Product/Management,Higher Studies,2023-11-18 00:00:00
S100014,0,Web Development,Job,2023-11-16 00:00:00
S100015,0,Cybersecurity,Job,2024-01-02 00:00:00
S100016,0,Cybersecurity,Job,2024-03-03 00:00:00
S100017,2,Web Development,Job,2024-01-04 00:00:00
S100018,1,Core Engineering,Job,2024-03-25 00:00:00
S100019,1,Data Science,Job,2023-12-31 00:00:00
S100020,1,Cybersecurity,Job,2024-10-03 00:00:00
S100021,2,Web Development,Job,2024-01-20 00:00:00
S100022,1,Web Development,Job,2023-12-20 00:00:00
S100023,1,Cybersecurity,Job,2023-11-01 00:00:00
S100024,0,Product/Management,Higher Studies,2023-11-17 00:00:00
S100025,3,Data Science,Job,2024-04-13 00:00:00
S100026,0,Product/Management,Startup/Entrepreneurship,2024-03-13 00:00:00
S100027,2,Web Development,Job,2024-01-24 00:00:00
S100028,1,AI/ML,Startup/Entrepreneurship,2024-03-10 00:00:00
S100029,1,Product/Management,Job,2023-11-16 00:00:00
S100030,2,Web Development,Higher Studies,2024-03-20 05:40:26
S100031,0,Web Development,Higher Studies,2023-12-24 00:00:00
S100032,1,AI/ML,Job,2023-12-24 00:00:00
S100033,0,Core Engineering,Job,2024-02-22 00:00:00
S100034,1,Web Development,Job,2023-11-22 00:00:00
S100035,3,Cybersecurity,Startup/Entrepreneurship,2024-02-25 00:00:00
S100036,2,Product/Management,Job,2023-12-24 13:52:23
S100037,0,Cybersecurity,Job,2024-02-16 00:00:00
S100038,0,Data Science,Job,2024-02-21 00:00:00
S100039,0,Data Science,Startup/Entrepreneurship,2023-11-25 00:00:00
S100040,1,AI/ML,Job,2023-12-14 00:00:00
S100041,2,Web Development,Job,2023-11-27 00:00:00
S100042,0,Web Development,Higher Studies,2024-01-26 00:00:00
S100043,1,AI/ML,Job,2023-11-06 00:00:00
S100044,2,Product/Management,Job,2023-12-27 00:00:00
S100045,2,AI/ML,Higher Studies,2024-01-28 00:00:00
S100046,3,Data Science,Job,2024-02-17 00:00:00
S100047,0,Product/Management,Job,2023-11-04 00:00:00
S100048,5,AI/ML,Job,2023-12-03 00:00:00
S100049,1,Data Science,Higher Studies,2024-02-16 00:00:00
S100050,0,Web Development,Job,2024-02-19 00:00:00
S100051,1,Web Development,Job,2024-01-17 00:00:00
S100052,1,Core Engineering,Job,2024-03-16 00:00:00
S100053,3,Web Development,Higher Studies,2023-12-21 00:00:00
S100054,2,Web Development,Startup/Entrepreneurship,2024-01-13 00:00:00
S100055,1,Cybersecurity,Higher Studies,2023-12-04 00:00:00
S100056,3,Cybersecurity,Startup/Entrepreneurship,2024-02-25 00:00:00
S100057,1,Web Development,Job,2024-03-24 00:00:00
S100058,2,Data Science,Higher Studies,2023-12-01 05:05:38
S100059,0,Web Development,Higher Studies,2024-03-19 00:00:00
S100060,3,Core Engineering,Job,2024-03-20 00:00:00
S100061,1,AI/ML,Job,2024-12-04 00:00:00
S100062,2,Cybersecurity,Job,2023-11-19 00:00:00
S100063,2,Web Development,Job,2024-03-28 03:13:48
S100064,1,AI/ML,Startup/Entrepreneurship,2024-03-20 00:00:00
S100065,1,AI/ML,Higher Studies,2023-11-12 00:00:00
S100066,1,Core Engineering,Job,2023-11-18 00:00:00
S100067,1,Cybersecurity,Job,2024-09-01 00:00:00
S100068,1,Data Science,Higher Studies,2024-03-30 00:00:00
S100069,3,Product/Management,Higher Studies,2024-01-14 00:00:00
S100070,3,Web Development,Job,2024-01-23 00:00:00
S100071,2,Product/Management,Job,2023-06-12 00:00:00
S100072,3,Web Development,Job,2024-03-02 00:00:00
S100073,3,Core Engineering,Higher Studies,2024-03-08 19:20:28
S100074,1,AI/ML,Job,2023-11-10 08:27:28
S100075,2,Data Science,Job,2023-12-25 00:00:00
S100076,1,Cybersecurity,Job,2024-04-13 00:00:00
S100077,0,Data Science,Job,2024-02-06 00:00:00
S100078,1,Product/Management,Job,2023-11-07 00:00:00
S100079,1,Cybersecurity,Higher Studies,2024-03-05 00:00:00
S100080,2,Cybersecurity,Job,2024-05-02 00:00:00
S100081,1,Product/Management,Job,2023-11-18 00:00:00
S100082,3,Data Science,Job,2023-11-03 17:34:32
S100083,2,Web Development,Higher Studies,2024-04-11 00:00:00
S100084,3,Product/Management,Startup/Entrepreneurship,2024-04-12 00:00:00
S100085,2,Product/Management,Higher Studies,2024-02-02 00:00:00
S100086,1,Core Engineering,Job,2024-04-06 00:00:00
S100087,0,Web Development,Job,2024-03-19 00:00:00
S100088,0,AI/ML,Higher Studies,2023-11-19 00:00:00
S100089,1,Core Engineering,Higher Studies,2024-03-15 00:00:00
S100090,0,Web Development,Job,2023-12-29 00:00:00
S100091,2,AI/ML,Startup/Entrepreneurship,2023-11-03 00:00:00
S100092,0,Data Science,Job,2023-11-21 00:00:00
S100093,1,Product/Management,Job,2024-02-17 00:00:00
S100094,1,Data Science,Higher Studies,2023-12-31 00:00:00
S100095,1,Cybersecurity,Job,2023-12-18 00:00:00
S100096,1,Core Engineering,Job,2024-02-26 00:00:00
S100097,0,Product/Management,Job,2023-11-24 00:00:00
S100098,1,AI/ML,Job,2023-11-21 00:00:00
S100099,3,AI/ML,Job,2024-03-08 00:00:00
S100100,1,Web Development,Higher Studies,2023-11-07 15:42:09
S100101,0,Data Science,Higher Studies,2024-02-18 00:00:00
S100102,1,Cybersecurity,Job,2024-03-02 00:00:00
S100103,0,AI/ML,Job,2024-01-30 00:00:00
S100104,1,Product/Management,Job,2024-02-15 15:54:12
S100105,3,Data Science,Job,2023-12-28 00:00:00
S100106,0,Core Engineering,Higher Studies,2024-03-22 00:00:00
S100107,2,Data Science,Job,2023-12-04 00:00:00
S100108,0,Web Development,Higher Studies,2024-03-19 00:00:00
S100109,1,Web Development,Higher Studies,2023-11-16 00:00:00
S100110,0,Product/Management,Job,2024-01-27 00:00:00
S100111,0,AI/ML,Job,2024-01-29 00:00:00
S100112,0,Cybersecurity,Job,2023-12-29 00:00:00
S100113,0,Cybersecurity,Startup/Entrepreneurship,2024-01-12 00:00:00
S100114,0,AI/ML,Startup/Entrepreneurship,2023-12-26 00:00:00
S100115,1,Product/Management,Higher Studies,2023-11-06 00:00:00
S100116,1,Data Science,Job,2024-01-26 00:00:00
S100117,0,Product/Management,Job,2024-03-28 00:00:00
S100118,3,Cybersecurity,Job,2024-06-04 00:00:00
S100119,2,AI/ML,Higher Studies,2023-12-22 00:00:00
S100120,1,AI/ML,Higher Studies,2023-12-30 05:28:49
S100121,1,AI/ML,Higher Studies,2023-12-05 00:00:00
S100122,1,Data Science,Higher Studies,2023-11-24 00:00:00
S100123,1,Web Development,Job,2024-01-22 00:00:00
S100124,2,Data Science,Higher Studies,2024-01-27 00:00:00
S100125,2,Core Engineering,Job,2024-02-28 00:00:00
S100126,1,Web Development,Higher Studies,2024-02-03 00:00:00
S100127,1,Cybersecurity,Startup/Entrepreneurship,2024-02-21 00:00:00
S100128,1,Data Science,Higher Studies,2024-03-04 00:00:00
S100129,3,Core Engineering,Job,2024-02-28 00:00:00
S100130,0,Data Science,Job,2024-02-08 00:00:00
S100131,1,Core Engineering,Job,2024-03-25 00:00:00
S100132,0,Data Science,Higher Studies,2024-12-04 00:00:00
S100133,2,Web Development,Job,2023-12-05 00:00:00
S100134,0,Web Development,Job,2024-01-05 00:00:00
S100135,3,Data Science,Higher Studies,2024-03-12 00:00:00
S100136,0,Web Development,Job,2024-02-01 00:00:00
S100137,1,Product/Management,Job,2024-04-02 00:00:00
S100138,1,Cybersecurity,Job,2024-01-23 00:00:00
S100139,0,Data Science,Job,2024-04-02 00:00:00
S100140,3,Core Engineering,Higher Studies,2023-11-19 00:00:00
S100141,0,Product/Management,Job,2024-05-04 00:00:00
S100142,0,Product/Management,Higher Studies,2023-11-17 00:00:00
S100143,1,Core Engineering,Job,2024-01-26 00:00:00
S100144,1,Web Development,Job,2024-03-04 00:00:00
S100145,0,AI/ML,Job,2024-03-05 00:00:00
S100146,0,Data Science,Job,2024-01-29 17:27:14
S100147,2,Data Science,Job,2024-03-24 00:00:00
S100148,1,Web Development,Job,2024-04-09 00:00:00
S100149,1,Product/Management,Startup/Entrepreneurship,2024-02-08 00:00:00
S100150,0,AI/ML,Job,2023-11-22 00:00:00
S100151,1,Cybersecurity,Job,2024-01-13 08:49:27
S100152,0,Data Science,Job,2024-02-15 00:00:00
S100153,3,Cybersecurity,Job,2023-12-20 00:00:00
S100154,2,Product/Management,Job,2024-02-14 00:00:00
S100155,0,Data Science,Job,2024-03-23 00:00:00
S100156,1,Cybersecurity,Startup/Entrepreneurship,2023-12-08 00:00:00
S100157,3,Web Development,Startup/Entrepreneurship,2023-12-23 04:08:32
S100158,1,Core Engineering,Job,2024-02-23 00:00:00
S100159,1,Web Development,Job,2023-11-23 00:00:00
S100160,1,AI/ML,Job,2024-02-14 00:00:00
S100161,0,Data Science,Job,2024-01-13 00:00:00
S100162,1,Core Engineering,Job,2023-11-12 00:00:00
S100163,0,Data Science,Higher Studies,2024-03-26 00:00:00
S100164,2,Core Engineering,Job,2024-03-29 00:00:00
S100165,2,Data Science,Higher Studies,2024-01-14 00:00:00
S100166,2,AI/ML,Startup/Entrepreneurship,2024-01-23 00:00:00
S100167,2,Cybersecurity,Higher Studies,2023-11-08 00:00:00
S100168,2,Data Science,Job,2024-01-02 00:00:00
S100169,1,Data Science,Higher Studies,2024-03-15 07:38:54
S100170,1,AI/ML,Job,2024-02-02 00:00:00
S100171,2,Product/Management,Job,2023-12-12 00:00:00
S100172,2,Core Engineering,Higher Studies,2023-05-12 00:00:00
S100173,2,Web Development,Higher Studies,2024-02-10 00:00:00
S100174,3,AI/ML,Job,2023-12-20 00:00:00
S100175,0,Data Science,Higher Studies,2024-02-20 00:00:00
S100176,0,Core Engineering,Job,2023-11-20 00:00:00
S100177,3,Core Engineering,Higher Studies,2023-11-15 00:00:00
S100178,2,Core Engineering,Startup/Entrepreneurship,2023-12-15 00:00:00
S100179,1,AI/ML,Job,2024-01-12 00:00:00
