student_id,previous_internal_marks,previous_assignment_score,previous_midterm_score,lowest_subject_score,assignment_completion_rate,practice_questions,next_semester_marks
S100000,37.79,40.29,57.45,65.83,84.8,31,47.21
S100001,37.27,54.18,81.2,57.65,96.73,184,68.07
S100002,27.51,61.19,61.83,51.08,57.42,3,58.7
S100003,39.64,72.25,66.45,46.84,100.0,31,61.17
S100004,23.08,85.36,76.48,48.08,84.95,167,67.65
S100005,29.77,80.41,64.06,51.34,81.65,500,56.33
S100006,19.01,52.31,35.91,26.11,65.73,103,53.9
S100007,47.47,64.42,81.65,45.98,70.45,185,58.41
S100008,33.15,71.15,85.08,69.17,74.34,1,63.63
S100009,50.0,66.07,35.7,54.1,58.61,118,58.87
S100010,41.42,65.96,48.31,52.03,75.28,50,47.38
S100011,38.58,44.16,97.38,52.65,66.62,94,41.39
S100012,30.31,52.71,68.71,47.93,90.24,45,63.32
S100013,26.63,63.96,65.06,37.96,34.31,67,38.99
S100014,39.18,23.6,58.18,40.34,76.29,24,40.6
S100015,34.43,79.61,48.51,39.46,65.48,68,45.16
S100016,24.29,49.41,61.89,30.39,80.04,27,51.42
S100017,22.87,80.3,80.59,43.13,100.0,26,54.85
S100018,27.33,78.98,64.75,49.48,100.0,32,37.01
S100019,49.57,61.84,74.76,58.59,72.58,18,48.56
S100020,50.0,85.01,93.25,38.82,77.22,20,85.02
S100021,36.64,81.15,55.71,45.59,67.43,215,39.07
S100022,36.19,65.37,69.85,47.46,77.74,48,64.07
S100023,32.31,63.67,81.07,43.87,91.04,76,22.5
S100024,27.52,86.46,50.07,47.03,60.29,68,38.63
S100025,46.0,73.48,67.85,64.68,100.0,25,50.46
S100026,49.99,85.67,94.96,18.49,93.72,0,39.46
S100027,27.85,34.17,59.56,22.74,93.06,56,35.2
S100028,34.34,71.48,82.09,46.46,85.74,142,35.5
S100029,31.4,46.34,62.74,42.81,66.45,9,21.04
S100030,31.64,69.61,93.79,39.62,95.18,19,42.05
S100031,44.49,80.71,38.67,40.96,75.2,195,86.2
S100032,24.5,96.09,66.04,54.46,54.67,132,43.66
S100033,38.73,55.93,41.34,70.65,81.19,4,30.1
S100034,40.83,62.11,53.79,55.66,62.61,83,51.26
S100035,33.86,68.57,53.69,25.54,70.92,58,33.69
S100036,42.14,55.38,60.73,56.3,90.6,36,49.47
S100037,36.18,84.68,45.99,22.95,78.21,56,31.45
S100038,44.74,68.95,63.85,47.72,79.44,13,45.07
S100039,22.82,71.83,72.37,42.59,97.53,248,63.92
S100040,32.21,79.3,40.49,48.0,46.16,15,68.23
S100041,34.43,68.92,54.84,55.37,96.87,16,54.0
S100042,13.62,57.74,100.0,39.22,82.21,37,50.82
S100043,26.31,69.05,70.27,33.85,78.96,19,44.47
