student_id,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,motivation_level,adaptability_score,gym_frequency,wellness_score,screen_to_study_ratio,extracurricular_hours,survey_date
S100000,8.67,6.15,1.87,5.57,62.7,1.0,40.78,2,53.02,2.0,0.86,2024-03-16
S100001,5.65,5.74,0.29,7.31,41.01,1.3,74.15,1,49.23,1.47,3.7,2024-03-04
S100002,6.35,8.33,0.21,7.59,30.04,6.18,99.6,0,45.59,2.1,0.96,2024-03-03
S100003,6.87,9.19,0.16,4.39,28.03,1.29,80.46,1,64.51,9.93,4.98,2024-02-26
S100004,5.2,7.54,0.88,8.62,23.08,4.7,63.01,1,46.48,2.94,0.91,2024-04-02
S100005,6.3,9.45,1.11,3.58,45.9,6.26,52.31,3,52.12,6.18,1.21,2024-03-18
S100006,6.3,8.84,1.63,5.04,0.0,4.16,53.14,2,67.79,6.22,8.16,2024-04-24
S100007,3.84,8.18,0.14,6.17,13.88,5.69,31.28,1,59.48,1.87,0.04,2024-03-01
S100008,7.72,7.82,0.63,4.88,27.69,8.14,64.06,1,64.14,3.15,9.42,2024-01-02
S100009,7.14,9.24,0.94,8.08,22.8,4.52,81.35,3,54.38,1.85,6.78,2024-04-26
S100010,5.42,5.22,5.13,1.8,24.87,5.7,51.84,1,68.79,2.01,9.24,2024-03-18
S100011,6.06,6.505,3.47,10.0,86.57,4.25,46.98,0,22.92,0.64,0.62,2024-03-10
S100012,7.01,8.7,2.14,3.68,60.37,8.6,59.32,1,48.97,5.59,0.94,2024-04-10
S100013,5.93,8.89,1.99,7.24,40.13,4.62,41.76,2,47.89,4.63,0.69,2024-04-29
S100014,5.96,10.65,0.2,8.41,55.31,3.93,73.83,1,46.74,3.76,1.24,2024-03-13
S100015,4.27,6.36,3.87,2.93,30.51,6.86,49.42,4,63.34,2.56,0.69,2024-04-13
S100016,7.08,3.7,0.14,6.04,81.43,3.94,61.47,1,33.54,1.0,4.57,2024-02-19
S100017,6.47,7.53,1.11,7.46,19.54,7.22,71.34,3,59.39,30.14,16.12,2024-04-08
S100018,6.68,10.17,0.12,3.07,4.49,5.65,53.74,4,80.63,1.78,4.4,2024-02-17
S100019,4.16,5.09,0.6,3.94,59.81,8.82,29.31,0,46.41,1.41,10.8,2024-04-13
S100020,8.61,6.21,1.88,6.48,30.95,7.66,53.97,0,63.75,1.32,2.39,2024-03-23
S100021,6.52,5.19,7.22,3.36,38.03,6.01,85.64,2,67.98,3.11,0.03,2024-02-19
S100022,5.76,2.78,2.7,5.75,25.7,7.95,53.65,0,61.18,0.52,2.27,2024-02-01
S100023,9.14,9.57,0.31,4.7,18.25,5.68,80.9,1,72.19,29.54,4.08,2024-04-02
S100024,6.24,5.49,2.66,6.0,25.25,6.43,96.89,1,60.09,1.42,0.3,2024-03-29
S100025,4.27,10.58,7.0,3.76,24.42,6.15,29.86,0,61.7,1.81,8.99,2024-02-22
