student_id,enrollment_date,family_income_lpa,cgpa,backlogs,failed_subjects,at_risk_flag
S100000,2023-07-31,5.8,6.54,1,0,1
S100001,2023-04-18,10.7,8.93,0,1,1
S100002,2023-04-20,8.9,8.25,0,0,1
S100003,2022-02-03,7.3,7.06,0,0,1
S100004,2021-12-02,4.3,8.28,0,0,0
S100005,2022-08-19,8.3,7.31,2,0,1
S100006,2022-05-06,1.0,7.35,0,1,1
S100007,2022-07-02,5.3,6.76,1,0,0
S100008,2021-08-27,13.6,7.64,0,0,0
S100009,2021-12-09,1.3,8.07,0,0,1
S100010,2021-08-22,6.7,6.82,0,0,1
S100011,2021-08-08,2.6,4.98,0,3,1
S100012,2022-06-17,1.0,6.35,1,1,0
S100013,2022-11-09,1.8,7.51,0,2,0
S100014,2023-06-21,4.5,7.15,0,0,1
S100015,2023-08-06,1.0,6.57,1,0,1
S100016,2022-12-24,3.5,7.39,0,0,1
S100017,2022-03-06,5.3,6.38,2,1,1
S100018,2023-05-29,9.4,7.47,0,0,0
S100019,2022-01-12,14.8,7.94,0,1,0
S100020,2023-02-26,2.1,5.38,1,0,0
S100021,2022-07-06,2.3,5.59,1,1,0
S100022,2023-06-08,1.0,4.83,0,0,1
S100023,2023-06-20,9.8,5.92,0,1,1
S100024,2023-07-26,1.7,7.38,1,0,0
S100025,2023-05-17,6.7,8.41,0,0,0
S100026,2023-06-10,2.0,4.69,0,1,0
S100027,2023-04-08,8.6,5.87,1,1,0
S100028,2021-04-11,21.5,9.53,2,0,0
S100029,2023-04-21,20.0,7.76,1,1,0
S100030,2023-01-17,3.3,9.09,0,1,0
S100031,2022-02-19,6.5,8.79,0,0,1
S100032,2021-08-09,3.3,8.27,2,1,1
S100033,2022-11-30,9.6,7.19,0,1,0
S100034,2022-11-01,3.7,4.95,2,1,1
S100035,2023-02-24,1.0,6.18,0,1,0
S100036,2021-11-09,4.0,8.2,2,0,0
S100037,2021-12-04,12.2,5.77,0,0,1
S100038,2021-11-30,1.0,7.27,2,1,0
S100039,2022-09-10,1.0,8.27,0,0,1
S100040,2022-05-08,3.9,7.67,1,0,0
S100041,2022-03-24,1.0,5.24,0,0,1
S100042,2023-08-08,3.4,6.53,1,0,0
S100043,2022-03-16,1.0,5.64,2,0,0
S100044,2021-07-04,1.0,7.47,1,0,1
S100045,2021-11-08,9.7,7.75,0,1,1
S100046,2023-03-02,1.8,5.64,0,0,1
S100047,2021-08-10,10.4,6.29,0,1,0
S100048,2022-01-23,7.3,6.83,0,1,0
S100049,2022-08-28,5.4,7.28,0,0,0
S100050,2023-08-16,1.9,7.91,2,0,0
S100051,2023-05-29,5.4,7.33,1,0,1
S100052,2022-07-30,1.0,5.8,1,0,0
S100053,2022-08-26,3.0,5.55,2,0,1
S100054,2023-05-26,1.9,6.16,0,0,0
S100055,2023-03-30,15.5,6.29,0,0,1
S100056,2021-08-08,12.4,5.38,3,0,1
S100057,2023-05-11,6.8,8.26,1,0,0
S100058,2022-08-24,5.5,7.05,3,0,1
S100059,2023-08-04,1.5,4.42,3,1,0
S100060,2023-04-22,9.4,5.33,0,0,0
S100061,2023-01-20,7.6,4.14,0,1,1
S100062,2023-07-17,1.0,8.4,1,0,0
S100063,2022-09-22,17.7,5.29,0,0,0
S100064,2023-02-20,23.3,7.29,0,0,0
S100065,2023-08-17,5.5,5.78,0,0,0
S100066,2023-01-09,6.1,7.33,2,0,0
S100067,2023-03-01,1.4,7.99,2,0,0
S100068,2022-04-01,4.6,7.13,1,0,1
S100069,2023-05-31,15.8,6.18,0,0,1
S100070,2021-11-25,4.1,6.54,1,0,0
S100071,2023-01-15,4.2,8.51,2,0,0
S100072,2022-11-22,5.0,8.38,2,0,1
S100073,2022-09-17,2.1,4.61,0,0,0
S100074,2023-02-27,1.5,7.48,0,0,0
S100075,2023-01-25,2.8,4.71,1,1,0
S100076,2023-07-02,9.3,5.81,0,0,1
S100077,2022-06-09,1.0,6.21,1,0,1
S100078,2022-05-09,1.9,5.13,0,0,1
S100079,2023-02-15,6.3,7.29,1,0,1
S100080,2021-09-21,21.5,8.49,0,0,1
S100081,2021-08-22,3.2,7.98,1,0,0
S100082,2023-03-18,2.3,5.33,1,0,1
S100083,2023-03-23,6.9,7.52,0,0,0
S100084,2022-10-24,1.0,5.25,1,0,0
S100085,2022-12-22,7.5,4.75,0,0,1
S100086,2023-03-17,1.0,5.46,1,0,0
S100087,2023-02-28,1.0,6.36,1,2,0
S100088,2021-12-20,1.7,7.28,1,0,1
S100089,2022-07-30,3.6,4.22,0,0,1
S100090,2021-11-25,1.9,8.2,1,1,1
S100091,2022-03-14,7.6,7.45,2,0,0
S100092,2022-12-19,12.0,4.72,0,0,0
S100093,2021-11-26,1.3,5.29,1,0,1
S100094,2022-04-28,8.1,5.46,0,0,1
S100095,2022-09-30,5.2,5.8,0,0,0
S100096,2021-09-30,3.3,6.49,0,0,0
S100097,2023-03-06,1.0,6.09,1,0,0
S100098,2023-07-06,6.9,6.07,1,0,1
S100099,2021-07-09,16.8,7.87,1,0,0
S100100,2023-01-19,1.1,7.26,0,1,0
S100101,2022-05-26,13.3,8.11,0,0,1
S100102,2021-01-10,1.0,4.91,2,0,1
S100103,2021-08-08,1.0,5.43,0,0,1
S100104,2022-08-31,4.4,7.57,1,0,0
S100105,2022-08-03,24.2,6.19,0,0,1
S100106,2021-04-09,2.9,6.15,1,0,1
S100107,2023-06-13,28.1,5.32,0,0,1
S100108,2022-12-13,5.9,8.11,0,1,0
S100109,2022-01-22,1.0,7.44,1,1,0
S100110,2022-09-01,15.0,8.89,0,1,0
S100111,2022-04-02,1.0,6.1,0,0,0
S100112,2023-08-13,13.4,7.11,2,1,0
S100113,2022-11-12,5.3,5.86,1,0,1
S100114,2022-03-24,2.6,6.04,1,0,1
S100115,2023-06-20,1.0,6.54,0,0,1
S100116,2022-03-12,9.4,8.33,2,0,1
S100117,2022-08-27,4.1,4.94,1,0,1
S100118,2022-06-28,4.2,7.55,0,1,0
S100119,2022-03-05,1.0,4.67,2,0,1
S100120,2022-03-29,28.4,5.02,1,0,1
S100121,2023-06-16,15.0,4.97,0,0,1
S100122,2022-08-22,6.4,6.39,1,0,1
S100123,2023-02-04,3.1,6.96,1,0,0
S100124,2022-11-23,6.1,7.35,0,0,1
S100125,2022-08-16,1.0,8.29,0,0,0
S100126,2022-08-07,1.0,9.29,2,0,0
S100127,2023-09-02,3.6,6.49,0,0,1
S100128,2023-03-16,3.1,6.11,0,0,0
S100129,2022-03-31,4.4,5.57,1,1,1
S100130,2021-07-29,2.1,5.84,0,1,0
S100131,2022-09-30,13.1,4.6,1,1,0
S100132,2021-07-26,18.5,8.58,1,0,1
S100133,2022-04-01,11.3,5.3,2,0,1
S100134,2022-09-12,1.0,7.85,1,1,1
S100135,2022-06-11,4.5,5.87,0,0,1
S100136,2022-08-22,4.3,5.2,0,1,1
S100137,2022-12-17,1.0,8.37,2,0,1
S100138,2021-11-19,13.6,7.47,0,0,1
S100139,2023-01-06,6.2,7.36,0,1,0
S100140,2021-12-14,1.0,5.79,0,1,1
S100141,2022-03-03,4.9,4.91,0,0,0
S100142,2022-03-26,4.7,5.42,0,0,0
S100143,2023-02-19,1.0,7.87,1,0,1
S100144,2022-12-15,1.3,5.96,1,1,0
S100145,2021-07-01,5.3,5.98,0,0,0
S100146,2023-08-11,1.0,7.54,1,0,1
S100147,2021-10-27,12.8,7.04,0,0,1
S100148,2021-11-28,2.9,5.05,1,0,1
S100149,2022-01-11,10.0,5.08,0,0,1
S100150,2021-09-27,27.6,6.36,0,0,0
S100151,2022-09-11,5.0,5.81,3,0,1
S100152,2021-12-26,1.0,6.84,0,0,0
S100153,2022-04-07,1.0,7.05,1,0,1
S100154,2023-08-26,1.7,9.13,1,0,0
S100155,2022-07-26,1.0,6.72,0,0,1
S100156,2021-11-11,6.1,4.77,0,0,1
S100157,2022-02-23,1.0,6.7,0,0,0
S100158,2021-09-28,6.0,5.98,0,0,1
S100159,2021-04-09,4.1,5.82,1,0,0
S100160,2021-10-09,4.4,5.4,1,0,0
S100161,2022-10-08,4.1,4.12,0,0,0
S100162,2022-11-24,20.2,6.16,1,0,0
S100163,2023-08-29,2.2,7.48,0,0,0
S100164,2023-01-29,2.6,8.72,0,1,0
S100165,2022-10-14,7.8,5.41,3,0,1
S100166,2021-09-16,7.3,6.5,1,0,1
S100167,2022-06-29,1.7,7.33,0,0,0
S100168,2023-06-30,3.1,9.55,0,0,0
S100169,2022-08-29,39.2,6.99,0,0,0
S100170,2022-02-10,1.0,7.17,0,0,0
S100171,2022-01-12,30.4,6.59,1,1,1
S100172,2022-08-16,2.0,6.77,0,0,0
