student_id,gender,age,stream_branch,degree,college_tier,city_tier,state,family_income_lpa
STU00001,Male,22,Computer Science,MCA,2,1,Karnataka,5.0
STU00002,Male,20,AI & DS,BTech,3,2,Tamil Nadu,2.47
STU00003,Female,23,Computer Science,BTech,2,3,Uttar Pradesh,3.65
STU00004,Male,25,Civil,BTech,3,2,Maharashtra,4.4
STU00005,Female,25,Civil,BE,3,3,West Bengal,12.11
STU00006,Male,24,Electronics,BE,3,3,Uttar Pradesh,12.41
STU00007,Female,20,Computer Science,BE,3,2,Karnataka,4.14
STU00008,Female,24,Computer Science,MCA,3,2,Gujarat,15.93
STU00009,Male,20,Civil,BE,3,2,Karnataka,2.97
STU00010,Male,23,AI & DS,BTech,3,3,Delhi,2.48
STU00011,Male,21,Information Technology,BTech,2,2,Karnataka,16.42
STU00012,Male,24,Information Technology,BE,3,1,Telangana,5.41
STU00013,Male,20,AI & DS,MCA,2,2,Gujarat,3.92
STU00014,Male,22,Civil,MCA,3,3,Tamil Nadu,13.95
STU00015,Female,23,Electronics,MCA,1,1,Uttar Pradesh,12.67
STU00016,Male,22,Computer Science,BTech,3,3,Telangana,5.79
STU00017,Male,24,Computer Science,BTech,3,3,Gujarat,6.65
STU00018,Female,25,Mechanical,MCA,3,3,West Bengal,7.67
STU00019,Female,25,Information Technology,MCA,1,1,Tamil Nadu,1.0
STU00020,Female,23,Civil,BE,3,1,Uttar Pradesh,4.86
STU00021,Male,24,Computer Science,BTech,1,2,West Bengal,10.59
STU00022,Male,20,AI & DS,BE,3,3,Tamil Nadu,9.09
STU00023,Male,22,Civil,BE,2,2,Uttar Pradesh,9.34
STU00024,Female,21,AI & DS,MCA,3,2,Maharashtra,10.78
STU00025,Male,23,Computer Science,BE,2,2,Telangana,13.52
STU00026,Male,24,AI & DS,MCA,3,3,Maharashtra,2.07
STU00027,Female,23,AI & DS,BE,2,3,Karnataka,8.37
STU00028,Male,25,Information Technology,MCA,3,2,Telangana,6.68
STU00029,Female,22,Mechanical,BTech,2,2,Telangana,16.36
STU00030,Male,22,Computer Science,BTech,3,2,Delhi,9.62
STU00031,Male,23,Computer Science,MCA,2,2,West Bengal,8.24
STU00032,Female,22,Civil,BTech,2,2,West Bengal,3.05
STU00033,Male,20,AI & DS,BE,3,1,Delhi,19.64
STU00034,Male,24,Computer Science,BTech,1,2,West Bengal,10.5
STU00035,Female,25,Civil,MCA,3,1,Maharashtra,1.0
STU00036,Male,21,AI & DS,MCA,3,2,Karnataka,12.07
STU00037,Female,23,Electronics,BTech,3,2,Maharashtra,20.32
STU00038,Male,21,Information Technology,MCA,3,3,West Bengal,4.33
STU00039,Female,23,Mechanical,BTech,3,2,West Bengal,13.71
STU00040,Other,25,Electronics,BE,2,3,Uttar Pradesh,6.94
STU00041,Male,23,AI & DS,MCA,3,3,Maharashtra,13.62
STU00042,Female,24,AI & DS,BE,3,2,Uttar Pradesh,7.33
STU00043,Male,23,Civil,BE,3,2,Delhi,2.29
STU00044,Male,22,Mechanical,BTech,3,2,Gujarat,8.5
STU00045,Male,24,Computer Science,MCA,2,2,Karnataka,3.88
STU00046,Male,22,Information Technology,BE,3,3,Delhi,15.91
STU00047,Female,24,Computer Science,BTech,2,3,Uttar Pradesh,16.96
STU00048,Female,20,Mechanical,BE,3,2,Gujarat,6.88
STU00049,Female,25,Electronics,BTech,3,2,Delhi,1.0
STU00050,Female,20,Computer Science,BTech,3,3,Telangana,6.26
STU00051,Male,24,Computer Science,MCA,2,2,Tamil Nadu,4.1
STU00052,Male,20,AI & DS,BTech,3,1,Karnataka,6.49
STU00053,Female,24,Civil,MCA,2,2,Delhi,2.47
STU00054,Male,24,Electronics,BTech,1,3,Telangana,21.16
STU00055,Female,23,Mechanical,BTech,3,3,Gujarat,4.67
STU00056,Female,25,Computer Science,BTech,3,3,Telangana,7.38
STU00057,Female,21,Civil,BE,1,3,Delhi,1.0
STU00058,Male,20,Electronics,BE,3,3,Delhi,1.0
STU00059,Female,21,Civil,MCA,1,3,Gujarat,11.35
STU00060,Male,25,AI & DS,BTech,2,3,Gujarat,6.81
STU00061,Male,23,AI & DS,MCA,3,3,Karnataka,12.52
STU00062,Male,25,AI & DS,BE,3,3,Delhi,8.24
STU00063,Male,24,Electronics,BTech,3,2,West Bengal,1.28
STU00064,Female,21,Computer Science,BE,3,2,Maharashtra,1.0
STU00065,Female,23,Civil,MCA,3,1,West Bengal,1.12
STU00066,Female,21,AI & DS,BTech,3,3,Karnataka,7.09
STU00067,Female,23,Mechanical,BTech,3,2,Tamil Nadu,1.0
STU00068,Male,21,Electronics,BTech,2,3,Maharashtra,7.58
STU00069,Male,20,Electronics,MCA,3,2,Karnataka,9.75
STU00070,Male,21,Information Technology,BE,3,2,Tamil Nadu,8.77
STU00071,Male,20,Mechanical,MCA,3,1,Telangana,1.0
STU00072,Female,24,AI & DS,BTech,3,2,Tamil Nadu,4.45
STU00073,Male,21,Information Technology,BE,2,1,Delhi,9.4
STU00074,Other,23,Computer Science,MCA,3,2,Delhi,7.08
STU00075,Female,24,Computer Science,BE,3,3,Gujarat,12.71
STU00076,Male,20,Computer Science,BTech,3,1,Telangana,17.48
STU00077,Male,22,Computer Science,BTech,1,3,Gujarat,5.81
STU00078,Female,24,Mechanical,MCA,3,2,Telangana,10.14
STU00079,Male,25,Electronics,BTech,3,1,Delhi,9.18
STU00080,Male,21,Electronics,BE,2,3,Delhi,3.61
STU00081,Female,24,AI & DS,BTech,2,2,Telangana,9.46
STU00082,Female,20,AI & DS,BE,2,1,Gujarat,8.5
STU00083,Male,22,Civil,BTech,1,2,Gujarat,7.46
STU00084,Female,20,AI & DS,MCA,3,3,Uttar Pradesh,1.0
STU00085,Male,23,Electronics,BE,3,1,Maharashtra,10.08
STU00086,Female,20,Mechanical,BE,3,3,Telangana,5.67
STU00087,Male,24,AI & DS,BTech,3,2,West Bengal,6.87
STU00088,Male,20,Computer Science,BTech,2,1,Telangana,6.21
STU00089,Male,25,Information Technology,BTech,2,2,Delhi,4.97
STU00090,Female,25,Mechanical,BE,2,2,Karnataka,15.7
STU00091,Female,20,Mechanical,BE,3,2,Uttar Pradesh,15.65
STU00092,Male,22,Computer Science,BE,1,3,Maharashtra,6.92
STU00093,Male,21,Computer Science,MCA,3,3,West Bengal,9.08
STU00094,Female,21,Mechanical,MCA,2,1,Tamil Nadu,4.5
STU00095,Male,25,Civil,BE,2,2,Uttar Pradesh,5.4
STU00096,Female,25,Information Technology,MCA,3,2,Gujarat,1.0
STU00097,Male,25,Electronics,BE,1,2,Delhi,7.44
STU00098,Male,22,Electronics,BE,2,2,Gujarat,13.77
STU00099,Female,20,Information Technology,BE,2,3,Tamil Nadu,10.51
STU00100,Female,24,Computer Science,BE,2,2,Delhi,6.43
STU00101,Male,22,Mechanical,BTech,2,1,West Bengal,4.4
STU00102,Female,23,Civil,BE,3,3,Maharashtra,5.78
STU00103,Female,21,Mechanical,BE,3,1,Gujarat,3.84
STU00104,Female,22,Electronics,BE,3,1,Delhi,6.98
