student_id,cgpa,backlogs,internships,dsa_problems_solved,github_repos,coding_skills_sakhare,communication_skills,aptitude_score,mock_interview_score,placement_status,company_type,work_mode,salary_lpa,offer_count,layoffs_risk_score
STU00001,6.71,3,1,656,10.0,6.0,97,100,83.0,Placed,Startup,Remote,17.36,1,62
STU00002,6.14,0,6,619,16.0,8.0,64,97,80.0,Placed,MNC,Onsite,18.22,3,55
STU00003,7.11,0,3,674,30.0,,93,83,81.0,Placed,Startup,Remote,22.08,3,79
STU00004,7.41,0,3,637,15.0,,100,96,100.0,Placed,Product-Based,Remote,20.87,1,44
STU00005,8.29,0,1,986,12.0,2.0,100,84,68.0,Placed,Startup,Onsite,20.57,3,23
STU00006,6.9,0,3,686,8.0,,87,86,70.0,Placed,Startup,Hybrid,17.63,2,24
STU00007,7.66,3,5,792,15.0,10.0,88,63,72.0,Placed,Service-Based,Hybrid,23.14,2,30
STU00008,5.98,0,2,531,14.0,8.0,100,84,96.0,Placed,MNC,Hybrid,11.43,3,5
STU00009,6.7,0,5,575,35.0,,76,78,77.0,Placed,Service-Based,Onsite,20.7,3,46
STU00010,6.99,0,3,771,11.0,,86,65,83.0,Placed,Startup,Hybrid,19.05,1,0
STU00011,7.47,0,1,683,13.0,,80,100,96.0,Placed,Service-Based,Hybrid,16.43,3,50
STU00012,6.64,2,0,628,16.0,,79,100,69.0,Placed,Startup,Onsite,16.96,1,73
STU00013,8.31,0,4,665,11.0,1.0,89,100,85.0,Placed,MNC,Onsite,21.4,1,32
STU00014,6.22,2,1,603,11.0,7.0,84,64,59.0,Placed,Startup,Hybrid,16.28,1,21
STU00015,9.9,1,3,867,27.0,,78,96,93.0,Placed,Startup,Onsite,25.14,1,19
STU00016,7.15,1,1,490,3.0,,81,100,80.0,Placed,Service-Based,Hybrid,17.87,1,15
STU00017,7.77,0,3,925,11.0,,88,76,83.0,Placed,Service-Based,Remote,22.17,1,40
STU00018,6.26,0,2,518,18.0,7.0,78,76,97.0,Placed,Startup,Hybrid,14.7,3,34
STU00019,8.83,2,2,619,23.0,,91,78,74.0,Placed,Service-Based,Onsite,19.83,1,34
STU00020,8.18,0,2,416,8.0,5.0,100,72,100.0,Placed,Startup,Remote,18.11,2,42
STU00021,8.25,1,2,474,12.0,,90,81,80.0,Placed,Startup,Onsite,19.72,1,23
STU00022,7.1,0,2,700,12.0,6.0,65,95,86.0,Placed,MNC,Hybrid,15.55,3,54
STU00023,8.25,2,0,696,3.0,10.0,100,56,90.0,Placed,Service-Based,Onsite,16.13,3,50
STU00024,6.84,0,3,798,13.0,3.0,74,70,73.0,Placed,Service-Based,Onsite,16.62,1,32
STU00025,9.39,1,1,645,2.0,,82,72,30.0,Placed,Startup,Hybrid,19.36,1,60
STU00026,8.31,0,3,760,16.0,9.0,91,88,89.0,Placed,Startup,Onsite,23.03,2,45
STU00027,7.22,0,6,654,28.0,4.0,85,100,66.0,Placed,Startup,Remote,22.71,2,29
STU00028,6.44,0,0,646,21.0,,92,78,99.0,Placed,MNC,Onsite,11.78,1,34
STU00029,8.34,1,0,749,16.0,10.0,91,87,75.0,Placed,Service-Based,Hybrid,20.29,2,50
STU00030,6.99,0,5,429,26.0,,98,70,100.0,Placed,MNC,Remote,21.4,1,34
STU00031,6.56,0,3,751,18.0,,69,100,81.0,Placed,Startup,Onsite,21.24,3,19
STU00032,6.36,0,3,664,23.0,6.0,85,96,93.0,Placed,Product-Based,Remote,16.39,1,48
STU00033,5.85,0,6,471,22.0,1.0,82,100,91.0,Placed,Service-Based,Hybrid,13.82,3,43
STU00034,6.65,1,3,604,22.0,7.0,66,97,62.0,Placed,MNC,Hybrid,17.82,2,30
STU00035,7.39,0,2,551,20.0,,92,100,100.0,Placed,Startup,Remote,22.64,3,24
STU00036,7.71,1,3,471,18.0,,81,62,83.0,Placed,Startup,Remote,19.3,2,50
STU00037,5.73,0,3,640,16.0,7.0,92,85,83.0,Placed,Startup,Hybrid,16.77,3,42
STU00038,7.11,3,2,626,10.0,3.0,80,70,86.0,Placed,Product-Based,Remote,15.43,2,27
STU00039,7.9,0,0,757,6.0,5.0,57,91,90.0,Placed,MNC,Onsite,17.04,2,28
STU00040,6.39,2,3,572,18.0,,87,46,72.0,Placed,Product-Based,Onsite,16.69,2,43
STU00041,9.09,0,1,764,19.0,,81,91,78.0,Placed,MNC,Remote,18.14,2,9
STU00042,7.6,0,3,740,18.0,6.0,95,69,92.0,Placed,Startup,Remote,20.75,1,44
STU00043,6.97,0,3,515,23.0,2.0,80,100,98.0,Placed,Product-Based,Remote,18.16,3,7
STU00044,6.14,1,5,593,35.0,,84,99,66.0,Placed,Product-Based,Onsite,20.41,3,29
STU00045,7.42,0,4,690,18.0,,87,61,91.0,Placed,MNC,Remote,20.26,1,63
STU00046,7.64,0,2,603,20.0,5.0,86,71,62.0,Placed,Product-Based,Remote,18.45,1,65
STU00047,7.69,0,5,485,18.0,5.0,98,87,92.0,Placed,MNC,Hybrid,20.9,1,43
STU00048,7.26,3,1,765,18.0,2.0,81,99,75.0,Placed,Product-Based,Remote,20.48,3,41
STU00049,7.53,1,2,622,5.0,5.0,60,91,61.0,Placed,MNC,Onsite,14.23,1,42
STU00050,6.91,1,5,721,18.0,7.0,79,90,71.0,Placed,Product-Based,Onsite,16.31,1,44
STU00051,7.94,0,4,684,14.0,8.0,72,56,57.0,Placed,Startup,Remote,19.61,3,39
STU00052,6.25,0,6,700,38.0,,90,99,83.0,Placed,MNC,Onsite,19.87,2,46
STU00053,9.74,0,1,681,7.0,7.0,100,96,86.0,Placed,MNC,Hybrid,19.61,3,46
STU00054,8.09,0,3,817,15.0,3.0,90,97,61.0,Placed,Service-Based,Remote,18.9,3,24
STU00055,7.71,2,2,597,5.0,,94,100,78.0,Placed,Service-Based,Hybrid,19.57,2,17
STU00056,7.02,0,5,711,19.0,8.0,100,73,74.0,Placed,MNC,Remote,19.02,1,37
STU00057,7.34,0,2,640,7.0,,83,74,100.0,Placed,Service-Based,Remote,20.31,3,40
STU00058,5.95,0,2,561,4.0,,100,73,67.0,Placed,Product-Based,Onsite,16.5,2,41
STU00059,8.44,0,2,644,13.0,7.0,92,100,73.0,Placed,MNC,Onsite,20.69,2,47
STU00060,7.34,1,1,715,10.0,,74,100,67.0,Placed,Service-Based,Remote,16.25,3,23
STU00061,7.48,0,4,741,21.0,7.0,89,77,100.0,Placed,Service-Based,Hybrid,20.63,1,19
STU00062,7.56,0,2,676,6.0,,79,91,70.0,Placed,Service-Based,Onsite,19.98,3,10
STU00063,7.54,1,3,653,25.0,,72,94,71.0,Placed,Product-Based,Hybrid,19.49,3,37
STU00064,7.59,1,2,732,17.0,6.0,96,62,78.0,Placed,Service-Based,Remote,17.3,3,50
STU00065,6.72,0,3,612,36.0,,95,69,100.0,Placed,MNC,Remote,19.7,3,58
STU00066,5.93,0,2,682,18.0,7.0,100,59,100.0,Placed,MNC,Hybrid,20.88,2,37
STU00067,7.6,0,0,659,27.0,,88,75,84.0,Placed,Service-Based,Hybrid,16.68,2,14
STU00068,7.4,0,1,572,18.0,,72,85,59.0,Placed,Startup,Onsite,16.75,2,19
STU00069,6.49,0,4,598,28.0,5.0,77,74,89.0,Placed,Startup,Remote,21.45,2,55
STU00070,7.49,2,0,717,2.0,,79,72,86.0,Placed,Startup,Onsite,18.61,1,39
STU00071,9.81,0,3,736,8.0,,100,100,83.0,Placed,Startup,Hybrid,20.48,1,27
STU00072,7.02,0,2,528,25.0,,96,97,76.0,Placed,MNC,Hybrid,17.43,2,30
STU00073,7.96,1,7,855,37.0,7.0,65,88,63.0,Placed,Service-Based,Remote,26.91,3,40
STU00074,7.13,0,1,758,9.0,,97,78,78.0,Placed,Product-Based,Hybrid,14.7,3,39
STU00075,8.27,0,1,545,9.0,9.0,78,81,68.0,Placed,Product-Based,Onsite,15.91,3,56
STU00076,8.26,0,3,767,23.0,,74,80,90.0,Placed,Startup,Onsite,22.69,2,29
STU00077,8.97,0,3,637,28.0,2.0,99,55,97.0,Placed,Product-Based,Hybrid,28.08,3,44
STU00078,7.65,0,3,550,32.0,5.0,98,94,90.0,Placed,MNC,Hybrid,18.32,3,38
STU00079,7.05,0,2,573,13.0,5.0,77,89,59.0,Placed,Product-Based,Remote,16.05,2,35
STU00080,6.68,0,4,556,18.0,7.0,89,81,100.0,Placed,Service-Based,Onsite,24.63,1,31
STU00081,7.17,0,1,780,11.0,3.0,92,56,76.0,Placed,Service-Based,Onsite,18.19,1,3
STU00082,7.43,0,2,869,10.0,10.0,95,68,74.0,Placed,Product-Based,Onsite,19.71,1,44
STU00083,8.08,2,3,828,25.0,,92,100,73.0,Placed,Product-Based,Onsite,22.09,3,16
STU00084,7.27,0,3,281,19.0,5.0,100,62,93.0,Placed,Service-Based,Hybrid,15.78,3,31
STU00085,7.06,0,2,595,13.0,3.0,83,68,76.0,Placed,Product-Based,Onsite,20.07,1,41
STU00086,6.76,0,4,464,20.0,7.0,90,100,96.0,Placed,Startup,Onsite,16.36,2,8
STU00087,7.13,2,3,571,38.0,7.0,86,81,88.0,Placed,MNC,Hybrid,23.48,2,24
STU00088,7.46,0,2,484,13.0,,54,68,59.0,Placed,Service-Based,Remote,20.21,3,35
STU00089,6.78,0,3,733,24.0,10.0,82,100,90.0,Placed,Startup,Hybrid,17.38,2,24
STU00090,7.1,0,3,723,24.0,9.0,90,84,80.0,Placed,Startup,Onsite,19.49,3,35
STU00091,7.04,0,2,432,19.0,9.0,93,86,61.0,Placed,Startup,Onsite,17.04,2,48
STU00092,8.16,0,3,580,15.0,,100,68,89.0,Placed,Startup,Onsite,23.78,1,45
STU00093,7.69,0,1,989,17.0,,69,52,82.0,Placed,MNC,Hybrid,19.67,3,50
STU00094,8.76,0,2,695,12.0,,93,63,100.0,Placed,Service-Based,Hybrid,19.43,1,45
STU00095,7.37,0,3,835,10.0,6.0,88,65,100.0,Placed,Product-Based,Hybrid,18.2,2,9
STU00096,8.93,1,5,850,29.0,3.0,93,93,75.0,Placed,Product-Based,Onsite,22.86,2,54
STU00097,7.82,0,4,631,18.0,,85,89,73.0,Placed,Service-Based,Remote,21.19,1,28
STU00098,7.44,0,1,670,15.0,1.0,78,89,83.0,Placed,MNC,Remote,20.13,1,0
STU00099,7.34,0,3,617,20.0,,86,100,72.0,Placed,Startup,Onsite,20.01,3,59
STU00100,8.8,0,3,924,31.0,,81,64,54.0,Placed,Service-Based,Onsite,22.31,3,30
STU00101,8.37,1,1,690,21.0,8.0,100,100,96.0,Placed,Product-Based,Hybrid,20.0,2,52
STU00102,7.34,0,1,660,8.0,9.0,95,83,83.0,Placed,MNC,Hybrid,12.76,2,42
STU00103,7.86,0,5,669,45.0,,100,52,90.0,Placed,Startup,Hybrid,24.13,3,46
STU00104,8.38,1,4,844,17.0,4.0,84,80,74.0,Placed,MNC,Hybrid,18.21,2,42
STU00105,8.34,1,2,688,3.0,,100,93,75.0,Placed,Startup,Hybrid,17.94,2,45
STU00106,6.26,1,3,621,37.0,,78,88,98.0,Placed,Product-Based,Onsite,20.2,3,33
STU00107,7.48,0,2,609,12.0,10.0,90,82,86.0,Placed,Startup,Hybrid,17.83,1,31
STU00108,8.32,0,3,810,20.0,2.0,100,100,83.0,Placed,Service-Based,Remote,25.32,1,63
STU00109,8.64,1,0,562,0.0,4.0,100,100,73.0,Placed,Service-Based,Hybrid,16.08,1,12
STU00110,7.09,0,4,728,14.0,9.0,96,72,71.0,Placed,MNC,Hybrid,21.08,1,21
STU00111,6.71,2,6,730,23.0,,70,96,63.0,Placed,MNC,Remote,21.96,1,15
STU00112,8.5,1,7,464,31.0,,82,85,74.0,Placed,Startup,Remote,23.58,1,23
STU00113,7.18,0,2,571,29.0,,90,80,100.0,Placed,Startup,Hybrid,18.97,3,11
STU00114,7.38,0,7,614,22.0,,53,75,77.0,Placed,MNC,Remote,21.91,1,45
STU00115,7.53,0,3,796,16.0,,75,75,81.0,Placed,Service-Based,Onsite,20.26,2,15
STU00116,6.51,0,1,415,18.0,2.0,80,90,79.0,Placed,MNC,Onsite,16.05,1,25
STU00117,7.56,0,7,692,38.0,5.0,86,81,69.0,Placed,MNC,Onsite,23.45,1,31
STU00118,8.22,2,1,757,18.0,,88,87,84.0,Placed,Service-Based,Remote,23.4,1,33
STU00119,6.75,0,1,598,5.0,2.0,98,53,51.0,Placed,MNC,Hybrid,17.41,3,63
STU00120,7.67,0,1,568,9.0,4.0,82,92,83.0,Placed,Startup,Hybrid,17.59,1,39
STU00121,8.97,0,2,751,14.0,4.0,100,88,73.0,Placed,Service-Based,Onsite,16.74,1,50
STU00122,7.28,0,3,653,6.0,10.0,75,67,100.0,Placed,Service-Based,Hybrid,13.06,1,35
STU00123,6.72,0,3,605,26.0,,92,82,100.0,Placed,Startup,Hybrid,22.1,3,26
STU00124,8.1,0,3,718,14.0,,100,97,77.0,Placed,Service-Based,Remote,22.5,2,31
STU00125,6.99,0,1,584,20.0,9.0,89,68,81.0,Placed,Service-Based,Hybrid,18.91,2,36
STU00126,6.43,0,1,575,6.0,6.0,88,97,95.0,Placed,Startup,Remote,14.68,2,39
STU00127,7.74,0,5,769,17.0,5.0,100,100,73.0,Placed,Startup,Onsite,19.32,3,66
STU00128,8.07,0,5,816,17.0,,90,93,64.0,Placed,Product-Based,Remote,21.46,3,44
STU00129,6.65,2,5,514,26.0,,74,91,77.0,Placed,Startup,Hybrid,17.74,1,35
STU00130,7.03,0,3,743,7.0,,91,72,100.0,Placed,Service-Based,Hybrid,17.66,2,33
STU00131,8.02,0,4,524,26.0,,84,81,79.0,Placed,Service-Based,Hybrid,21.71,2,35
STU00132,7.3,3,1,619,7.0,5.0,81,85,88.0,Placed,Startup,Hybrid,17.03,1,39
STU00133,6.71,1,4,689,22.0,,70,72,69.0,Placed,Startup,Remote,20.32,1,35
STU00134,6.51,1,3,622,24.0,,79,77,99.0,Placed,Service-Based,Remote,18.8,2,44
STU00135,9.71,0,9,896,34.0,6.0,100,98,100.0,Placed,Startup,Hybrid,30.05,2,32
STU00136,6.33,1,1,616,21.0,,90,67,100.0,Placed,Service-Based,Remote,16.13,2,40
STU00137,9.07,0,3,684,10.0,,97,66,59.0,Placed,Startup,Onsite,18.29,2,31
STU00138,7.24,0,4,756,24.0,,99,86,100.0,Placed,Service-Based,Hybrid,23.74,3,19
STU00139,7.26,0,0,586,10.0,6.0,76,81,76.0,Placed,MNC,Hybrid,15.49,3,54
STU00140,7.46,0,4,481,31.0,9.0,85,82,100.0,Placed,Product-Based,Remote,19.36,1,59
