student_id,sleep_hours,screen_time_hours,gaming_hours,study_hours_daily,stress_level,burnout_score,gym_frequency_per_week,motivation_level,physical_activity_hours_sehaj,stress_level_sehaj,lifestyle_risk_flag
STU00001,5.7,7.7,1.5,8.0,71,34,0,60,,,Normal
STU00002,5.3,8.2,0.1,5.7,52,58,6,82,,,Normal
STU00003,4.9,8.3,0.0,7.2,47,50,5,50,,,High Risk
STU00004,6.4,8.7,2.4,7.7,47,41,2,67,,,Normal
STU00005,4.8,6.9,3.6,10.2,40,68,2,66,,,High Risk
STU00006,5.5,7.3,3.6,7.5,32,55,1,76,,,Normal
STU00007,3.5,7.8,3.7,5.9,15,86,1,64,,,High Risk
STU00008,5.1,7.3,0.2,8.7,65,44,3,100,,,Normal
STU00009,5.4,11.0,1.3,6.1,54,12,4,87,,,Normal
STU00010,6.0,6.4,1.9,8.0,38,64,0,61,,,Normal
STU00011,7.9,5.8,3.2,6.4,64,28,5,72,,,Normal
STU00012,5.8,6.4,2.8,7.7,95,74,5,61,,,High Risk
STU00013,5.9,9.1,0.0,8.3,62,51,2,48,,,Normal
STU00014,5.9,7.4,3.9,6.0,26,59,1,71,,,Normal
STU00015,7.6,8.1,2.5,9.4,90,10,1,61,,,High Risk
STU00016,5.2,7.2,4.0,6.7,66,63,5,79,,,Normal
STU00017,4.5,10.7,0.0,7.3,60,49,4,63,3.2,High,High Risk
STU00018,7.4,5.8,4.7,8.4,8,56,2,82,,,Normal
STU00019,3.8,7.2,2.7,8.0,85,85,1,93,,,High Risk
STU00020,5.9,3.5,5.6,9.2,26,62,5,64,,,Normal
STU00021,7.1,9.3,6.1,7.5,84,15,1,72,,,High Risk
STU00022,5.7,3.9,3.2,6.5,50,50,2,80,,,Normal
STU00023,6.7,9.8,2.6,10.0,71,44,0,71,,,Normal
STU00024,5.6,8.2,2.4,7.2,44,26,0,62,,,Normal
STU00025,4.4,5.3,2.4,10.5,61,41,1,72,,,High Risk
STU00026,4.9,6.2,3.2,9.0,55,66,6,81,,,High Risk
STU00027,8.1,4.7,0.0,9.0,72,35,2,84,,,Normal
STU00028,7.5,9.5,1.3,7.6,64,43,2,100,,,Normal
STU00029,6.9,6.0,0.0,7.7,63,75,6,67,,,Normal
STU00030,5.1,3.9,4.4,5.4,83,75,1,45,,,High Risk
STU00031,5.3,9.2,0.0,6.5,55,62,5,68,,,Normal
STU00032,5.8,4.7,1.2,9.6,32,37,1,45,,,Normal
STU00033,6.1,7.1,5.4,7.1,31,25,6,80,,,Normal
STU00034,7.3,7.1,0.7,11.1,63,27,1,87,,,Normal
STU00035,6.0,6.2,2.6,8.3,79,41,5,53,,,High Risk
STU00036,6.0,8.6,1.0,8.0,79,9,5,74,,,High Risk
STU00037,5.9,8.4,4.2,3.9,50,46,6,60,,,Normal
STU00038,7.8,5.7,4.6,7.6,40,15,6,61,,,Normal
STU00039,6.6,7.6,0.0,8.7,52,35,0,46,,,Normal
STU00040,7.0,6.7,2.3,8.6,55,59,0,69,,,Normal
STU00041,5.4,10.2,0.0,9.3,69,40,6,74,6.3,High,Normal
STU00042,6.9,9.4,1.4,6.3,84,50,0,58,,,High Risk
STU00043,4.8,5.7,2.6,8.9,68,18,2,59,,,High Risk
STU00044,5.0,6.9,5.5,7.4,47,54,1,63,,,Normal
STU00045,4.9,6.9,0.0,5.3,78,46,0,77,,,High Risk
STU00046,7.2,7.2,1.0,7.3,65,42,0,97,,,Normal
STU00047,5.1,5.8,1.3,8.4,39,53,2,57,,,Normal
STU00048,5.6,7.4,1.1,8.1,49,60,3,64,,,Normal
STU00049,7.1,9.2,3.0,7.0,71,47,6,44,,,Normal
STU00050,7.3,3.3,0.3,8.2,82,51,1,68,,,High Risk
STU00051,6.2,6.4,1.7,7.2,52,33,0,56,,,Normal
STU00052,4.6,7.0,3.6,8.2,59,59,0,89,,,High Risk
STU00053,7.1,6.3,3.3,11.0,100,60,3,65,,,High Risk
STU00054,5.9,4.0,2.2,8.8,14,42,4,62,,,Normal
STU00055,6.7,6.9,0.6,8.3,87,57,4,68,,,High Risk
STU00056,5.6,5.6,0.5,6.7,72,26,6,60,,,Normal
STU00057,6.8,7.6,2.5,5.5,60,10,4,57,0.4,Moderate,Normal
STU00058,6.7,5.4,1.3,6.3,72,55,3,72,,,Normal
STU00059,4.4,9.8,2.5,8.8,67,41,5,46,,,High Risk
STU00060,5.3,5.6,2.1,6.5,57,58,6,84,,,Normal
STU00061,8.7,8.1,2.8,6.1,59,33,4,76,,,Normal
STU00062,7.5,7.6,3.7,7.7,100,32,2,63,,,High Risk
STU00063,6.8,4.1,5.2,12.0,25,27,6,73,,,Normal
STU00064,5.0,4.9,0.0,7.2,63,75,0,68,,,Normal
STU00065,5.6,5.0,0.9,6.7,64,41,5,73,,,Normal
STU00066,5.7,8.9,3.5,7.9,56,55,0,33,,,Normal
STU00067,6.4,7.2,2.9,6.8,45,40,0,54,,,Normal
STU00068,6.6,7.7,3.7,6.5,55,34,2,56,,,Normal
STU00069,8.3,5.0,6.4,7.2,51,59,2,70,,,Normal
STU00070,5.5,2.0,2.4,9.2,39,28,0,44,,,Normal
STU00071,4.6,5.8,1.1,7.3,38,52,1,85,,,High Risk
STU00072,6.2,8.9,1.8,4.4,66,48,5,66,,,Normal
STU00073,6.2,10.4,2.7,7.6,62,38,1,75,,,Normal
STU00074,6.0,2.6,2.8,8.9,80,53,2,74,,,High Risk
STU00075,4.5,5.7,0.4,6.5,39,73,2,100,,,High Risk
STU00076,6.4,6.4,3.1,7.6,69,56,4,73,,,Normal
STU00077,7.8,8.8,4.2,7.6,57,64,2,73,,,Normal
STU00078,6.4,8.5,2.6,9.0,33,52,2,67,,,Normal
STU00079,4.6,4.4,1.6,8.8,85,41,5,52,,,High Risk
STU00080,8.8,7.1,3.8,7.9,53,0,0,73,,,Normal
STU00081,4.9,5.1,1.3,7.8,66,54,2,36,,,High Risk
STU00082,8.2,5.9,1.7,9.5,45,38,5,52,,,Normal
STU00083,6.3,3.1,5.3,7.0,72,42,5,57,,,Normal
STU00084,8.1,5.5,4.2,8.8,82,27,0,70,,,High Risk
STU00085,6.9,10.8,2.8,8.4,28,19,0,74,,,Normal
STU00086,6.3,4.8,0.0,6.4,17,35,6,53,,,Normal
STU00087,6.7,3.8,0.2,8.3,49,49,5,92,,,Normal
STU00088,4.9,5.1,5.0,7.1,27,48,2,67,,,High Risk
STU00089,6.9,10.7,3.6,6.4,42,34,4,63,,,Normal
STU00090,6.5,3.3,0.8,5.6,90,37,1,100,,,High Risk
STU00091,8.5,10.4,2.3,9.3,64,50,3,87,4.2,Low,Normal
STU00092,5.7,6.6,2.7,8.0,0,79,4,83,,,High Risk
STU00093,5.9,9.1,2.0,6.4,83,19,3,86,,,High Risk
STU00094,5.4,8.1,3.7,10.5,28,25,4,70,,,Normal
STU00095,6.1,5.4,2.6,7.9,65,34,1,72,,,Normal
STU00096,5.7,8.8,2.4,9.3,38,16,5,77,,,Normal
STU00097,4.3,8.8,2.4,8.1,79,45,1,64,,,High Risk
STU00098,5.9,6.3,3.5,9.2,30,63,6,65,,,Normal
STU00099,6.1,7.1,4.6,8.1,70,41,5,55,,,Normal
STU00100,5.9,7.2,3.1,8.4,50,44,0,59,,,Normal
STU00101,6.9,5.4,2.0,9.3,73,49,1,90,,,Normal
STU00102,5.0,7.8,1.8,8.7,69,51,0,68,,,Normal
STU00103,6.6,11.4,1.9,7.4,40,40,2,53,5.7,High,Normal
STU00104,7.2,7.7,5.1,9.6,50,64,6,64,,,Normal
STU00105,7.1,9.2,0.5,7.5,68,45,2,77,,,Normal
STU00106,4.3,7.2,2.7,7.6,52,32,2,59,,,High Risk
STU00107,6.7,12.0,3.4,7.2,86,28,2,88,,,High Risk
STU00108,8.5,4.8,5.3,7.5,78,37,0,81,,,High Risk
STU00109,5.4,8.6,1.4,5.7,46,47,1,53,,,Normal
STU00110,6.4,11.8,1.1,7.0,100,57,6,60,,,High Risk
STU00111,6.1,5.8,3.7,10.5,82,26,3,65,,,High Risk
STU00112,6.6,4.0,0.4,7.2,46,89,3,98,3.5,Moderate,High Risk
STU00113,6.3,6.7,2.5,5.4,17,29,6,62,6.4,High,Normal
STU00114,7.3,7.8,3.4,9.4,57,30,3,71,,,Normal
STU00115,4.9,7.1,0.0,7.9,37,56,5,66,,,High Risk
STU00116,6.0,6.4,5.1,5.3,53,19,1,86,,,Normal
STU00117,6.5,5.8,2.4,7.2,40,35,3,69,,,Normal
STU00118,6.2,8.1,0.8,5.5,47,12,3,74,,,Normal
STU00119,7.8,8.7,1.1,7.4,78,31,4,72,,,High Risk
STU00120,5.7,5.1,2.9,9.0,100,66,5,99,,,High Risk
STU00121,6.1,5.4,3.1,7.8,27,40,1,66,,,Normal
STU00122,6.5,3.4,4.2,10.3,57,63,4,60,,,Normal
STU00123,6.5,8.3,4.4,3.8,95,37,2,75,,,High Risk
STU00124,5.8,6.9,3.9,6.5,5,50,4,79,,,Normal
STU00125,7.1,7.1,1.1,7.7,91,42,5,56,,,High Risk
STU00126,6.1,9.0,3.4,8.2,63,15,3,52,,,Normal
STU00127,5.5,7.1,3.4,5.8,10,54,4,77,,,Normal
STU00128,4.2,4.8,0.0,9.0,75,72,3,61,,,High Risk
STU00129,5.7,3.1,1.7,7.6,42,39,2,53,,,Normal
STU00130,5.0,6.2,2.6,8.5,43,57,1,58,,,Normal
STU00131,8.8,6.8,2.2,9.8,52,40,1,57,,,Normal
STU00132,6.0,6.0,3.3,6.9,57,47,2,55,,,Normal
STU00133,6.5,4.9,2.6,7.6,81,78,4,58,,,High Risk
STU00134,6.5,6.7,0.0,6.1,57,35,4,70,,,Normal
STU00135,6.2,6.2,3.8,10.0,16,19,5,89,,,Normal
STU00136,6.0,5.7,0.0,6.0,56,43,1,60,5.8,Moderate,Normal
STU00137,6.1,8.6,0.6,8.6,90,40,6,59,,,High Risk
STU00138,6.6,3.3,2.0,7.8,72,51,6,63,3.6,Moderate,Normal
STU00139,6.7,5.8,1.1,5.5,80,39,0,78,,,High Risk
STU00140,5.4,3.7,1.9,10.4,52,59,4,78,,,Normal
STU00141,5.1,6.9,3.0,8.2,65,71,6,67,,,Normal
STU00142,6.5,8.6,3.0,9.2,59,50,1,71,,,Normal
STU00143,5.5,6.2,4.8,8.6,55,50,0,42,5.2,Moderate,Normal
STU00144,6.4,10.1,3.8,6.0,21,67,0,66,,,Normal
STU00145,5.6,7.9,1.5,7.8,13,32,0,52,,,Normal
STU00146,7.0,7.4,5.5,8.6,42,75,5,55,,,Normal
STU00147,5.4,5.4,1.1,10.0,49,58,6,49,,,Normal
STU00148,5.5,4.3,0.0,7.8,79,35,4,100,,,High Risk
STU00149,4.1,6.7,0.0,5.1,48,67,4,74,,,High Risk
STU00150,7.1,6.0,3.3,6.8,38,55,0,100,,,Normal
STU00151,7.3,7.0,1.8,9.7,56,25,2,76,,,Normal
STU00152,4.9,7.2,6.4,6.3,55,38,4,67,3.7,High,High Risk
STU00153,9.4,4.7,4.0,8.4,70,13,6,74,,,Normal
STU00154,7.8,9.2,1.1,10.6,64,9,6,96,,,Normal
STU00155,8.1,7.5,0.9,9.2,24,46,2,91,,,Normal
STU00156,7.0,7.1,1.2,5.5,0,34,1,38,,,Normal
STU00157,7.0,6.4,0.7,7.4,64,48,3,75,,,Normal
STU00158,6.3,6.0,0.8,8.9,60,31,5,64,,,Normal
STU00159,5.5,3.0,4.3,8.0,49,29,5,89,,,Normal
STU00160,7.5,9.3,1.5,4.8,71,41,2,70,,,Normal
STU00161,6.6,7.7,0.0,7.5,47,48,1,63,,,Normal
STU00162,4.3,7.5,2.1,8.9,47,70,3,64,,,High Risk
STU00163,6.4,9.3,6.1,8.1,42,64,1,55,,,Normal
STU00164,7.7,6.3,3.9,7.6,81,69,1,66,,,High Risk
STU00165,5.4,7.0,3.1,8.2,58,31,5,66,,,Normal
STU00166,5.9,4.4,2.2,8.3,55,28,4,72,,,Normal
STU00167,6.1,4.0,0.8,8.2,55,50,1,56,,,Normal
STU00168,4.8,10.2,4.3,10.8,62,30,1,79,,,High Risk
STU00169,6.3,7.2,3.5,9.6,24,36,6,52,,,Normal
STU00170,6.7,5.2,4.1,10.5,97,4,2,57,,,High Risk
