student_id,source,assessment_term,subject,marks,max_marks,attendance_pct,grade_or_status
STU00008,Suvidya,Term Exam,Mathematics,48.0,100.0,50.0,Fail
STU00008,Suvidya,Term Exam,Science,39.0,100.0,50.0,Fail
STU00008,Suvidya,Term Exam,English,55.0,100.0,50.0,Fail
STU00008,Suvidya,Annual Final,Overall Percentage,47.33,100.0,50.0,Poor
STU00011,Suvidya,Term Exam,Mathematics,75.0,100.0,81.0,Pass
STU00011,Suvidya,Term Exam,Science,85.0,100.0,81.0,Pass
STU00011,Suvidya,Term Exam,English,36.0,100.0,81.0,Pass
STU00011,Suvidya,Annual Final,Overall Percentage,65.33,100.0,81.0,Average
STU00017,Suvidya,Term Exam,Mathematics,63.0,100.0,99.0,Pass
STU00017,Suvidya,Term Exam,Science,90.0,100.0,99.0,Pass
STU00017,Suvidya,Term Exam,English,45.0,100.0,99.0,Pass
STU00017,Suvidya,Annual Final,Overall Percentage,66.0,100.0,99.0,Good
STU00019,Suvidya,Term Exam,Mathematics,73.0,100.0,93.0,Pass
STU00019,Suvidya,Term Exam,Science,89.0,100.0,93.0,Pass
STU00019,Suvidya,Term Exam,English,90.0,100.0,93.0,Pass
STU00019,Suvidya,Annual Final,Overall Percentage,84.0,100.0,93.0,Excellent
STU00020,Suvidya,Term Exam,Mathematics,73.0,100.0,64.0,Pass
STU00020,Suvidya,Term Exam,Science,98.0,100.0,64.0,Pass
STU00020,Suvidya,Term Exam,English,81.0,100.0,64.0,Pass
STU00020,Suvidya,Annual Final,Overall Percentage,84.0,100.0,64.0,Excellent
STU00028,Suvidya,Term Exam,Mathematics,51.0,100.0,67.0,Pass
STU00028,Suvidya,Term Exam,Science,62.0,100.0,67.0,Pass
STU00028,Suvidya,Term Exam,English,48.0,100.0,67.0,Pass
STU00028,Suvidya,Annual Final,Overall Percentage,53.67,100.0,67.0,Average
STU00029,Suvidya,Term Exam,Mathematics,64.0,100.0,91.0,Pass
STU00029,Suvidya,Term Exam,Science,84.0,100.0,91.0,Pass
STU00029,Suvidya,Term Exam,English,98.0,100.0,91.0,Pass
STU00029,Suvidya,Annual Final,Overall Percentage,82.0,100.0,91.0,Excellent
STU00030,Suvidya,Term Exam,Mathematics,56.0,100.0,99.0,Pass
STU00030,Suvidya,Term Exam,Science,48.0,100.0,99.0,Pass
STU00030,Suvidya,Term Exam,English,82.0,100.0,99.0,Pass
STU00030,Suvidya,Annual Final,Overall Percentage,62.0,100.0,99.0,Average
STU00035,Suvidya,Term Exam,Mathematics,45.0,100.0,79.0,Pass
STU00035,Suvidya,Term Exam,Science,98.0,100.0,79.0,Pass
STU00035,Suvidya,Term Exam,English,54.0,100.0,79.0,Pass
STU00035,Suvidya,Annual Final,Overall Percentage,65.67,100.0,79.0,Average
STU00039,Suvidya,Term Exam,Mathematics,84.0,100.0,92.0,Pass
STU00039,Suvidya,Term Exam,Science,84.0,100.0,92.0,Pass
STU00039,Suvidya,Term Exam,English,69.0,100.0,92.0,Pass
STU00039,Suvidya,Annual Final,Overall Percentage,79.0,100.0,92.0,Good
STU00042,Suvidya,Term Exam,Mathematics,56.0,100.0,92.0,Pass
STU00042,Suvidya,Term Exam,Science,88.0,100.0,92.0,Pass
STU00042,Suvidya,Term Exam,English,53.0,100.0,92.0,Pass
STU00042,Suvidya,Annual Final,Overall Percentage,65.67,100.0,92.0,Average
STU00044,Suvidya,Term Exam,Mathematics,46.0,100.0,55.0,Fail
STU00044,Suvidya,Term Exam,Science,45.0,100.0,55.0,Fail
STU00044,Suvidya,Term Exam,English,39.0,100.0,55.0,Fail
STU00044,Suvidya,Annual Final,Overall Percentage,43.33,100.0,55.0,Poor
STU00045,Suvidya,Term Exam,Mathematics,74.0,100.0,79.0,Pass
STU00045,Suvidya,Term Exam,Science,51.0,100.0,79.0,Pass
STU00045,Suvidya,Term Exam,English,79.0,100.0,79.0,Pass
STU00045,Suvidya,Annual Final,Overall Percentage,68.0,100.0,79.0,Good
STU00049,Suvidya,Term Exam,Mathematics,48.0,100.0,82.0,Pass
STU00049,Suvidya,Term Exam,Science,67.0,100.0,82.0,Pass
STU00049,Suvidya,Term Exam,English,96.0,100.0,82.0,Pass
STU00049,Suvidya,Annual Final,Overall Percentage,70.33,100.0,82.0,Good
STU00051,Suvidya,Term Exam,Mathematics,99.0,100.0,71.0,Pass
STU00051,Suvidya,Term Exam,Science,67.0,100.0,71.0,Pass
STU00051,Suvidya,Term Exam,English,91.0,100.0,71.0,Pass
STU00051,Suvidya,Annual Final,Overall Percentage,85.67,100.0,71.0,Excellent
STU00065,Suvidya,Term Exam,Mathematics,81.0,100.0,50.0,Pass
STU00065,Suvidya,Term Exam,Science,41.0,100.0,50.0,Pass
STU00065,Suvidya,Term Exam,English,37.0,100.0,50.0,Pass
STU00065,Suvidya,Annual Final,Overall Percentage,53.0,100.0,50.0,Average
STU00069,Suvidya,Term Exam,Mathematics,38.0,100.0,60.0,Pass
STU00069,Suvidya,Term Exam,Science,69.0,100.0,60.0,Pass
STU00069,Suvidya,Term Exam,English,43.0,100.0,60.0,Pass
STU00069,Suvidya,Annual Final,Overall Percentage,50.0,100.0,60.0,Average
STU00070,Suvidya,Term Exam,Mathematics,92.0,100.0,80.0,Pass
STU00070,Suvidya,Term Exam,Science,59.0,100.0,80.0,Pass
