cgpa,backlogs,failed_subjects,family_income_lpa,previous_cgpa,previous_semester_percentage,previous_subject_avg,weak_subject_count,subject_consistency,previous_internal_marks,previous_assignment_score,previous_midterm_score,lowest_subject_score,assignment_completion_rate,practice_questions,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,motivation_level,adaptability_score,wellness_score,screen_to_study_ratio,extracurricular_hours,next_semester_marks
4.6,0,0,1.0,7.28,78.86,57.35,2,91.85,39.13,57.5,63.12,49.97,83.37,317,100.0,2.25,7.18,29.02,5.88,3.0,0.94,5.55,67.86,3.32,94.52,41.55,1.33,0.64,66.03
5.77,0,1,1.8,6.03,52.7,63.57,1,48.51,47.05,56.65,62.99,29.84,99.81,500,73.35,3.5,1.42,5.56,6.82,6.08,1.28,5.92,68.61,5.62,93.89,42.37,1.74,14.8,38.6
6.66,0,0,1.5,6.69,57.1,60.03,1,70.93,39.03,50.97,100.0,43.95,85.33,27,86.45,3.81,1.88,15.52,6.75,6.2,0.1,2.59,37.53,8.74,43.71,71.12,1.62,0.2,57.1
7.6,3,0,23.8,4.99,48.35,58.0,0,53.4,24.83,68.06,66.56,27.06,59.71,5,85.97,3.39,0.67,10.63,5.92,5.34,1.51,8.09,57.2,6.55,91.84,41.38,1.58,4.5,14.52
6.31,3,0,6.8,7.91,74.42,74.42,0,91.1,50.0,73.17,73.98,65.45,85.99,29,65.86,2.48,0.15,6.74,5.98,5.02,0.65,2.66,80.2,5.97,60.97,49.69,2.03,0.6,61.84
7.94,0,1,10.0,3.99,40.7,78.35,0,82.21,27.1,48.4,51.89,61.6,54.33,27,80.71,2.6,2.16,28.12,9.08,6.81,2.94,7.6,42.87,7.9,57.33,64.75,2.62,1.35,38.97
9.21,0,0,7.4,5.38,52.27,65.16,4,82.0,30.76,88.69,63.94,52.38,100.0,125,54.42,2.94,6.98,23.48,6.08,5.0,2.08,4.05,12.67,6.7,20.55,68.15,1.7,0.21,51.3
6.75,0,0,3.4,5.78,50.29,55.72,3,71.52,41.44,89.95,74.47,30.19,81.89,31,75.18,3.15,0.44,17.19,7.16,6.27,4.35,3.12,22.91,6.71,84.4,80.13,1.99,5.27,52.13
4.38,1,1,10.1,7.65,68.19,62.88,3,49.33,32.85,100.0,88.46,29.75,81.16,9,78.2,2.38,2.01,31.05,6.9,7.75,1.2,3.64,27.4,6.39,45.65,66.21,3.25,1.81,51.57
7.79,1,0,12.1,5.97,55.4,69.15,2,57.27,44.23,59.85,61.06,41.23,67.95,27,75.19,4.81,1.22,9.33,5.18,5.79,2.71,4.94,22.98,5.91,59.86,67.24,1.21,2.59,45.47
10.0,0,0,17.9,6.15,59.21,56.82,1,74.73,36.58,79.14,55.3,35.93,69.57,56,71.04,3.04,0.27,19.45,7.35,7.21,1.23,9.61,34.2,8.47,65.48,56.19,2.37,6.44,54.95
9.55,0,0,3.1,6.68,59.35,65.22,0,91.44,35.47,64.46,81.88,57.28,57.31,104,68.8,2.66,0.12,16.08,4.8,3.56,0.69,4.99,56.2,9.73,42.69,48.95,1.34,7.65,57.57
6.22,0,0,6.0,5.96,50.19,80.36,2,56.03,35.89,73.11,31.37,53.91,83.17,58,64.21,0.04,4.7,6.73,7.9,7.83,1.36,7.5,37.78,5.72,33.22,55.02,31.31,1.99,43.77
3.56,0,0,1.0,6.5,58.48,100.0,2,82.59,23.42,57.34,40.05,80.43,100.0,100,70.93,2.72,1.49,13.66,8.7,6.51,0.43,6.53,48.04,5.31,65.91,55.55,2.17,12.29,59.7
5.89,0,0,1.0,6.8,67.0,80.74,1,54.72,30.9,60.8,73.53,47.52,64.42,20,71.56,2.0,0.42,11.38,5.89,4.7,1.68,8.38,100.0,6.64,47.23,16.39,2.35,3.35,38.48
5.69,0,0,14.2,7.57,68.98,80.52,3,64.6,43.68,52.18,38.34,54.29,97.55,90,100.0,4.11,1.26,22.24,6.39,3.76,2.41,6.01,69.29,6.64,48.35,42.83,0.91,11.34,71.52
5.85,2,0,1.2,8.25,82.77,66.91,1,86.07,29.98,73.07,79.34,56.78,50.52,27,69.44,0.0,0.35,11.2,4.63,4.88,0.01,2.14,51.51,7.44,52.07,60.86,19.5,0.32,39.67
7.91,1,0,1.6,7.48,71.4,50.57,2,93.33,31.51,68.52,59.67,37.95,84.71,299,89.02,2.69,0.93,37.05,5.36,4.68,0.13,4.74,67.57,7.74,94.73,42.34,1.74,4.09,68.64
7.21,1,1,1.0,7.55,77.91,74.62,3,66.82,31.92,81.98,74.02,60.06,69.58,16,79.0,3.12,4.93,9.27,6.45,3.49,2.66,7.74,60.16,5.53,29.05,40.66,1.12,1.94,34.38
8.03,0,0,10.1,6.48,59.17,67.5,0,71.94,36.9,98.99,81.69,44.64,87.15,74,78.44,3.08,0.6,13.97,7.05,6.73,0.31,7.65,35.78,5.84,66.91,54.0,2.19,11.59,62.29
7.41,0,0,4.1,7.44,71.17,70.72,3,65.89,29.74,75.36,58.62,50.53,82.38,19,43.6,4.23,3.79,21.64,5.55,1.39,1.75,10.0,49.45,10.0,72.75,32.74,0.33,0.5,48.82
4.88,1,1,5.4,5.25,40.94,69.6,0,90.75,29.63,57.62,57.33,61.06,91.04,169,73.2,5.26,1.52,17.87,5.95,8.85,0.82,6.24,56.67,4.6,40.42,45.42,1.68,1.06,39.52
8.28,0,1,2.2,6.9,74.94,57.74,2,96.68,36.53,59.07,41.72,51.64,88.01,146,76.8,2.05,1.92,16.57,5.61,7.58,0.52,6.84,36.74,7.94,64.72,49.19,3.69,3.35,52.49
8.76,2,1,7.4,6.71,67.06,89.33,1,58.15,35.74,75.87,74.84,60.7,77.04,77,60.71,1.69,4.5,5.03,8.28,4.18,0.08,7.16,37.77,2.62,75.07,58.71,2.47,1.92,45.19
7.06,0,0,6.6,5.78,52.82,47.1,1,71.12,38.83,84.16,88.86,29.32,77.48,101,78.14,2.76,2.56,7.93,8.07,6.49,3.64,8.13,64.4,2.23,78.4,37.49,2.35,4.19,44.24
6.99,1,0,9.4,5.01,50.58,58.18,3,62.01,20.29,78.08,62.18,35.56,88.2,19,76.09,2.77,2.06,9.23,7.07,5.11,2.72,9.02,40.85,10.0,73.56,50.31,1.84,1.19,28.37
5.42,1,0,14.6,7.74,72.31,81.14,1,69.73,37.88,71.12,96.34,55.89,95.37,98,83.13,2.74,2.19,11.41,4.71,8.54,0.54,5.04,57.82,2.89,40.92,50.45,3.12,1.56,75.44
8.46,1,0,3.9,5.99,58.0,57.45,0,61.49,33.77,55.76,57.21,34.23,40.54,130,59.25,0.03,3.06,1.41,5.33,5.03,0.11,6.35,56.28,8.07,45.1,46.93,20.13,0.04,24.27
4.2,2,0,6.5,6.39,58.68,58.17,1,74.34,34.29,67.28,41.92,45.65,80.51,23,73.63,3.22,2.59,9.77,5.37,3.56,1.48,6.07,47.07,9.64,66.4,45.67,1.11,9.72,37.76
9.66,0,0,1.6,6.53,67.99,65.95,5,65.24,39.45,98.25,78.98,42.62,77.75,4,91.62,4.84,6.89,11.13,5.98,5.96,2.06,6.17,36.84,2.76,66.44,55.24,1.23,3.72,40.83
5.26,4,1,1.7,7.19,71.73,61.15,2,58.53,36.87,48.64,61.75,32.6,87.73,22,73.83,3.58,6.28,16.15,5.2,4.6,2.0,6.07,43.09,7.5,45.61,51.19,1.29,2.13,16.85
7.12,0,0,7.6,7.28,70.66,68.64,0,78.84,31.52,61.82,96.9,58.96,92.72,5,76.36,4.84,5.0,24.66,6.3,9.31,0.54,6.59,23.36,6.02,64.43,61.51,1.92,3.83,62.65
6.35,0,0,1.1,7.35,68.6,63.52,1,49.67,50.0,71.86,70.53,31.55,100.0,186,41.82,4.17,5.63,21.16,3.7,6.63,0.33,7.21,44.78,6.21,85.99,36.77,1.59,5.41,94.62
7.69,2,0,4.3,7.45,72.4,58.85,2,39.85,28.46,68.83,85.08,25.32,83.82,52,72.49,2.86,2.64,19.92,6.33,7.53,0.14,8.03,20.76,6.28,45.69,60.87,2.63,10.36,39.25
8.61,1,0,2.9,3.5,39.39,69.78,4,72.61,32.77,56.07,83.3,48.5,85.29,29,82.11,1.64,0.66,19.61,3.06,6.42,0.28,8.56,24.23,3.89,70.49,48.54,3.92,2.29,34.51
5.34,1,0,5.1,7.09,62.07,84.87,4,59.93,31.76,75.29,53.69,55.97,39.94,160,56.44,1.96,0.53,19.19,7.74,9.5,0.51,7.54,25.36,1.0,42.72,67.39,4.84,3.64,61.23
6.87,2,0,6.8,8.62,84.9,71.76,1,74.16,30.61,84.82,70.2,51.13,67.79,13,68.99,2.48,1.93,21.72,8.96,7.39,0.83,7.32,50.19,3.25,100.0,51.87,2.98,1.66,66.53
6.29,1,0,1.0,5.64,54.5,66.57,2,75.91,33.07,52.46,31.13,49.95,89.1,299,73.57,1.18,0.58,11.96,7.69,6.41,0.74,3.89,59.55,5.83,77.02,55.93,5.42,3.08,38.53
9.37,1,0,6.7,7.06,71.1,85.81,0,75.11,30.96,78.83,71.51,72.9,79.88,173,68.0,2.77,1.92,14.47,7.63,7.84,1.44,6.46,54.47,2.78,56.04,49.53,2.84,2.4,68.33
5.17,2,1,1.0,8.09,86.15,39.48,2,63.87,39.25,55.41,82.53,16.41,70.42,234,75.01,5.19,0.51,17.23,6.76,3.85,0.37,5.57,34.95,5.66,71.89,66.83,0.74,16.87,53.72
6.36,0,1,2.6,6.31,60.47,51.17,1,52.5,28.14,46.92,83.22,20.43,74.64,223,96.23,6.12,1.88,20.08,7.61,5.27,6.63,3.72,0.0,2.44,59.86,88.69,0.86,4.42,59.76
7.2,1,1,6.4,7.66,67.31,61.07,0,79.25,32.89,73.62,91.21,43.58,80.32,21,87.42,1.53,2.27,12.93,5.81,6.51,1.12,8.3,46.55,2.78,48.14,41.46,5.29,3.06,55.67
9.61,0,0,3.1,7.93,82.77,70.59,1,84.83,50.0,95.95,74.4,62.41,65.61,106,88.56,4.8,0.24,26.99,5.18,2.2,8.0,5.13,76.3,9.25,80.11,40.95,0.46,0.09,94.05
6.11,2,1,4.1,7.95,74.14,68.06,3,77.69,33.8,62.18,64.4,51.79,78.39,148,86.95,4.11,3.25,18.56,5.96,3.88,0.0,7.06,27.7,3.93,38.15,64.31,0.95,1.63,52.19
7.8,1,1,1.0,7.7,67.75,59.8,2,68.46,25.41,94.62,79.81,39.21,73.0,0,88.03,4.12,4.03,19.39,6.93,6.33,1.92,6.01,40.19,10.0,49.89,52.51,1.54,4.81,45.5
5.7,2,0,3.5,5.73,52.0,75.27,2,88.92,30.43,74.71,75.71,69.67,74.26,135,60.39,2.09,1.23,19.19,7.86,4.32,0.55,5.1,52.87,7.94,47.92,52.62,2.06,1.73,49.8
5.46,2,2,7.7,7.44,71.54,60.74,1,44.12,33.86,100.0,75.19,25.9,100.0,62,67.89,2.81,1.29,23.16,7.77,8.02,0.42,8.2,73.5,4.96,70.22,42.77,2.85,1.91,37.94
5.86,0,0,7.2,8.08,73.42,73.91,1,64.15,29.38,70.21,43.38,51.5,72.37,11,70.11,2.73,8.0,8.66,8.64,4.63,2.16,9.05,34.47,4.52,75.29,58.07,1.7,3.05,53.52
8.51,0,0,2.1,5.78,58.28,57.66,3,63.54,42.47,94.75,42.69,27.73,92.25,138,84.57,2.88,3.76,23.04,3.92,3.53,2.54,7.6,35.02,6.22,61.86,45.29,1.23,4.75,55.37
9.11,1,0,1.0,6.31,62.9,69.91,0,43.65,33.73,98.89,55.61,37.03,68.32,60,68.26,2.66,0.84,20.83,5.62,6.81,0.43,7.22,21.64,7.11,60.92,54.07,2.56,2.29,57.21
7.69,0,1,13.1,6.03,57.3,62.94,2,52.59,13.32,55.5,54.31,34.28,82.56,104,53.39,4.95,4.14,7.72,8.14,9.51,1.21,5.94,39.59,8.09,95.47,59.55,1.92,1.46,19.75
7.19,0,1,1.9,3.92,35.0,62.05,1,67.2,35.78,82.36,81.56,38.71,99.44,60,86.79,3.75,0.71,8.66,7.68,7.9,0.86,7.73,49.95,6.26,75.35,46.33,2.11,5.49,34.24
5.77,0,0,5.8,7.34,78.38,74.1,2,95.29,20.96,60.94,60.6,68.93,70.04,96,100.0,1.32,1.08,23.49,8.47,4.56,0.87,3.75,0.0,3.63,58.81,83.65,3.45,1.47,62.12
7.56,2,2,1.0,5.6,44.79,67.4,1,57.77,25.54,84.7,57.04,34.78,68.43,61,80.64,1.62,8.0,5.64,7.31,3.86,2.95,7.35,49.82,4.57,83.97,48.06,2.39,0.65,19.02
9.87,0,0,2.6,4.82,39.59,66.55,3,92.01,25.55,59.35,34.44,60.87,100.0,102,98.76,6.59,3.69,11.28,8.24,6.29,8.0,6.6,57.39,5.44,62.89,52.85,0.95,5.29,25.0
5.71,0,0,3.7,5.93,60.17,82.42,1,92.65,41.32,72.17,38.3,73.23,49.38,19,69.15,2.03,1.03,10.99,5.52,3.66,3.07,5.7,60.89,6.63,53.41,50.41,1.8,12.41,50.26
6.64,0,0,6.3,6.16,64.92,57.06,1,75.75,35.94,51.47,70.06,37.38,71.05,51,63.65,1.22,1.21,18.35,4.68,1.12,1.58,1.0,66.96,8.53,81.74,48.79,0.92,0.21,56.85
7.78,1,0,1.0,5.62,52.52,74.24,0,63.97,37.57,54.81,82.91,52.91,95.21,62,67.58,5.03,0.63,6.71,3.0,6.88,1.76,9.15,13.1,4.7,84.53,50.61,1.37,1.95,58.37
4.8,0,0,4.5,6.22,58.7,56.93,0,56.5,15.61,98.74,66.5,24.94,67.24,35,77.91,2.86,0.9,10.0,6.36,3.35,0.25,5.35,39.97,3.23,66.57,60.07,1.17,0.19,36.13
6.18,2,0,1.5,7.74,73.22,55.61,0,68.86,20.59,70.41,41.37,29.04,75.34,45,73.04,5.13,1.7,10.75,3.12,6.51,1.96,2.64,69.62,4.99,46.85,41.67,1.29,4.34,30.78
6.68,0,2,20.3,6.76,61.34,57.26,0,71.91,14.2,38.77,64.76,40.61,86.41,181,87.32,0.0,1.72,17.38,6.12,8.0,2.48,9.11,9.54,7.83,39.82,59.22,31.99,11.71,23.82
