sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,study_hours_daily,self_learning_hours,motivation_level,adaptability_score,gym_frequency,family_income_lpa,resume_score,communication_skills,aptitude_score,mock_interview_score,hackathons_participated,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill,wellness_score,screen_to_study_ratio,backlog_history,attendance_percentage,cgpa,at_risk_flag
6.3,4.62,0.71,6.13,64.89,3.8,0.48,4.66,37.03,2,4.3,40.31,51.16,71.73,67.72,0,5,1,5,7.44,33.13,40.11,1.22,0,61.07,7.04,1
7.05,6.25,0.76,4.64,34.85,0.64,3.07,6.54,69.3,2,13.0,53.93,46.14,47.27,69.45,1,2,1,2,1.75,48.13,56.44,9.78,2,70.0,3.76,0
7.64,8.76,0.83,7.53,43.88,1.25,5.35,2.86,48.41,0,15.3,57.97,53.44,88.42,64.24,2,0,2,8,5.41,9.59,58.02,7.01,0,64.7,6.5,1
6.05,0.0,0.0,5.05,72.68,2.46,0.31,2.97,59.95,2,9.5,51.69,70.65,54.91,27.04,3,1,1,6,2.44,73.5,42.03,0.0,0,86.21,7.35,0
5.55,7.74,2.69,3.77,35.31,2.94,2.67,3.61,36.28,1,6.0,67.36,51.26,48.06,47.97,3,6,3,4,1.74,63.73,57.1,2.63,0,69.24,5.33,1
6.71,9.87,1.37,4.88,48.95,2.54,1.19,5.2,68.26,1,3.2,90.56,57.89,55.47,69.18,2,4,0,4,10.0,58.41,54.66,3.88,0,85.13,6.57,1
5.89,3.94,0.11,4.9,43.0,0.8,0.03,8.77,60.65,1,1.0,56.85,83.67,75.46,94.15,1,2,1,5,5.32,84.83,59.0,4.93,0,66.02,7.95,0
7.93,4.05,1.07,6.26,14.87,2.88,0.95,7.02,80.42,2,4.0,57.5,67.36,81.45,73.5,1,2,0,2,7.34,46.3,66.05,1.4,0,69.01,5.2,0
8.71,5.75,0.11,8.55,36.03,2.71,8.0,5.58,43.42,2,1.0,28.45,39.32,53.38,54.99,1,1,0,8,0.42,40.79,58.52,2.12,1,70.6,7.44,1
3.24,9.7,1.29,7.47,40.43,2.35,0.31,3.1,32.31,2,11.0,49.6,58.32,70.54,50.83,1,3,1,3,10.0,29.61,48.45,4.13,1,64.4,8.81,1
3.0,8.79,3.1,4.73,53.32,0.78,1.88,8.16,74.97,1,3.6,65.25,12.73,65.93,90.92,1,3,2,3,3.66,58.56,34.53,11.22,0,49.71,4.83,1
10.0,5.48,3.04,5.66,57.42,5.24,1.66,1.45,66.08,0,13.5,26.68,60.18,61.58,33.28,0,0,0,2,3.82,50.93,59.33,1.05,0,73.76,5.84,1
6.72,6.505,3.91,6.9,56.45,4.05,3.16,3.36,41.13,1,4.8,40.27,72.16,74.29,46.68,0,3,0,2,6.54,26.18,47.38,1.34,0,72.51,4.28,1
6.84,11.67,1.38,6.46,83.66,1.89,3.98,6.67,73.83,2,3.8,69.09,49.94,46.91,63.7,5,1,2,5,7.12,52.03,43.26,6.16,1,97.86,4.93,0
6.14,5.62,1.91,5.88,14.09,3.2,2.07,3.63,70.3,2,4.1,41.59,58.17,56.33,70.38,1,2,1,8,8.53,51.29,69.78,1.76,1,77.01,8.73,1
7.34,8.94,1.43,7.5,28.23,4.65,0.3,6.14,65.39,2,9.7,44.5,84.62,81.23,81.1,0,1,2,8,4.49,80.76,60.82,1.92,1,92.99,6.46,0
5.34,4.01,3.28,8.27,18.69,4.14,1.11,6.44,81.87,4,3.1,20.25,96.93,46.58,21.44,2,2,0,2,4.13,50.75,48.74,0.97,0,75.83,6.21,1
9.61,7.73,8.0,5.28,56.65,2.23,1.42,4.11,62.38,1,9.5,40.93,79.03,40.16,30.21,1,3,2,5,3.32,41.2,56.2,3.46,0,84.22,7.89,0
6.37,8.58,0.92,4.69,55.79,3.88,3.06,4.1,76.82,5,4.0,31.54,75.14,17.34,49.73,1,7,2,4,5.96,57.83,57.75,2.21,0,70.94,6.49,1
5.01,4.25,0.14,8.76,48.24,2.78,0.7,4.78,54.07,1,1.3,40.6,85.64,61.21,53.17,1,3,3,0,3.6,26.54,41.02,1.53,1,70.42,3.5,1
3.86,7.15,0.24,3.33,82.73,1.91,1.39,5.07,51.16,0,5.3,42.12,33.35,94.37,58.91,0,3,0,7,6.17,82.85,42.86,3.75,0,83.5,7.07,1
7.62,6.54,1.07,6.44,64.02,3.18,0.2,6.98,54.86,1,1.0,40.4,58.89,77.71,35.39,2,3,0,4,9.94,59.66,47.98,2.06,0,55.67,6.34,1
5.38,6.03,1.28,4.81,49.15,2.06,0.57,6.27,35.15,1,2.2,72.05,48.31,19.83,84.15,0,3,1,2,3.96,72.67,55.99,2.93,1,71.7,3.5,0
3.59,2.34,2.41,3.12,48.04,3.77,0.94,8.77,58.83,1,1.3,55.64,70.41,50.97,54.65,3,2,0,2,8.95,58.58,56.05,0.62,1,45.11,7.79,0
5.7,10.69,3.77,3.5,3.8,3.04,0.49,5.72,55.48,2,2.6,26.45,23.51,65.1,52.59,2,2,0,4,2.09,46.98,76.15,3.52,1,67.63,7.71,1
5.51,8.62,1.6,3.56,27.29,0.16,4.26,5.27,68.74,3,4.0,54.67,48.39,33.74,58.43,1,1,0,6,3.09,53.82,67.22,34.49,3,86.81,8.92,0
7.12,1.76,0.24,5.57,40.88,0.26,0.48,1.5,54.57,3,1.0,86.47,68.56,54.18,42.17,0,3,0,5,6.92,54.07,55.64,6.8,0,63.92,7.39,1
7.71,4.44,0.24,5.65,37.97,4.81,3.58,9.5,53.42,1,3.2,54.55,63.96,71.17,34.25,1,0,0,5,5.98,55.1,65.95,0.92,2,59.36,6.89,0
8.13,6.88,0.59,2.97,31.87,1.78,2.73,3.73,68.61,4,6.8,53.7,60.3,51.3,30.13,1,2,1,2,7.84,26.16,77.38,3.86,3,64.78,8.54,0
6.16,6.67,0.44,6.38,0.0,3.51,0.3,6.96,77.87,2,2.3,48.49,67.75,64.39,63.81,1,3,0,2,6.3,42.79,61.71,1.9,1,62.0,4.99,1
5.34,5.1,4.19,9.14,55.42,4.14,0.84,1.0,75.28,2,1.5,72.56,54.25,74.94,47.72,0,4,0,10,5.13,42.69,35.56,1.23,0,73.0,10.0,1
6.69,10.16,0.56,2.91,33.89,4.36,3.56,7.63,61.42,1,1.0,43.15,74.8,63.28,55.7,1,2,0,3,8.4,57.93,72.54,2.33,0,82.3,6.34,0
7.79,5.45,2.09,5.55,0.0,2.02,0.06,6.58,69.63,4,11.1,88.69,57.68,62.75,74.14,0,2,1,4,4.6,66.82,81.95,2.71,2,66.85,7.62,0
5.92,6.46,1.56,4.5,49.45,3.43,5.02,7.5,48.26,4,1.4,47.75,44.75,47.5,76.81,1,1,0,4,3.63,60.16,56.19,1.88,0,55.64,9.29,0
6.16,5.81,0.87,4.33,37.85,3.79,4.16,6.38,51.4,3,48.8,38.56,24.35,55.68,53.39,2,4,1,2,7.04,52.87,61.5,1.53,2,74.32,4.18,0
5.51,5.37,0.55,2.91,70.13,4.53,8.0,7.34,69.2,2,1.0,58.2,78.18,53.7,70.04,1,0,0,6,3.3,37.23,50.89,1.18,1,80.32,5.69,0
7.3,5.34,0.32,9.34,30.0,2.82,0.21,3.24,54.83,1,14.7,59.5,30.65,54.88,64.07,1,6,0,6,0.81,89.0,48.74,1.89,1,57.15,7.5,1
8.56,8.33,6.53,7.4,56.47,4.23,1.36,3.34,71.31,1,1.7,49.36,73.95,67.72,61.11,0,4,2,4,5.71,22.5,39.93,1.97,0,64.69,6.9,0
5.29,9.05,0.99,3.79,46.57,5.8,1.22,3.6,70.52,5,8.2,64.7,75.89,57.15,41.54,0,0,1,9,4.1,21.82,51.03,1.56,0,73.33,6.86,0
8.34,9.39,0.8,7.25,22.85,4.04,1.85,4.4,72.43,0,4.1,53.22,44.14,94.2,57.4,1,0,1,2,7.13,84.01,65.61,2.32,1,76.0,6.69,0
4.98,5.32,0.05,9.96,51.37,3.15,0.46,6.92,70.27,0,3.2,45.56,17.23,70.28,41.88,1,2,1,3,3.84,23.52,28.54,1.69,1,63.95,8.42,1
5.59,5.5,2.32,6.49,53.97,5.46,1.92,5.46,47.25,1,1.1,60.0,40.02,86.15,59.54,2,3,2,4,6.8,34.05,49.93,1.01,0,92.29,6.23,0
6.85,8.9,1.14,3.63,62.55,2.37,0.1,6.08,30.42,3,12.4,55.64,52.23,40.57,41.68,0,3,2,2,3.67,49.62,50.16,3.75,1,56.4,7.96,0
10.0,12.51,2.51,8.39,50.13,2.35,1.41,5.79,44.08,0,10.1,38.63,60.29,58.46,65.98,1,1,0,5,5.1,40.82,50.84,5.32,0,75.34,6.46,1
3.58,4.67,1.56,3.42,71.9,3.77,0.28,4.63,84.55,1,1.0,55.82,85.79,43.37,74.11,0,2,0,4,6.34,80.07,44.42,1.24,1,61.22,8.64,0
6.32,11.52,4.47,6.12,33.27,3.82,1.18,5.75,84.06,2,4.6,54.54,71.18,45.87,73.76,1,4,1,3,0.0,15.62,61.36,3.02,1,64.09,7.13,1
