student_id,age,gender,major,study_hours_per_day,social_media_hours,part_time_job,attendance_percentage,sleep_hours,extracurricular_participation,previous_gpa,semester,stress_level,screen_time,study_environment,access_to_tutoring,parental_support_level,exam_anxiety_score,learning_style,time_management_score,exam_score,subject_marks_student_id,g1_mat,g2_mat,g3_mat,g1_por,g2_por,g3_por,career_field,career_target,career_gpa,internships,projects,leadership_positions,Previous_GPA_10
STU00001,25,Other,Engineering,2.6,4.8,Yes,43.3,7.9,No,4.0,4,7.9,11.1,Library,No,6,10,Kinesthetic,5.6,100,UCI_0291,18,18,19,18,18,18,Engineering,Landscape Architect,2.6223893628387582,0,3,1,10.0
STU00002,26,Female,Arts,3.2,2.1,No,52.9,6.9,Yes,3.03,5,3.6,6.7,Co-Learning Group,Yes,8,10,Visual,2.3,79,UCI_0228,16,15,15,17,18,17,Arts,Judge,4.190820661780909,1,4,1,7.57
STU00003,22,Male,Psychology,4.5,2.3,No,42.0,8.2,No,2.79,8,5.4,9.1,Cafe,No,2,10,Kinesthetic,9.3,66,UCI_0038,15,16,15,13,13,13,Psychology,Architect,3.560777136788558,1,3,1,6.97
STU00004,22,Female,Computer Science,7.650183436923227,1.2,No,87.4,8.4,No,4.0,4,3.6,11.2,Cafe,Yes,9,10,Visual,2.9,89,UCI_0297,18,18,18,18,19,19,Computer Science,Biomedical Engineer,2.779962157,0,0,1,10.0
STU00005,23,Male,Biology,3.9,4.5,No,53.4,5.3,Yes,4.0,2,5.1,11.4,Quiet Room,Yes,10,10,Kinesthetic,3.0,97,UCI_0297,19,17,19,17,18,19,Biology,Judge,4.911212176347732,1,0,0,10.0
STU00006,27,Female,Psychology,7.0,3.1,No,78.4,6.2,No,4.0,8,1.3,14.7,Co-Learning Group,No,7,5,Visual,6.6,100,UCI_0116,18,19,19,18,17,18,Psychology,Risk Analyst,3.969376352477014,0,3,1,10.0
STU00007,19,Other,Computer Science,6.542532364344417,1.2,No,71.6,6.3,Yes,2.78,4,3.6,10.9,Cafe,No,2,10,Reading,10.0,74,UCI_0124,16,15,15,14,14,14,Computer Science,Animator,3.0080064972241547,1,1,1,6.95
STU00008,20,Male,Arts,6.5,4.1,No,51.5,5.4,No,2.52,7,5.6,15.7,Dorm,No,4,10,Kinesthetic,6.3,67,UCI_0127,14,11,13,12,13,13,Arts,Pharmacist,4.256888093363568,2,4,0,6.3
STU00009,19,Other,Engineering,3.4,3.7,No,99.8,7.4,Yes,2.99,6,2.3,7.3,Library,No,8,10,Visual,6.4,76,UCI_0368,15,15,15,16,16,16,Engineering,Manager,4.940370216268419,0,0,0,7.48
STU00010,17,Male,Psychology,3.4,4.9,No,92.3,7.3,No,3.98,4,5.3,13.1,Cafe,Yes,2,7,Kinesthetic,6.9,92,UCI_0116,18,18,20,18,17,18,Psychology,Animator,3.9490970953798135,2,3,0,9.95
STU00011,25,Female,Computer Science,5.759431260805666,3.4,No,59.4,5.4,No,3.18,4,4.0,12.6,Library,No,9,10,Auditory,3.3,69,UCI_0112,14,15,16,15,15,14,Computer Science,Counselor,3.680461611508558,0,1,1,7.95
STU00012,16,Female,Engineering,2.5,2.6,Yes,92.5,8.1,Yes,3.76,5,2.4,8.2,Co-Learning Group,Yes,5,6,Kinesthetic,6.0,93,UCI_0116,19,19,19,19,17,18,Engineering,Conductor,2.768780720496011,1,0,1,9.4
STU00013,28,Other,Computer Science,5.506330212,4.6,No,61.0,6.4,No,3.97,6,6.6,13.8,Co-Learning Group,No,2,5,Kinesthetic,8.9,96,UCI_0297,17,17,18,19,18,20,Computer Science,Nurse,3.5848722465860465,1,4,1,9.93
STU00014,20,Other,Business,3.2,4.3,Yes,49.4,9.3,No,4.0,1,2.6,9.7,Cafe,Yes,5,10,Visual,2.1,97,UCI_0116,17,19,18,19,18,18,Business,Counselor,3.912827295161717,1,0,0,10.0
