student_id,enrollment_date,family_income_lpa,cgpa,backlogs,failed_subjects,at_risk_flag,previous_cgpa,previous_semester_percentage,previous_subject_avg,weak_subject_count,subject_consistency,performance_band,previous_internal_marks,previous_assignment_score,previous_midterm_score,lowest_subject_score,assignment_completion_rate,practice_questions,next_semester_marks,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,last_sync_time,sleep_hours,screen_time,gaming_hours,stress_level,burnout_score,motivation_level,adaptability_score,gym_frequency,wellness_score,screen_to_study_ratio,extracurricular_hours,survey_date,resume_score,communication_skills,aptitude_score,mock_interview_score,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill,hackathons_participated,preferred_domain,career_goal,submitted_at
S100000,2023-07-31,5.8,6.54,1,0,1,7.65,69.92,91.88,2,55.52,At_Risk,37.79,40.29,57.45,65.83,84.8,31,47.21,66.24,3.07,1.97,15.55,2024-01-28 00:00:00,8.67,6.15,1.87,5.57,62.7,1.0,40.78,2,53.02,2.0,0.86,2024-03-16,51.44,48.52,60.42,60.17,3,1,6,5.06,68.58,0,Data Science,Job,2024-02-13 00:00:00
S100001,2023-04-18,10.7,8.93,0,1,1,6.82,63.57,75.66,1,69.7,Average,37.27,54.18,81.2,57.65,96.73,184,68.07,42.2,3.9,0.81,18.94,2024-01-22 00:00:00,5.65,5.74,0.29,7.31,41.01,1.3,74.15,1,49.23,1.47,3.7,2024-03-04,47.61,65.98,58.78,54.99,2,1,7,7.97,32.02,0,Cybersecurity,Job,2023-12-25 00:00:00
S100002,2023-04-20,8.9,8.25,0,0,1,7.84,72.11,61.9,1,80.49,Average,27.51,61.19,61.83,51.08,57.42,3,58.7,82.9,3.96,0.44,17.39,2024-04-06 00:00:00,6.35,8.33,0.21,7.59,30.04,6.18,99.6,0,45.59,2.1,0.96,2024-03-03,58.79,40.48,68.58,47.85,1,5,1,7.61,68.62,2,Product/Management,Job,2024-10-01 00:00:00
S100003,2022-02-03,7.3,7.06,0,0,1,8.98,85.75,63.9,0,72.74,Average,39.64,72.25,66.45,46.84,100.0,31,61.17,97.48,0.92,1.16,6.05,2024-05-03 00:00:00,6.87,9.19,0.16,4.39,28.03,1.29,80.46,1,64.51,9.93,4.98,2024-02-26,59.96,56.21,68.1,79.69,0,1,5,1.29,61.16,1,AI/ML,Startup/Entrepreneurship,2023-11-24 10:00:36
S100004,2021-12-02,4.3,8.28,0,0,0,6.7,68.4,78.91,1,48.62,Average,23.08,85.36,76.48,48.08,84.95,167,67.65,95.0,2.56,2.03,13.7,2024-03-27 00:00:00,5.2,7.54,0.88,8.62,23.08,4.7,63.01,1,46.48,2.94,0.91,2024-04-02,47.04,80.17,36.04,63.5,3,2,1,7.89,53.66,1,Web Development,Job,2023-11-27 00:00:00
S100005,2022-08-19,8.3,7.31,2,0,1,6.7,60.52,63.21,2,85.87,Average,29.77,80.41,64.06,51.34,81.65,500,56.33,46.0,1.53,0.05,19.57,2024-02-09 00:00:00,6.3,9.45,1.11,3.58,45.9,6.26,52.31,3,52.12,6.18,1.21,2024-03-18,56.03,87.47,57.39,62.48,4,1,3,6.11,79.42,0,Web Development,Job,2023-11-19 00:00:00
S100006,2022-05-06,1.0,7.35,0,1,1,9.05,90.01,50.36,1,64.83,Average,19.01,52.31,35.91,26.11,65.73,103,53.9,59.0,1.42,0.8,17.93,2024-03-20 00:00:00,6.3,8.84,1.63,5.04,0.0,4.16,53.14,2,67.79,6.22,8.16,2024-04-24,92.53,21.24,55.77,60.63,1,1,5,7.39,46.68,1,Cybersecurity,Higher Studies,2023-12-05 00:00:00
S100007,2022-07-02,5.3,6.76,1,0,0,8.0,72.85,73.85,1,56.62,Average,47.47,64.42,81.65,45.98,70.45,185,58.41,97.7,4.38,6.43,9.53,2024-04-24 00:00:00,3.84,8.18,0.14,6.17,13.88,5.69,31.28,1,59.48,1.87,0.04,2024-03-01,47.07,28.27,62.8,79.82,5,0,4,6.3,41.2,1,AI/ML,Job,2024-01-30 00:00:00
S100008,2021-08-27,13.6,7.64,0,0,0,6.39,57.31,84.03,1,77.75,Average,33.15,71.15,85.08,69.17,74.34,1,63.63,79.0,2.49,0.06,17.91,2024-05-09 00:00:00,7.72,7.82,0.63,4.88,27.69,8.14,64.06,1,64.14,3.15,9.42,2024-01-02,63.73,70.81,33.23,57.94,6,2,1,5.89,32.6,3,Product/Management,Job,2024-03-04 00:00:00
S100009,2021-12-09,1.3,8.07,0,0,1,7.71,76.0,67.05,3,78.49,Average,50.0,66.07,35.7,54.1,58.61,118,58.87,51.08,5.0,1.26,21.4,2024-02-18 00:00:00,7.14,9.24,0.94,8.08,22.8,4.52,81.35,3,54.38,1.85,6.78,2024-04-26,64.66,73.89,77.33,51.7,3,2,4,10.0,15.08,1,Web Development,Startup/Entrepreneurship,2024-03-27 00:00:00
