master_student_id,src_risk_training_id,year_class,program_stream,age,gender
MSTU00001,STU0001,Second Year (SY),BCA,20,Female
MSTU00002,STU0002,Second Year (SY),BCA,20,Male
MSTU00003,STU0003,Second Year (SY),BCA,19,Male
MSTU00004,STU0004,Second Year (SY),BCA,19,Female
MSTU00005,STU0005,Second Year (SY),BCA,20,Female
MSTU00006,STU0006,Second Year (SY),BCA,19,Female
MSTU00007,STU0007,Second Year (SY),BCA,20,Male
MSTU00008,STU0008,Second Year (SY),BCA,19,Male
MSTU00009,STU0009,Second Year (SY),BCA,19,Male
MSTU00010,STU0010,Second Year (SY),BCA,20,Male
MSTU00011,STU0011,Second Year (SY),BCA,20,Male
MSTU00012,STU0012,Second Year (SY),BCA,19,Male
MSTU00013,STU0013,Second Year (SY),BCA,20,Female
MSTU00014,STU0014,Second Year (SY),BCA,19,Male
MSTU00015,STU0015,Second Year (SY),BCA,20,Male
MSTU00016,STU0016,First Year (FY),BCA,17,Female
MSTU00017,STU0017,Second Year (SY),BCA,20,Male
MSTU00018,STU0018,Second Year (SY),BCA,19,Male
MSTU00019,STU0019,Second Year (SY),BCA,19,Male
MSTU00020,STU0020,Third Year (TY),BCA,21,Female
MSTU00021,STU0021,Final Year,BCom,23,Female
MSTU00022,STU0022,Third Year (TY),BSc Cyber Security,20,Male
MSTU00023,STU0023,First Year (FY),BCA,18,Female
MSTU00024,STU0024,Third Year (TY),BSc IT,20,Male
MSTU00025,STU0025,Second Year (SY),BCA,19,Male
MSTU00026,STU0026,Third Year (TY),BCA,20,Male
MSTU00027,STU0027,Second Year (SY),BA,19,Female
MSTU00028,STU0028,First Year (PG),BCA,25,Male
MSTU00029,STU0029,First Year (FY),BSc Computer Science,18,Female
MSTU00030,STU0030,First Year (FY),BCA,18,Male
MSTU00031,STU0031,Second Year (SY),BCA,19,Male
MSTU00032,STU0032,Third Year (TY),BSc IT,20,Male
MSTU00033,STU0033,First Year (FY),BCA,18,Female
MSTU00034,STU0034,Second Year (SY),BCA,21,Female
MSTU00035,STU0035,Third Year (TY),BCA,22,Male
MSTU00036,STU0036,Second Year (SY),BCA,21,Male
MSTU00037,STU0037,Third Year (TY),BCom,20,Male
MSTU00038,STU0038,Third Year (TY),BCom,20,Female
MSTU00039,STU0039,First Year (FY),BCA,18,Male
MSTU00040,STU0040,Second Year (SY),BCA,20,Female
MSTU00041,STU0041,First Year (FY),BCA,19,Male
MSTU00042,STU0042,Second Year (SY),BSc IT,21,Female
MSTU00043,STU0043,First Year (PG),BSc Cyber Security,25,Male
MSTU00044,STU0044,Second Year (SY),BCA,19,Male
MSTU00045,STU0045,Second Year (SY),BSc Cyber Security,19,Female
MSTU00046,STU0046,Second Year (SY),BA,20,Other
MSTU00047,STU0047,Second Year (PG),BCA,25,Female
MSTU00048,STU0048,First Year (FY),BBA,18,Male
MSTU00049,STU0049,First Year (PG),BBA,23,Female
MSTU00050,STU0050,Third Year (TY),BSc Computer Science,20,Female
MSTU00051,STU0051,Third Year (TY),BCA,22,Male
MSTU00052,STU0052,Second Year (SY),BBA,21,Male
MSTU00053,STU0053,First Year (FY),BCA,17,Female
MSTU00054,STU0054,Third Year (TY),BCA,20,Male
MSTU00055,STU0055,First Year (FY),BCA,18,Male
MSTU00056,STU0056,Third Year (TY),BCA,21,Female
MSTU00057,STU0057,Third Year (TY),BCA,20,Female
MSTU00058,STU0058,First Year (FY),BCA,17,Female
MSTU00059,STU0059,Second Year (SY),BSc Computer Science,20,Female
MSTU00060,STU0060,First Year (FY),BCA,17,Male
MSTU00061,STU0061,Third Year (TY),BCom,22,Male
MSTU00062,STU0062,Third Year (TY),BBA,22,Female
MSTU00063,STU0063,Third Year (TY),BCA,22,Other
MSTU00064,STU0064,Third Year (TY),BBA,21,Female
MSTU00065,STU0065,Final Year,BSc IT,21,Male
MSTU00066,STU0066,Second Year (PG),BSc Computer Science,25,Female
MSTU00067,STU0067,First Year (FY),BBA,17,Male
MSTU00068,STU0068,Second Year (SY),BSc IT,21,Male
MSTU00069,STU0069,First Year (FY),BA,18,Male
MSTU00070,STU0070,First Year (FY),BCA,18,Female
MSTU00071,STU0071,First Year (FY),BCA,17,Female
MSTU00072,STU0072,Third Year (TY),BSc Computer Science,22,Female
MSTU00073,STU0073,Second Year (PG),BCA,23,Male
MSTU00074,STU0074,Third Year (TY),BCA,21,Male
MSTU00075,STU0075,First Year (PG),BCom,23,Male
MSTU00076,STU0076,First Year (FY),BA,17,Male
MSTU00077,STU0077,First Year (PG),BSc IT,24,Male
MSTU00078,STU0078,Second Year (SY),BBA,19,Female
MSTU00079,STU0079,First Year (FY),BCA,18,Male
MSTU00080,STU0080,Second Year (SY),BCA,19,Female
MSTU00081,STU0081,Second Year (SY),BSc Computer Science,21,Female
MSTU00082,STU0082,First Year (PG),BSc IT,24,Female
MSTU00083,STU0083,Third Year (TY),BBA,22,Female
MSTU00084,STU0084,Third Year (TY),BSc IT,22,Male
MSTU00085,STU0085,First Year (FY),BCA,17,Male
MSTU00086,STU0086,First Year (FY),BCA,17,Male
MSTU00087,STU0087,Third Year (TY),BCA,20,Male
MSTU00088,STU0088,Second Year (SY),BBA,19,Male
MSTU00089,STU0089,Third Year (TY),BCA,22,Female
MSTU00090,STU0090,Final Year,BCA,21,Female
MSTU00091,STU0091,First Year (PG),BCA,24,Female
MSTU00092,STU0092,Final Year,BSc Computer Science,23,Female
MSTU00093,STU0093,Second Year (SY),BCA,19,Male
MSTU00094,STU0094,Third Year (TY),BCA,20,Male
MSTU00095,STU0095,Second Year (PG),BSc IT,26,Male
MSTU00096,STU0096,Second Year (SY),BSc IT,21,Male
MSTU00097,STU0097,Final Year,BSc Cyber Security,23,Male
MSTU00098,STU0098,Third Year (TY),BBA,22,Male
MSTU00099,STU0099,First Year (FY),BCA,18,Female
MSTU00100,STU0100,Second Year (PG),BCA,23,Other
MSTU00101,STU0101,Second Year (PG),BCA,23,Female
MSTU00102,STU0102,Second Year (SY),BCom,20,Female
MSTU00103,STU0103,First Year (FY),BCA,18,Male
