master_student_id,coding_skill_score,aptitude_score,pl_communication_skill_score,logical_reasoning_score,hackathons_participated,github_repos,linkedin_connections,mock_interview_score,internships_count,projects_count,certifications_count,pl_extracurricular_score,pl_leadership_score,volunteer_experience,backlogs,college_tier,placement_status,salary_package_lpa,is_synthetic_placement_match,match_method
MSTU00001,100.0,68.99024001736456,60.17041048418244,42.80628199336089,1,3,54,87.8499205519606,3,3,2,82.87133657331006,48.91167961512239,Yes,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00002,68.46637110717779,54.09756771899721,65.35489461623614,58.60704139013178,2,6,451,79.50076836962245,2,1,3,57.87070759264009,46.35892397087388,No,1,Tier 3,Placed,15.46,True,cgpa_band × branch_group × gender
MSTU00003,93.9676113912402,37.43764010708274,73.25870164021624,56.55025804181621,2,2,60,66.24083130993262,2,6,2,63.84974383688461,43.25418796452759,No,1,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00004,32.33384594185949,43.11737751216088,77.02215500423506,53.60372226007449,0,6,790,62.94374711896029,1,4,1,71.94761435512439,66.6640660593434,Yes,0,Tier 2,Placed,11.49,True,cgpa_band × branch_group × gender
MSTU00005,86.90774806141965,70.66624898078081,43.80800182058501,52.37100728574269,3,5,977,54.24827485147404,2,3,3,65.00591214582968,100.0,No,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00006,53.451124283746935,50.733383931934135,54.78372936130942,71.2458100483892,2,4,315,70.81549671269221,1,1,3,69.12218100260094,65.15502518514779,Yes,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00007,86.33672067455215,68.48576479322077,73.69327643770545,88.5100140460714,1,3,425,46.07982300746903,0,6,1,65.75435219574929,46.18089899720408,No,2,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00008,25.36614147034946,61.79680869063721,67.84955127535883,49.82182087773262,0,3,120,68.54430105743491,3,2,2,46.50475655753205,40.319038052398575,No,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00009,77.58085739084828,51.44803665396212,52.66330182008768,49.02826482227464,1,4,880,59.84986613382246,1,2,3,16.609744576998906,34.37255259599162,No,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00010,84.04349364853104,69.98007746837278,46.98765431306092,58.45467226721761,0,7,267,71.89621073764306,0,3,1,71.99019520953577,78.23124432852357,No,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00011,60.00246872592723,66.45657069504892,71.57542887527326,26.282125040845443,1,1,587,72.3031153680189,2,3,2,61.565379357574905,16.66789855789237,No,1,Tier 1,Placed,11.66,True,cgpa_band × branch_group × gender
MSTU00012,90.40387016356088,58.47322330958888,62.779134271351694,86.6659175524864,0,4,978,78.91652617255002,2,3,0,82.98066366141049,37.57933542837296,Yes,0,Tier 1,Placed,16.18,True,cgpa_band × branch_group × gender
MSTU00013,51.7720863564027,92.14312111456276,80.55588873489003,73.02085983693232,2,7,503,68.90431061984106,3,3,1,53.771696762583105,17.574759692830014,No,0,Tier 1,Placed,15.82,True,cgpa_band × branch_group × gender
MSTU00014,51.15299675372036,58.03440827428832,78.0616145500617,74.70802369245328,1,3,985,85.26215271135985,3,3,1,100.0,78.31541421491136,Yes,0,Tier 3,Placed,12.53,True,cgpa_band × branch_group × gender
MSTU00015,75.8473905931859,65.810131024316,80.73486292465445,87.09303163631202,5,6,704,78.21023883496284,1,4,1,78.60497986803949,62.50276306906182,No,1,Tier 3,Placed,16.13,True,cgpa_band × branch_group × gender
MSTU00016,75.87243641338121,77.75785518391979,65.57080518732408,28.42374894628142,1,6,825,70.95686684699824,1,2,2,57.0355531309346,53.03623529584679,No,0,Tier 1,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00017,75.65411226354328,50.11527847924269,67.19322669284905,79.86786877546074,0,4,313,58.73236424276832,2,2,2,58.68815828572782,42.76036931607054,No,0,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00018,89.23570331250028,78.20119172672712,56.039318908599896,63.9474061080023,0,2,377,72.59360787943693,1,1,3,52.09929574047254,51.69533069879531,No,0,Tier 3,Placed,14.01,True,cgpa_band × branch_group × gender
MSTU00019,86.78631192779366,80.98084956673624,61.46850276775022,81.27569415173686,2,4,746,64.22148021734328,3,5,3,82.96076811286646,16.816543762856213,No,1,Tier 2,Placed,14.94,True,cgpa_band × branch_group × gender
MSTU00020,53.80002140755366,83.02681261099887,50.32063761164325,79.5317480692781,1,0,635,76.26847503395051,3,2,3,97.62368095209138,79.28442213215794,Yes,1,Tier 3,Not Placed,0.0,True,cgpa_band × branch_group × gender
MSTU00021,51.22069868058652,69.69273568442414,58.969094382071006,39.4931032309196,2,6,65,74.24505769264253,2,7,2,59.12655034356737,68.10139138259295,Yes,0,Tier 2,Placed,14.37,True,cgpa_band × branch_group × gender
MSTU00022,47.84316291794742,60.47445013709585,58.89724220278692,42.94904090043572,0,2,337,74.50366597793811,3,0,3,74.1044557629933,44.54515868779218,Yes,2,Tier 2,Not Placed,0.0,True,cgpa_band × branch_group × gender
