uci_ref_id,subject_id,subject_name,grade_period,marks,max_marks,percentage,source,is_synthetic,master_student_id
UCI_0001,mat,Mathematics,G1,5,20,25.0,UCI_Student_Performance,False,
UCI_0001,mat,Mathematics,G2,6,20,30.0,UCI_Student_Performance,False,
UCI_0001,mat,Mathematics,G3,6,20,30.0,UCI_Student_Performance,False,
UCI_0001,por,Portuguese,G1,0,20,0.0,UCI_Student_Performance,False,
UCI_0001,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0001,por,Portuguese,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0002,mat,Mathematics,G1,5,20,25.0,UCI_Student_Performance,False,
UCI_0002,mat,Mathematics,G2,5,20,25.0,UCI_Student_Performance,False,
UCI_0002,mat,Mathematics,G3,6,20,30.0,UCI_Student_Performance,False,
UCI_0002,por,Portuguese,G1,9,20,45.0,UCI_Student_Performance,False,
UCI_0002,por,Portuguese,G2,11,20,55.0,UCI_Student_Performance,False,
UCI_0002,por,Portuguese,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0003,mat,Mathematics,G1,7,20,35.0,UCI_Student_Performance,False,
UCI_0003,mat,Mathematics,G2,8,20,40.0,UCI_Student_Performance,False,
UCI_0003,mat,Mathematics,G3,10,20,50.0,UCI_Student_Performance,False,
UCI_0003,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0003,por,Portuguese,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0003,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0004,mat,Mathematics,G1,15,20,75.0,UCI_Student_Performance,False,
UCI_0004,mat,Mathematics,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0004,mat,Mathematics,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0004,por,Portuguese,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0004,por,Portuguese,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0004,por,Portuguese,G3,14,20,70.0,UCI_Student_Performance,False,
UCI_0005,mat,Mathematics,G1,6,20,30.0,UCI_Student_Performance,False,
UCI_0005,mat,Mathematics,G2,10,20,50.0,UCI_Student_Performance,False,
UCI_0005,mat,Mathematics,G3,10,20,50.0,UCI_Student_Performance,False,
UCI_0005,por,Portuguese,G1,11,20,55.0,UCI_Student_Performance,False,
UCI_0005,por,Portuguese,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0005,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0006,mat,Mathematics,G1,15,20,75.0,UCI_Student_Performance,False,
UCI_0006,mat,Mathematics,G2,15,20,75.0,UCI_Student_Performance,False,
UCI_0006,mat,Mathematics,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0006,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0006,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0006,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0007,mat,Mathematics,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0007,mat,Mathematics,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0007,mat,Mathematics,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0007,por,Portuguese,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0007,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0007,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0008,mat,Mathematics,G1,6,20,30.0,UCI_Student_Performance,False,
UCI_0008,mat,Mathematics,G2,5,20,25.0,UCI_Student_Performance,False,
UCI_0008,mat,Mathematics,G3,6,20,30.0,UCI_Student_Performance,False,
UCI_0008,por,Portuguese,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0008,por,Portuguese,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0008,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0009,mat,Mathematics,G1,16,20,80.0,UCI_Student_Performance,False,
UCI_0009,mat,Mathematics,G2,18,20,90.0,UCI_Student_Performance,False,
UCI_0009,mat,Mathematics,G3,19,20,95.0,UCI_Student_Performance,False,
UCI_0009,por,Portuguese,G1,15,20,75.0,UCI_Student_Performance,False,
UCI_0009,por,Portuguese,G2,16,20,80.0,UCI_Student_Performance,False,
UCI_0009,por,Portuguese,G3,17,20,85.0,UCI_Student_Performance,False,
UCI_0010,mat,Mathematics,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0010,mat,Mathematics,G2,15,20,75.0,UCI_Student_Performance,False,
UCI_0010,mat,Mathematics,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0010,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0010,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0010,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0011,mat,Mathematics,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0011,mat,Mathematics,G2,8,20,40.0,UCI_Student_Performance,False,
UCI_0011,mat,Mathematics,G3,9,20,45.0,UCI_Student_Performance,False,
UCI_0011,por,Portuguese,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0011,por,Portuguese,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0011,por,Portuguese,G3,14,20,70.0,UCI_Student_Performance,False,
UCI_0012,mat,Mathematics,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0012,mat,Mathematics,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0012,mat,Mathematics,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0012,por,Portuguese,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0012,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0012,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0013,mat,Mathematics,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0013,mat,Mathematics,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0013,mat,Mathematics,G3,14,20,70.0,UCI_Student_Performance,False,
UCI_0013,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0013,por,Portuguese,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0013,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0014,mat,Mathematics,G1,10,20,50.0,UCI_Student_Performance,False,
UCI_0014,mat,Mathematics,G2,10,20,50.0,UCI_Student_Performance,False,
UCI_0014,mat,Mathematics,G3,11,20,55.0,UCI_Student_Performance,False,
UCI_0014,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0014,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0014,por,Portuguese,G3,13,20,65.0,UCI_Student_Performance,False,
UCI_0015,mat,Mathematics,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0015,mat,Mathematics,G2,16,20,80.0,UCI_Student_Performance,False,
UCI_0015,mat,Mathematics,G3,16,20,80.0,UCI_Student_Performance,False,
UCI_0015,por,Portuguese,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0015,por,Portuguese,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0015,por,Portuguese,G3,15,20,75.0,UCI_Student_Performance,False,
UCI_0016,mat,Mathematics,G1,14,20,70.0,UCI_Student_Performance,False,
UCI_0016,mat,Mathematics,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0016,mat,Mathematics,G3,14,20,70.0,UCI_Student_Performance,False,
UCI_0016,por,Portuguese,G1,17,20,85.0,UCI_Student_Performance,False,
UCI_0016,por,Portuguese,G2,17,20,85.0,UCI_Student_Performance,False,
UCI_0016,por,Portuguese,G3,17,20,85.0,UCI_Student_Performance,False,
UCI_0017,mat,Mathematics,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0017,mat,Mathematics,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0017,mat,Mathematics,G3,14,20,70.0,UCI_Student_Performance,False,
UCI_0017,por,Portuguese,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0017,por,Portuguese,G2,13,20,65.0,UCI_Student_Performance,False,
UCI_0017,por,Portuguese,G3,14,20,70.0,UCI_Student_Performance,False,
UCI_0018,mat,Mathematics,G1,8,20,40.0,UCI_Student_Performance,False,
UCI_0018,mat,Mathematics,G2,10,20,50.0,UCI_Student_Performance,False,
UCI_0018,mat,Mathematics,G3,10,20,50.0,UCI_Student_Performance,False,
UCI_0018,por,Portuguese,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0018,por,Portuguese,G2,14,20,70.0,UCI_Student_Performance,False,
UCI_0018,por,Portuguese,G3,14,20,70.0,UCI_Student_Performance,False,
UCI_0019,mat,Mathematics,G1,6,20,30.0,UCI_Student_Performance,False,
UCI_0019,mat,Mathematics,G2,5,20,25.0,UCI_Student_Performance,False,
UCI_0019,mat,Mathematics,G3,5,20,25.0,UCI_Student_Performance,False,
UCI_0019,por,Portuguese,G1,8,20,40.0,UCI_Student_Performance,False,
UCI_0019,por,Portuguese,G2,8,20,40.0,UCI_Student_Performance,False,
UCI_0019,por,Portuguese,G3,7,20,35.0,UCI_Student_Performance,False,
UCI_0020,mat,Mathematics,G1,8,20,40.0,UCI_Student_Performance,False,
UCI_0020,mat,Mathematics,G2,10,20,50.0,UCI_Student_Performance,False,
UCI_0020,mat,Mathematics,G3,10,20,50.0,UCI_Student_Performance,False,
UCI_0020,por,Portuguese,G1,12,20,60.0,UCI_Student_Performance,False,
UCI_0020,por,Portuguese,G2,12,20,60.0,UCI_Student_Performance,False,
UCI_0020,por,Portuguese,G3,12,20,60.0,UCI_Student_Performance,False,
UCI_0021,mat,Mathematics,G1,13,20,65.0,UCI_Student_Performance,False,
UCI_0021,mat,Mathematics,G2,14,20,70.0,UCI_Student_Performance,False,
