student_id,cgpa,backlog_history,family_income_lpa,at_risk_flag,backlogs,failed_subjects,enrollment_date
S100000,6.54,0,5.8,1,1,0,2023-07-31
S100001,8.93,2,10.7,1,0,1,2023-04-18
S100002,8.25,2,8.9,1,0,0,2023-04-20
S100003,7.06,1,7.3,1,0,0,02/03/2022
S100004,8.28,1,4.3,0,0,0,2021-12-02
S100005,7.31,1,8.3,1,2,0,19/08/2022
S100006,7.35,1,1.0,1,0,1,2022-05-06
S100007,6.76,0,5.3,0,1,0,07-02-2022
S100008,7.64,1,13.6,0,0,0,2021-08-27
S100009,8.07,0,1.3,1,0,0,2021-12-09
S100010,6.82,1,6.7,1,0,0,2021-08-22
S100011,4.98,0,2.6,1,0,3,2021-08-08
S100012,6.35,2,1.0,0,1,1,2022-06-17
S100013,7.51,1,1.8,0,0,2,2022-11-09
S100014,7.15,0,4.5,1,0,0,21/06/2023
S100015,6.57,0,1.0,1,1,0,08-06-2023
S100016,7.39,1,3.5,1,0,0,2022-12-24
S100017,6.38,0,5.3,1,2,1,2022/03/06 19:49:15
S100018,7.47,0,9.4,0,0,0,05-29-2023
S100019,7.94,1,14.8,0,0,1,01-12-2022
S100020,5.38,0,2.1,0,1,0,2023-02-26
S100021,5.59,0,2.3,0,1,1,2022-07-06
S100022,4.83,0,1.0,1,0,0,2023-06-08
S100023,5.92,0,9.8,1,0,1,20/06/2023
S100024,7.38,0,1.7,0,1,0,2023-07-26
S100025,8.41,1,6.7,0,0,0,2023-05-17
S100026,4.69,0,2.0,0,0,1,2023-06-10
S100027,5.87,0,8.6,0,1,1,2023-04-08
S100028,9.53,2,21.5,0,2,0,04/11/2021
S100029,7.76,0,20.0,0,1,1,2023-04-21
S100030,9.09,1,3.3,0,0,1,17/01/2023
S100031,8.79,1,6.5,1,0,0,19/02/2022
S100032,8.27,0,3.3,1,2,1,2021-08-09
S100033,7.19,0,9.6,0,0,1,2022-11-30
S100034,4.95,2,3.7,1,2,1,11/01/2022
S100035,6.18,0,1.0,0,0,1,2023-02-24
