StudentID,previous_cgpa,previous_semester_percentage,previous_internal_marks,previous_assignment_score,previous_midterm_score,previous_subject_avg,weak_subject_count,lowest_subject_score,subject_consistency,assignment_completion_rate,practice_questions,next_semester_marks,performance_band
S100000,7.65,69.92,37.79,40.29,57.45,91.88,2,65.83,55.52,84.8,31.0,47.21,At_Risk
S100001,6.82,63.57,37.27,54.18,81.2,75.66,1,57.65,69.7,96.73,184.0,68.07,Average
S100002,7.84,72.11,27.51,61.19,61.83,61.9,1,51.08,80.49,57.42,3.0,58.7,Average
S100003,8.98,85.75,39.64,72.25,66.45,63.9,0,46.84,72.74,100.0,31.0,61.17,Average
S100004,6.7,68.4,23.08,85.36,76.48,78.91,1,48.08,48.62,84.95,167.0,67.65,Average
S100005,6.7,60.52,29.77,80.41,64.06,63.21,2,51.34,85.87,81.65,500.0,56.33,Average
S100006,9.05,90.01,19.01,52.31,35.91,50.36,1,26.11,64.83,65.73,103.0,53.9,Average
S100007,8.0,72.85,47.47,64.42,81.65,73.85,1,45.98,56.62,70.45,185.0,58.41,Average
S100008,6.39,57.31,33.15,71.15,85.08,84.03,1,69.17,77.75,74.34,1.0,63.63,Average
S100009,7.71,76%,50.0,66.07,35.7,67.05,3,54.1,78.49,58.61,118.0,58.87,Average
S100010,6.4,64.46,41.42,65.96,48.31,77.75,2,52.03,54.13,75.28,50.0,47.38,At_Risk
S100011,6.39,0.6415,38.58,44.16,97.38,60.31,1,52.65,85.8,66.62,94.0,41.39,At_Risk
S100012,7.31,64.23,30.31,52.71,68.71,69.64,1,47.93,60.58,90.24,45.0,63.32,Average
S100013,4.51,41.01,26.63,63.96,65.06,69.3,0,37.96,50.41,34.31,67.0,38.99,At_Risk
S100014,4.76,48.49,39.18,23.6,58.18,63.45,0,40.34,64.38,76.29,24.0,40.6,At_Risk
S100015,6.27,59.72,34.43,79.61,48.51,55.72,1,39.46,70.54,65.48,68.0,45.16,At_Risk
S100016,5.68,49.7,24.29,49.41,61.89,58.51,1,30.39,58.88,80.04,27.0,51.42,Average
S100017,7.41,72.21,22.87,80.3,80.59,59.09,2,43.13,80.65,100.0,26.0,54.85,Average
S100018,5.82,52.43,27.33,78.98,64.75,62.03,1,49.48,90.71,100.0,32.0,37.01,At_Risk
S100019,5.16,56.24,49.57,61.84,74.76,66.22,1,58.59,91.84,72.58,18.0,48.56,At_Risk
S100020,8.91,90.78,50.0,85.01,93.25,69.88,2,38.82,59.22,77.22,20.0,85.02,Excellent
S100021,6.71,66.13,36.64,81.15,55.71,69.86,3,45.59,62.76,67.43,215.0,39.07,At_Risk
S100022,7.09,72.78,36.19,65.37,69.85,66.67,1,47.46,65.29,77.74,48.0,64.07,Average
S100023,5.15,49.16,32.31,63.67,81.07,68.19,6,43.87,57.49,91.04,76.0,22.5,At_Risk
S100024,6.29,62.84,27.52,86.46,50.07,56.86,0,47.03,84.06,60.29,68.0,38.63,At_Risk
S100025,7.14,73.78,46.0,73.48,67.85,70.48,1,64.68,90.54,100.0,25.0,50.46,Average
S100026,5.5,53.27,49.99,85.67,94.96,47.64,1,18.49,61.01,93.72,0.0,39.46,At_Risk
S100027,7.49,70.12,27.85,34.17,59.56,54.85,1,22.74,49.33,93.06,,35.2,At_Risk
S100028,6.22,52.26,34.34,71.48,82.09,54.47,2,46.46,88.28,85.74,142.0,35.5,At_Risk
S100029,6.62,62.57,31.4,46.34,62.74,60.58,2,42.81,73.56,66.45,9.0,21.04,At_Risk
S100030,6.22,62.36,31.64,69.61,93.79,71.76,3,39.62,44.99,95.18,19.0,42.05,At_Risk
S100031,9.41,0.9316,44.49,80.71,38.67,70.27,1,40.96,58.07,75.2,195.0,86.2,Excellent
S100032,6.98,68.35,24.5,96.09,66.04,71.55,2,54.46,69.81,54.67,132.0,43.66,At_Risk
S100033,5.62,51.27,38.73,55.93,41.34,78.52,3,70.65,84.57,81.19,4.0,30.1,At_Risk
S100034,8.07,68.75,40.83,62.11,53.79,70.35,3,55.66,77.94,62.61,83.0,51.26,Average
S100035,5.41,49.44,33.86,68.57,53.69,54.91,1,25.54,52.5,70.92,58.0,33.69,At_Risk
S100036,7.27,68%,42.14,55.38,60.73,68.39,2,56.3,86.8,90.6,36.0,49.47,At_Risk
S100037,4.45,41.05,36.18,84.68,45.99,55.87,2,22.95,55.27,78.21,,31.45,At_Risk
S100038,5.27,52.57,44.74,68.95,63.85,63.65,0,47.72,74.26,79.44,13.0,45.07,At_Risk
S100039,7.26,76.87,22.82,71.83,72.37,73.17,0,42.59,55.4,97.53,248.0,63.92,Average
S100040,7.96,76.11,32.21,79.3,40.49,65.8,0,48.0,81.8,46.16,15.0,68.23,Average
S100041,7.22,67.75,34.43,68.92,54.84,76.36,1,55.37,63.6,96.87,16.0,54.0,Average
S100042,6.85,64.03,13.62,57.74,100.0,68.11,0,39.22,56.79,82.21,37.0,50.82,Average
S100043,6.61,63.3%,26.31,69.05,70.27,48.31,2,33.85,72.28,78.96,19.0,44.47,At_Risk
S100044,5.08,44.93,28.49,57.16,35.92,62.87,1,57.54,93.27,79.43,30.0,38.61,At_Risk
S100045,6.06,58.09,42.59,71.62,42.59,76.26,1,66.04,74.11,89.6,3.0,44.0,At_Risk
S100046,6.4,62.61,29.35,84.95,68.61,73.93,2,57.66,76.4,95.39,76.0,62.51,Average
S100047,8.37,80.39,28.46,52.38,66.61,54.07,0,20.4,52.91,76.45,22.0,44.56,At_Risk
S100048,7.45,72.57,41.54,47.01,55.6,62.02,2,29.21,49.17,77.99,283.0,50.21,Average
S100049,4.71,46.46,22.06,70.74,100.0,70.69,1,36.91,49.84,89.13,10.0,43.44,At_Risk
S100050,7.42,63.41,18.43,58.48,100.0,61.21,0,29.72,47.22,48.53,6.0,42.43,At_Risk
S100051,6.5,64.29,32.11,70.48,60.77,63.59,2,35.78,59.1,78.52,15.0,17.49,At_Risk
S100052,6.12,55.5%,23.42,74.81,78.97,71.24,1,65.79,96.35,87.47,63.0,50.7,Average
S100053,7.8,69.67,23.72,37.84,79.77,91.82,1,73.58,78.69,72.6,110.0,47.99,At_Risk
S100054,8.34,74.82,39.59,80.35,81.89,72.03,2,38.01,46.71,68.02,66.0,62.57,Average
S100055,8.21,79.74,42.01,52.45,54.76,77.01,1,68.68,82.68,77.71,157.0,62.06,Average
S100056,5.91,55.25,41.31,69.66,96.03,56.47,3,29.58,52.33,71.23,,15.73,At_Risk
S100057,6.6,55.95,43.87,60.11,63.9,51.82,1,24.54,65.17,76.32,12.0,33.9,At_Risk
S100058,7.43,72.5,44.93,61.72,71.75,56.62,1,45.19,79.9,72.92,16.0,33.63,At_Risk
S100059,8.27,73%,17.97,95.41,65.03,65.72,1,32.87,48.02,100.0,35.0,53.99,Average
S100060,6.38,61.14,38.6,74.79,62.77,70.95,1,59.51,71.63,62.91,202.0,70.99,Good
S100061,6.76,65.16,30.76,83.57,69.45,74.25,1,40.94,48.43,92.52,,48.54,At_Risk
S100062,5.56,56.38,29.02,72.26,46.03,79.59,0,56.57,79.39,71.19,166.0,54.09,Average
S100063,5.44,58.85,39.48,79.3,33.46,84.35,3,79.1,100.0,84.89,6.0,42.63,At_Risk
S100064,8.06,71.1%,21.16,76.26,61.59,40.96,1,17.62,65.23,89.71,93.0,46.21,At_Risk
S100065,8.76,83.04,20.99,73.82,50.91,55.25,1,33.59,74.31,100.0,50.0,54.11,Average
S100066,6.91,64.51,40.07,86.61,73.76,89.62,0,64.95,59.66,85.89,15.0,63.24,Average
S100067,8.3,80.63,38.9,72.35,71.94,72.54,3,51.84,76.61,74.05,7.0,55.91,Average
S100068,7.47,71.83,36.09,100.0,65.22,66.61,3,43.78,66.83,80.99,30.0,51.35,Average
S100069,6.16,57.12,27.96,84.41,88.71,39.03,3,16.27,69.29,100.0,137.0,39.9,At_Risk
S100070,7.47,69.2,40.95,52.91,64.9,51.16,2,21.29,52.5,82.45,82.0,38.63,At_Risk
S100071,9.0,81.03,40.44,67.35,41.67,79.5,1,54.67,65.35,60.38,50.0,61.31,Average
S100072,6.95,70.01,35.68,75.96,61.42,61.91,7,48.65,95.42,74.25,149.0,37.52,At_Risk
S100073,9.03,87.66,25.58,70.67,83.74,75.08,0,68.62,95.49,73.86,16.0,74.94,Good
S100074,3.59,38%,31.6,80.3,34.85,62.79,3,45.68,71.59,90.95,26.0,15.59,At_Risk
S100075,8.07,75.41,41.7,81.96,63.5,96.37,2,71.74,52.24,61.67,65.0,37.76,At_Risk
S100076,7.11,64.95,45.62,49.61,74.21,67.43,0,55.68,78.88,72.38,71.0,67.83,Average
S100077,6.61,58.49,32.39,89.22,100.0,48.63,0,14.46,49.22,83.2,31.0,53.56,Average
S100078,7.12,69.07,33.0,62.55,84.33,75.55,1,40.91,45.19,75.79,56.0,49.12,At_Risk
S100079,4.42,37.79,33.71,61.06,67.12,68.97,2,50.3,72.63,81.36,10.0,26.59,At_Risk
S100080,6.71,71.18,37.2,61.01,73.33,59.91,1,26.0,48.24,82.21,1.0,40.69,At_Risk
S100081,7.46,65.68,30.35,82.13,34.64,70.61,1,43.28,64.14,83.22,188.0,49.48,At_Risk
S100082,8.92,85.85,11.85,65.99,48.2,81.6,0,56.91,53.87,66.1,47.0,51.1,Average
S100083,6.33,66.37,44.54,60.05,75.42,64.89,1,37.11,57.78,91.96,21.0,46.57,At_Risk
S100084,5.95,58.91,49.36,63.64,67.58,55.59,1,30.12,63.86,71.97,32.0,63.36,Average
S100085,6.35,0.6101,30.1,43.08,69.62,70.69,1,40.82,42.47,79.83,58.0,53.63,Average
S100086,8.19,73.93,26.47,57.37,65.55,59.65,1,53.96,86.34,61.82,234.0,61.37,Average
S100087,7.43,65.03,33.9,51.41,64.92,72.26,2,40.21,57.88,80.6,102.0,23.55,At_Risk
S100088,6.31,63.0%,33.5,65.96,66.65,84.47,1,72.2,81.24,82.85,237.0,56.58,Average
S100089,7.67,78.86,42.96,79.96,48.1,53.15,1,31.76,70.26,80.54,10.0,47.44,At_Risk
S100090,7.13,65.94,35.44,78.31,61.34,44.0,1,13.36,49.86,68.3,16.0,39.72,At_Risk
S100091,8.26,73.91,28.66,88.85,45.09,97.8,1,82.83,71.74,96.92,36.0,62.09,Average
S100092,6.09,48.0,24.45,85.51,55.09,69.73,1,35.11,47.98,88.75,22.0,39.59,At_Risk
S100093,6.57,58.53,41.93,62.07,84.13,51.8,2,41.09,91.04,77.92,252.0,47.1,At_Risk
S100094,6.49,61.2,39.8,70.29,62.11,54.98,2,43.66,80.85,77.78,15.0,47.21,At_Risk
S100095,5.1,54.82,43.48,69.51,74.53,61.83,0,41.63,69.41,68.93,15.0,51.45,Average
S100096,7.38,72.85,27.25,37.73,66.84,71.93,0,64.61,90.94,70.66,53.0,68.97,Average
S100097,7.34,70.94,49.71,51.74,58.84,36.58,1,31.1,96.41,100.0,95.0,61.14,Average
S100098,7.01,64.96,21.05,67.49,48.86,77.08,0,52.14,66.2,74.63,38.0,48.02,At_Risk
S100099,6.7,61.27,40.68,67.41,58.6,59.07,2,40.27,76.57,100.0,4.0,47.84,At_Risk
S100100,5.16,54.64,19.72,77.68,67.93,87.28,2,60.96,53.89,62.61,116.0,39.04,At_Risk
S100101,6.45,62.11,28.68,76.95,74.28,73.02,0,39.35,50.13,85.53,233.0,53.6,Average
S100102,6.55,53.86,47.49,43.44,66.96,79.63,1,46.34,49.37,83.39,133.0,48.41,At_Risk
S100103,5.96,53.9,41.65,77.78,75.39,64.96,2,37.51,56.06,80.54,147.0,48.19,At_Risk
S100104,6.79,61.08,30.63,72.68,40.68,71.19,4,53.25,70.13,56.12,151.0,41.46,At_Risk
S100105,7.53,69.3,30.85,79.35,78.87,86.0,4,67.33,78.1,59.43,,37.59,At_Risk
S100106,9.45,92.05,35.8,86.0,46.95,56.92,3,38.07,66.49,82.93,131.0,53.15,Average
S100107,7.23,68.23,39.11,67.86,80.74,73.75,1,43.0,43.79,64.64,6.0,58.29,Average
S100108,7.33,69.37,45.01,88.68,73.04,74.97,1,45.47,52.26,98.14,4.0,51.75,Average
S100109,6.9,71%,31.35,56.66,35.08,85.71,2,59.54,54.27,76.64,6.0,35.62,At_Risk
S100110,4.51,40.02,22.11,55.81,76.79,59.67,2,35.08,67.15,83.83,72.0,31.93,At_Risk
S100111,6.97,73.63,36.26,76.43,80.92,56.97,1,43.58,79.15,79.39,22.0,52.7,Average
