roll_no,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,last_sync_time
S100000,66.24,3.07,1.97,15.55,01-28-2024
S100001,42.2%,3.9,0.81,18.94,22/01/2024
S100002,0.829,3.96,0.44,17.39,2024-04-06
S100003,97.48,0.92,1.16,6.05,2024-05-03
S100004,95%,2.56,2.03,13.7,03-27-2024
S100005,46.0,1.53,0.05,19.57,2024-02-09
S100006,59%,1.42,0.8,17.93,03-20-2024
S100007,97.7,4.38,6.43,9.53,24/04/2024
S100008,79%,2.49,0.06,17.91,2024-05-09
S100009,51.08,5.0,1.26,21.4,18/02/2024
S100010,65.59,2.6,5.68,8.17,2024-02-06
S100011,97%,5.85,0.03,1.28,03/02/2024
S100012,72.72,1.56,1.69,27.42,2024-04-01
S100013,75.3,1.92,8.0,17.21,2024-04-21
S100014,67.59,2.83,0.61,11.8,2024-04-16
S100015,75.38,2.48,4.95,11.56,2024-05-07
S100016,53.33,3.7,1.24,16.03,2024-05-01
S100017,0.6105,0.0,2.29,22.29,2024-01-29
S100018,79.46,5.72,0.71,4.43,02-22-2024
S100019,91.26,3.61,1.57,12.19,2024-01-26
S100020,87.21,4.7,0.72,26.58,28/05/2024
S100021,84.6%,1.67,1.09,20.77,05-28-2024
S100022,61%,5.34,2.11,20.18,2024-05-15
S100023,63.54,0.32,1.87,17.85,2024-05-01
S100024,74.38,3.87,6.83,17.17,19/05/2024
S100025,81.5%,5.83,0.14,11.72,02/03/2024
S100026,0.782,3.12,5.04,11.09,2024-04-27
S100027,63.8%,3.62,1.23,20.64,2024-04-17
S100028,80.44,4.43,0.55,11.22,2024-05-15
S100029,78%,4.2,0.83,16.99,2024-01-12
S100030,76.62,3.48,1.06,16.06,2024-04-14
S100031,92.08,0.49,3.75,30.34,2024-05-27
S100032,83.9,0.0,0.43,13.88,2024-04-04
S100033,76.31,2.91,0.96,23.18,12/01/2024
S100034,100.0,3.45,0.13,19.95,10/01/2024
S100035,78%,4.63,0.91,14.18,19/05/2024
S100036,91.08,3.18,0.58,6.29,2024-03-18
S100037,83.97,2.63,0.62,14.63,05-05-2024
S100038,0.6816,4.87,1.99,21.29,2024-03-13
S100039,50.58,3.92,0.41,6.43,03-02-2024
S100040,81.7%,2.53,1.64,20.85,14/04/2024
S100041,63.46,3.37,1.48,24.4,2024-04-15
S100042,65%,2.62,2.5,15.67,29/05/2024
S100043,77.99,2.37,3.73,21.4,2024-01-21
S100044,100.0%,4.25,1.41,15.98,2024-03-28
S100045,73.79,2.27,4.17,19.0,2024-02-24
S100046,53.57,3.1,0.38,25.46,27/04/2024
S100047,79.93,4.07,2.26,4.12,03-18-2024
S100048,70.01,2.55,1.93,9.64,04/03/2024
S100049,89.35,4.47,3.56,23.75,04-19-2024
S100050,68.73,6.4,1.25,25.05,2024/05/15 01:41:18
S100051,50.62,0.81,0.53,5.14,2024-05-03
S100052,100.0,3.6,0.08,25.94,2024-04-10
S100053,0.795,1.88,1.27,0.0,24/04/2024
S100054,81.8%,2.91,2.41,19.38,2024-03-06
S100055,79.25,0.0,0.25,16.53,2024-01-25
S100056,66%,3.39,0.11,9.87,22/05/2024
S100057,89.62,3.16,0.56,10.3,2024-05-17
S100058,59%,2.19,0.28,10.56,2024-03-13
S100059,70.82,5.28,0.25,13.57,10/03/2024
S100060,68.7%,2.16,0.36,28.9,2024-04-18
S100061,81%,1.58,4.4,20.76,2024-02-06
S100062,90.32,0.82,1.56,25.04,2024-05-03
S100063,76.2,4.82,1.0,12.75,17/01/2024
S100064,79.45,3.1,1.71,16.61,2024-03-05
S100065,71.06,2.4,0.64,7.5,04/02/2024
S100066,83%,2.85,2.11,13.05,02-05-2024
S100067,65%,1.13,0.53,11.13,20/03/2024
S100068,0.762,2.69,0.53,18.42,01-16-2024
S100069,81.42,3.68,0.33,10.05,01-21-2024
S100070,70.34,3.97,1.03,9.14,2024-04-10
S100071,73.05,4.57,0.09,17.77,22/04/2024
S100072,86.79,2.72,0.67,14.63,2024-01-28
S100073,72.48,4.13,1.56,10.1,2024-05-18
S100074,78.3%,2.33,0.31,9.07,14/03/2024
S100075,82.48,3.41,0.53,10.09,2024-03-12
S100076,79.84,2.34,1.58,20.7,2024-02-06
S100077,66.0,3.54,0.21,17.92,21/04/2024
S100078,83.42,3.59,2.97,9.71,2024-04-18
S100079,74.44,2.31,0.79,9.99,2024-05-18
S100080,83%,3.38,1.08,6.97,03-26-2024
S100081,76.49,1.78,0.31,12.25,2024-03-26
S100082,88.43,0.37,0.19,15.86,08/04/2024
