STUDENT_ID,resume_score,communication_skills,aptitude_score,mock_interview_score,development_projects_count,ai_ml_projects,git_hub_repos,ai_tool_usage_frequency,prompt_engineering_skill
S100000,51.44,48.52,60.42,60.17,3,1,6,5.06,68.58
S100001,47.61,65.98,58.78,,2,1,7,7.97,32.02
S100002,58.79,40.48,68.58,47.85,1,5,1,7.61,68.62
S100003,59.96,56.21,68.1,79.69,0,1,5,1.29,61.16
S100004,47.04,80.17,36.04,63.5,3,2,1,7.89,53.66
S100005,56.03,87.47,57.39,62.48,4,1,3,6.11,79.42
S100006,92.53,21.24,55.77,60.63,1,1,5,7.39,46.68
S100007,47.07,28.27,62.8,79.82,5,0,4,6.3,41.2
S100008,63.73,70.81,33.23,57.94,6,2,1,5.89,32.6
S100009,64.66,73.89,77.33,51.7,3,2,4,10.0,15.08
S100010,42.96,36.01,35.44,68.8,2,0,3,8.65,56.5
S100011,68.26,73.98,55.4,60.5,4,0,4,9.35,45.51
S100012,48.31,69.75,82.18,18.81,4,0,5,10.0,66.92
S100013,33.52,79.49,57.95,42.69,1,2,4,1.07,34.07
S100014,66.14,73.22,60.96,72.4,4,0,3,10.0,49.36
S100015,55.46,45.63,50.78,29.86,2,0,7,2.64,53.29
S100016,51.21,40.17,43.87,51.95,2,0,7,4.88,23.73
S100017,66.26,73.28,74.33,71.46,4,1,5,3.06,16.58
S100018,37.77,63.51,89.22,42.2,2,0,2,8.88,24.71
S100019,40.42,55.83,44.83,28.44,3,0,2,5.48,53.52
S100020,75.2,48.74,40.64,87.69,6,0,4,2.3,43.03
S100021,73.81,63.88,59.8,29.61,1,0,4,8.15,40.87
S100022,21.98,62.46,83.75,35.53,2,2,1,3.7,44.41
S100023,76.36,87.41,50.29,70.93,1,0,4,7.03,73.63
S100024,65.33,66.34,67.69,96.64,3,1,3,2.56,34.79
S100025,29.07,50.46,70.18,28.74,2,0,3,3.0,69.13
S100026,72.73,71.07,44.41,39.88,3,0,3,4.19,76.8
S100027,53.08,52.67,48.0,52.75,2,1,2,5.97,64.29
S100028,41.79,75.97,48.82,48.27,1,1,2,4.48,78.34
