roll_number,hackathons_participated,preferred_domain,career_goal,submitted_at
S100000,0,Data Science,Job,2024-02-13
S100001,0,Cybersecurity,Job,25/12/2023
S100002,2,Product/Management,Job,10/01/2024
S100003,1,AI/ML,Startup/Entrepreneurship,2023/11/24 10:00:36
S100004,1,Web Development,Job,2023-11-27
S100005,0,Web Development,Job,2023-11-19
S100006,1,Cybersecurity,Higher Studies,2023-12-05
S100007,1,AI/ML,Job,2024-01-30
S100008,3,Product/Management,Job,2024-03-04
S100009,1,Web Development,Startup/Entrepreneurship,27/03/2024
S100010,1,Product/Management,Higher Studies,2023-11-11
S100011,1,AI/ML,Startup/Entrepreneurship,2023-12-02
S100012,1,Web Development,Job,2023-11-07
S100013,3,Product/Management,Higher Studies,11-18-2023
S100014,0,Web Development,Job,2023-11-16
S100015,0,Cybersecurity,Job,2024-01-02
S100016,0,Cybersecurity,Job,2024-03-03
S100017,2,Web Development,Job,01/04/2024
S100018,1,Core Engineering,Job,03-25-2024
S100019,1,Data Science,job,2023-12-31
S100020,1,Cybersecurity,Job,10/03/2024
S100021,2,Web Development,Job,20/01/2024
S100022,1,Web Development,Job,2023-12-20
S100023,1,Cybersecurity,Job,2023-11-01
S100024,0,Product/Management,Higher Studies,17/11/2023
S100025,3,Data Science,job,2024-04-13
S100026,0,Product/Management,Startup/Entrepreneurship,2024-03-13
S100027,2,Web Development,Job,01-24-2024
S100028,1,AI/ML,Startup/Entrepreneurship,03-10-2024
S100029,1,Product/Management,Job,2023-11-16
S100030,2,Web Development,Higher Studies,2024/03/20 05:40:26
S100031,0,Web Development,Higher Studies,2023-12-24
S100032,1,AI/ML,Job,2023-12-24
S100033,0,Core Engineering,Job,22/02/2024
S100034,1,Web Development,Job,2023-11-22
S100035,3,Cybersecurity,Startup/Entrepreneurship,25/02/2024
S100036,2,Product/Management,Job,2023/12/24 13:52:23
S100037,0,Cybersecurity,Job,2024-02-16
S100038,0,Data Science,Job,2024-02-21
S100039,0,Data Science,Startup/Entrepreneurship,2023-11-25
S100040,1,AI/ML,Job,2023-12-14
S100041,2,Web Development,Job,2023-11-27
S100042,0,Web Development,Higher Studies,26/01/2024
S100043,1,AI/ML,Job,11-06-2023
S100044,2,Product/Management,Job,2023-12-27
S100045,2,AI/ML,Higher Studies,2024-01-28
S100046,3,Data Science,Job,2024-02-17
S100047,0,Product/Management,Job,2023-11-04
S100048,5,AI/ML,Job,2023-12-03
S100049,1,Data Science,Higher Studies,2024-02-16
S100050,0,Web Development,Job,2024-02-19
S100051,1,Web Development,Job,01-17-2024
S100052,1,Core Engineering,Job,2024-03-16
S100053,3,Web Development,Higher Studies,21/12/2023
S100054,2,Web Development,Startup/Entrepreneurship,13/01/2024
S100055,1,Cybersecurity,Higher Studies,2023-12-04
S100056,3,Cybersecurity,Startup/Entrepreneurship,2024-02-25
S100057,1,Web Development,Job,2024-03-24
S100058,2,Data Science,Higher Studies,2023/12/01 05:05:38
S100059,0,Web Development,Higher Studies,2024-03-19
S100060,3,Core Engineering,Job,2024-03-20
S100061,1,AI/ML,Job,12/04/2024
S100062,2,Cybersecurity,,2023-11-19
S100063,2,Web Development,Job,2024/03/28 03:13:48
S100064,1,AI/ML,Startup/Entrepreneurship,2024-03-20
S100065,1,AI/ML,Higher Studies,2023-11-12
S100066,1,Core Engineering,Job,18/11/2023
S100067,1,Cybersecurity,Job,09/01/2024
S100068,1,Data Science,Higher Studies,30/03/2024
S100069,3,Product/Management,Higher Studies,14/01/2024
S100070,3,Web Development,Job,01-23-2024
S100071,2,Product/Management,Job,06/12/2023
S100072,3,Web Development,Job,2024-03-02
S100073,3,Core Engineering,Higher Studies,2024/03/08 19:20:28
S100074,1,AI/ML,Job,2023/11/10 08:27:28
S100075,2,Data Science,Job,2023-12-25
S100076,1,Cybersecurity,Job,2024-04-13
S100077,0,Data Science,JOB,2024-02-06
S100078,1,Product/Management,Job,11-07-2023
S100079,1,Cybersecurity,Higher Studies,2024-03-05
S100080,2,Cybersecurity,Job,05/02/2024
S100081,1,Product/Management,Job,2023-11-18
S100082,3,Data Science,Job,2023/11/03 17:34:32
S100083,2,Web Development,Higher Studies,2024-04-11
S100084,3,Product/Management,Startup/Entrepreneurship,2024-04-12
S100085,2,Product/Management,Higher Studies,2024-02-02
S100086,1,Core Engineering,Job,2024-04-06
S100087,0,Web Development,Job,2024-03-19
S100088,0,AI/ML,Higher Studies,19/11/2023
S100089,1,Core Engineering,Higher Studies,2024-03-15
S100090,0,Web Development,Job,2023-12-29
S100091,2,AI/ML,Startup/Entrepreneurship,2023-11-03
S100092,0,Data Science,Job,21/11/2023
S100093,1,Product/Management,Job,17/02/2024
S100094,1,Data Science,Higher Studies,2023-12-31
S100095,1,Cybersecurity,Job,18/12/2023
S100096,1,Core Engineering,Job,2024-02-26
S100097,0,Product/Management,Job,2023-11-24
S100098,1,AI/ML,Job,2023-11-21
S100099,3,AI/ML,Job,2024-03-08
S100100,1,Web Development,Higher Studies,2023/11/07 15:42:09
S100101,0,Data Science,Higher Studies,2024-02-18
S100102,1,Cybersecurity,Job,2024-03-02
S100103,0,AI/ML,Job,2024-01-30
S100104,1,Product/Management,Job,2024/02/15 15:54:12
S100105,3,Data Science,Job,28/12/2023
S100106,0,Core Engineering,Higher Studies,2024-03-22
S100107,2,Data Science,,2023-12-04
S100108,0,Web Development,Higher Studies,2024-03-19
S100109,1,Web Development,Higher Studies,16/11/2023
S100110,0,Product/Management,Job,2024-01-27
S100111,0,AI/ML,Job,2024-01-29
S100112,0,Cybersecurity,Job,2023-12-29
S100113,0,Cybersecurity,Startup/Entrepreneurship,2024-01-12
S100114,0,AI/ML,Startup/Entrepreneurship,2023-12-26
S100115,1,Product/Management,Higher Studies,11-06-2023
S100116,1,Data Science,Job,2024-01-26
S100117,0,Product/Management,Job,2024-03-28
S100118,3,Cybersecurity,Job,06/04/2024
S100119,2,,Higher Studies,22/12/2023
S100120,1,,Higher Studies,2023/12/30 05:28:49
S100121,1,AI/ML,Higher Studies,2023-12-05
S100122,1,Data Science,Higher Studies,2023-11-24
S100123,1,Web Development,Job,2024-01-22
S100124,2,Data Science,Higher Studies,2024-01-27
S100125,2,Core Engineering,Job,2024-02-28
S100126,1,Web Development,Higher Studies,2024-02-03
S100127,1,Cybersecurity,Startup/Entrepreneurship,21/02/2024
S100128,1,Data Science,Higher Studies,03/04/2024
S100129,3,Core Engineering,Job,2024-02-28
S100130,0,Data Science,Job,2024-02-08
S100131,1,Core Engineering,Job,2024-03-25
S100132,0,Data Science,Higher Studies,12/04/2024
S100133,2,Web Development,Job,2023-12-05
S100134,0,Web Development,Job,2024-01-05
S100135,3,Data Science,Higher Studies,2024-03-12
S100136,0,Web Development,Job,02/01/2024
S100137,1,Product/Management,Job,04/02/2024
S100138,1,Cybersecurity,Job,2024-01-23
S100139,0,Data Science,JOB,04-02-2024
S100140,3,Core Engineering,Higher Studies,2023-11-19
S100141,0,Product/Management,Job,05/04/2024
S100142,0,Product/Management,Higher Studies,2023-11-17
S100143,1,Core Engineering,Job,01-26-2024
S100144,1,Web Development,Job,2024-03-04
S100145,0,AI/ML,Job,2024-03-05
S100146,0,Data Science,Job,2024/01/29 17:27:14
S100147,2,Data Science,Job,2024-03-24
S100148,1,Web Development,Job,2024-04-09
S100149,1,Product/Management,Startup/Entrepreneurship,2024-02-08
S100150,0,AI/ML,Job,22/11/2023
S100151,1,Cybersecurity,Job,2024/01/13 08:49:27
S100152,0,Data Science,Job,2024-02-15
S100153,3,Cybersecurity,Job,20/12/2023
S100154,2,Product/Management,Job,2024-02-14
S100155,0,Data Science,Job,23/03/2024
S100156,1,Cybersecurity,Startup/Entrepreneurship,2023-12-08
S100157,3,Web Development,Startup/Entrepreneurship,2023/12/23 04:08:32
S100158,1,Core Engineering,Job,2024-02-23
S100159,1,Web Development,Job,2023-11-23
S100160,1,AI/ML,Job,14/02/2024
S100161,0,Data Science,Job,2024-01-13
S100162,1,Core Engineering,Job,2023-11-12
S100163,0,Data Science,Higher Studies,2024-03-26
S100164,2,Core Engineering,Job,2024-03-29
