student_id,previous_cgpa,previous_semester_percentage,previous_internal_marks,previous_assignment_score,previous_midterm_score,attendance_percentage,study_hours_per_week,assignment_completion_rate,practice_questions,previous_subject_avg,weak_subject_count,lowest_subject_score,subject_consistency,sleep_hours,extracurricular_hours,stress_level,backlogs,failed_subjects,next_semester_marks,performance_band
S100000,7.65,69.92,37.79,40.29,57.45,79.18,15.55,84.8,31,91.88,2,65.83,55.52,5.25,0.86,4.32,1,0,47.21,At_Risk
S100001,6.82,63.57,37.27,54.18,81.2,77.23,18.94,96.73,184,75.66,1,57.65,69.7,5.36,3.7,5.96,0,1,68.07,Average
S100002,7.84,72.11,27.51,61.19,61.83,89.42,17.39,57.42,3,61.9,1,51.08,80.49,3.82,0.96,6.51,0,0,58.7,Average
S100003,8.98,85.75,39.64,72.25,66.45,96.39,6.05,100.0,31,63.9,0,46.84,72.74,6.15,4.98,6.18,0,0,61.17,Average
S100004,6.7,68.4,23.08,85.36,76.48,86.24,13.7,84.95,167,78.91,1,48.08,48.62,6.6,0.91,5.19,0,0,67.65,Average
S100005,6.7,60.52,29.77,80.41,64.06,90.14,19.57,81.65,500,63.21,2,51.34,85.87,5.89,1.21,2.78,2,0,56.33,Average
S100006,9.05,90.01,19.01,52.31,35.91,75.39,17.93,65.73,103,50.36,1,26.11,64.83,6.44,8.16,5.7,0,1,53.9,Average
S100007,8.0,72.85,47.47,64.42,81.65,79.5,9.53,70.45,185,73.85,1,45.98,56.62,4.68,0.04,5.75,1,0,58.41,Average
S100008,6.39,57.31,33.15,71.15,85.08,95.83,17.91,74.34,1,84.03,1,69.17,77.75,8.92,9.42,4.41,0,0,63.63,Average
S100009,7.71,76.47,50.0,66.07,35.7,84.32,21.4,58.61,118,67.05,3,54.1,78.49,6.16,6.78,5.56,0,0,58.87,Average
S100010,6.4,64.46,41.42,65.96,48.31,75.1,8.17,75.28,50,77.75,2,52.03,54.13,7.45,9.24,5.03,0,0,47.38,At_Risk
S100011,6.39,64.15,38.58,44.16,97.38,78.39,1.28,66.62,94,60.31,1,52.65,85.8,7.73,0.62,3.26,0,3,41.39,At_Risk
S100012,7.31,64.23,30.31,52.71,68.71,90.45,27.42,90.24,45,69.64,1,47.93,60.58,6.0,0.94,6.43,1,1,63.32,Average
S100013,4.51,41.01,26.63,63.96,65.06,91.51,17.21,34.31,67,69.3,0,37.96,50.41,6.33,0.69,2.78,0,2,38.99,At_Risk
S100014,4.76,48.49,39.18,23.6,58.18,67.89,11.8,76.29,24,63.45,0,40.34,64.38,7.56,1.24,5.65,0,0,40.6,At_Risk
S100015,6.27,59.72,34.43,79.61,48.51,82.35,11.56,65.48,68,55.72,1,39.46,70.54,5.81,0.69,5.81,1,0,45.16,At_Risk
S100016,5.68,49.7,24.29,49.41,61.89,77.91,16.03,80.04,27,58.51,1,30.39,58.88,8.64,4.57,4.72,0,0,51.42,Average
S100017,7.41,72.21,22.87,80.3,80.59,77.21,22.29,100.0,26,59.09,2,43.13,80.65,5.8,16.12,5.66,2,1,54.85,Average
S100018,5.82,52.43,27.33,78.98,64.75,93.96,4.43,100.0,32,62.03,1,49.48,90.71,8.32,4.4,6.13,0,0,37.01,At_Risk
S100019,5.16,56.24,49.57,61.84,74.76,75.15,12.19,72.58,18,66.22,1,58.59,91.84,7.73,10.8,7.81,0,1,48.56,At_Risk
S100020,8.91,90.78,50.0,85.01,93.25,71.09,26.58,77.22,20,69.88,2,38.82,59.22,7.18,2.39,6.98,1,0,85.02,Excellent
S100021,6.71,66.13,36.64,81.15,55.71,68.22,20.77,67.43,215,69.86,3,45.59,62.76,6.96,0.03,3.61,1,1,39.07,At_Risk
S100022,7.09,72.78,36.19,65.37,69.85,75.91,20.18,77.74,48,66.67,1,47.46,65.29,7.58,2.27,7.23,0,0,64.07,Average
S100023,5.15,49.16,32.31,63.67,81.07,69.18,17.85,91.04,76,68.19,6,43.87,57.49,6.54,4.08,8.25,0,1,22.5,At_Risk
S100024,6.29,62.84,27.52,86.46,50.07,67.62,17.17,60.29,68,56.86,0,47.03,84.06,5.67,0.3,5.3,1,0,38.63,At_Risk
S100025,7.14,73.78,46.0,73.48,67.85,67.32,11.72,100.0,25,70.48,1,64.68,90.54,4.53,8.99,10.0,0,0,50.46,Average
S100026,5.5,53.27,49.99,85.67,94.96,68.03,11.09,93.72,0,47.64,1,18.49,61.01,5.87,0.24,4.57,0,1,39.46,At_Risk
S100027,7.49,70.12,27.85,34.17,59.56,68.87,20.64,93.06,9,54.85,1,22.74,49.33,7.44,4.54,5.43,1,1,35.2,At_Risk
S100028,6.22,52.26,34.34,71.48,82.09,82.79,11.22,85.74,142,54.47,2,46.46,88.28,5.9,0.85,5.79,2,0,35.5,At_Risk
S100029,6.62,62.57,31.4,46.34,62.74,54.48,16.99,66.45,9,60.58,2,42.81,73.56,4.07,1.98,6.68,1,1,21.04,At_Risk
S100030,6.22,62.36,31.64,69.61,93.79,69.58,16.06,95.18,19,71.76,3,39.62,44.99,6.08,0.93,7.37,0,1,42.05,At_Risk
S100031,9.41,93.16,44.49,80.71,38.67,76.8,30.34,75.2,195,70.27,1,40.96,58.07,7.38,0.19,9.38,0,0,86.2,Excellent
S100032,6.98,68.35,24.5,96.09,66.04,91.78,13.88,54.67,132,71.55,2,54.46,69.81,4.95,4.09,7.6,2,1,43.66,At_Risk
S100033,5.62,51.27,38.73,55.93,41.34,75.05,23.18,81.19,4,78.52,3,70.65,84.57,6.83,0.25,4.81,0,1,30.1,At_Risk
S100034,8.07,68.75,40.83,62.11,53.79,76.16,19.95,62.61,83,70.35,3,55.66,77.94,5.91,1.54,6.03,2,1,51.26,Average
S100035,5.41,49.44,33.86,68.57,53.69,76.94,14.18,70.92,58,54.91,1,25.54,52.5,6.85,2.11,6.22,0,1,33.69,At_Risk
S100036,7.27,67.86,42.14,55.38,60.73,56.12,6.29,90.6,36,68.39,2,56.3,86.8,7.63,0.97,8.1,2,0,49.47,At_Risk
S100037,4.45,41.05,36.18,84.68,45.99,85.91,14.63,78.21,55,55.87,2,22.95,55.27,8.1,4.22,8.37,0,0,31.45,At_Risk
S100038,5.27,52.57,44.74,68.95,63.85,85.41,21.29,79.44,13,63.65,0,47.72,74.26,8.52,3.43,4.67,2,1,45.07,At_Risk
S100039,7.26,76.87,22.82,71.83,72.37,87.77,6.43,97.53,248,73.17,0,42.59,55.4,7.52,3.97,5.37,0,0,63.92,Average
S100040,7.96,76.11,32.21,79.3,40.49,100.0,20.85,46.16,15,65.8,0,48.0,81.8,7.25,3.37,2.86,1,0,68.23,Average
S100041,7.22,67.75,34.43,68.92,54.84,62.42,24.4,96.87,16,76.36,1,55.37,63.6,4.72,9.29,6.78,0,0,54.0,Average
S100042,6.85,64.03,13.62,57.74,100.0,60.14,15.67,82.21,37,68.11,0,39.22,56.79,5.43,8.2,4.16,1,0,50.82,Average
S100043,6.61,63.28,26.31,69.05,70.27,86.47,21.4,78.96,19,48.31,2,33.85,72.28,8.97,2.05,3.69,2,0,44.47,At_Risk
S100044,5.08,44.93,28.49,57.16,35.92,73.95,15.98,79.43,30,62.87,1,57.54,93.27,6.57,1.59,3.35,1,0,38.61,At_Risk
S100045,6.06,58.09,42.59,71.62,42.59,66.17,19.0,89.6,3,76.26,1,66.04,74.11,6.13,10.1,4.43,0,1,44.0,At_Risk
S100046,6.4,62.61,29.35,84.95,68.61,74.61,25.46,95.39,76,73.93,2,57.66,76.4,5.25,2.1,5.54,0,0,62.51,Average
S100047,8.37,80.39,28.46,52.38,66.61,70.58,4.12,76.45,22,54.07,0,20.4,52.91,7.35,1.13,5.65,0,1,44.56,At_Risk
S100048,7.45,72.57,41.54,47.01,55.6,98.7,9.64,77.99,283,62.02,2,29.21,49.17,6.61,3.61,4.43,0,1,50.21,Average
S100049,4.71,46.46,22.06,70.74,100.0,100.0,23.75,89.13,10,70.69,1,36.91,49.84,5.35,3.52,5.27,0,0,43.44,At_Risk
S100050,7.42,63.41,18.43,58.48,100.0,58.37,25.05,48.53,6,61.21,0,29.72,47.22,5.88,0.16,4.68,2,0,42.43,At_Risk
S100051,6.5,64.29,32.11,70.48,60.77,60.28,5.14,78.52,15,63.59,2,35.78,59.1,6.69,3.7,7.55,1,0,17.49,At_Risk
S100052,6.12,55.46,23.42,74.81,78.97,68.89,25.94,87.47,63,71.24,1,65.79,96.35,7.63,10.93,8.11,1,0,50.7,Average
S100053,7.8,69.67,23.72,37.84,79.77,69.73,0.0,72.6,110,91.82,1,73.58,78.69,5.72,1.39,6.75,2,0,47.99,At_Risk
S100054,8.34,74.82,39.59,80.35,81.89,68.7,19.38,68.02,66,72.03,2,38.01,46.71,8.06,0.7,8.33,0,0,62.57,Average
S100055,8.21,79.74,42.01,52.45,54.76,75.67,16.53,77.71,157,77.01,1,68.68,82.68,7.0,1.88,7.29,0,0,62.06,Average
S100056,5.91,55.25,41.31,69.66,96.03,72.64,9.87,71.23,72,56.47,3,29.58,52.33,6.38,0.13,4.21,3,0,15.73,At_Risk
S100057,6.6,55.95,43.87,60.11,63.9,61.76,10.3,76.32,12,51.82,1,24.54,65.17,5.61,1.13,5.37,1,0,33.9,At_Risk
S100058,7.43,72.5,44.93,61.72,71.75,65.68,10.56,72.92,16,56.62,1,45.19,79.9,7.68,0.2,6.43,3,0,33.63,At_Risk
S100059,8.27,72.79,17.97,95.41,65.03,96.56,13.57,100.0,35,65.72,1,32.87,48.02,7.72,4.76,9.56,3,1,53.99,Average
S100060,6.38,61.14,38.6,74.79,62.77,73.71,28.9,62.91,202,70.95,1,59.51,71.63,7.29,1.09,5.98,0,0,70.99,Good
S100061,6.76,65.16,30.76,83.57,69.45,73.1,20.76,92.52,49,74.25,1,40.94,48.43,6.89,4.13,6.06,0,1,48.54,At_Risk
S100062,5.56,56.38,29.02,72.26,46.03,59.75,25.04,71.19,166,79.59,0,56.57,79.39,5.6,7.11,3.91,1,0,54.09,Average
S100063,5.44,58.85,39.48,79.3,33.46,72.44,12.75,84.89,6,84.35,3,79.1,100.0,5.93,3.33,2.11,0,0,42.63,At_Risk
S100064,8.06,71.08,21.16,76.26,61.59,89.53,16.61,89.71,93,40.96,1,17.62,65.23,5.97,6.73,3.73,0,0,46.21,At_Risk
S100065,8.76,83.04,20.99,73.82,50.91,85.15,7.5,100.0,50,55.25,1,33.59,74.31,4.91,10.03,3.86,0,0,54.11,Average
S100066,6.91,64.51,40.07,86.61,73.76,87.73,13.05,85.89,15,89.62,0,64.95,59.66,6.97,0.82,6.63,2,0,63.24,Average
S100067,8.3,80.63,38.9,72.35,71.94,63.56,11.13,74.05,7,72.54,3,51.84,76.61,6.41,1.16,5.96,2,0,55.91,Average
S100068,7.47,71.83,36.09,100.0,65.22,63.36,18.42,80.99,30,66.61,3,43.78,66.83,6.74,0.13,4.7,1,0,51.35,Average
S100069,6.16,57.12,27.96,84.41,88.71,91.6,10.05,100.0,137,39.03,3,16.27,69.29,8.06,1.6,6.54,0,0,39.9,At_Risk
S100070,7.47,69.2,40.95,52.91,64.9,87.92,9.14,82.45,82,51.16,2,21.29,52.5,4.37,0.07,5.33,1,0,38.63,At_Risk
S100071,9.0,81.03,40.44,67.35,41.67,74.9,17.77,60.38,50,79.5,1,54.67,65.35,6.31,2.58,6.94,2,0,61.31,Average
S100072,6.95,70.01,35.68,75.96,61.42,88.24,14.63,74.25,149,61.91,7,48.65,95.42,6.09,6.37,3.35,2,0,37.52,At_Risk
S100073,9.03,87.66,25.58,70.67,83.74,63.56,10.1,73.86,16,75.08,0,68.62,95.49,7.69,2.09,4.27,0,0,74.94,Good
S100074,3.59,37.82,31.6,80.3,34.85,63.07,9.07,90.95,26,62.79,3,45.68,71.59,5.01,4.78,4.22,0,0,15.59,At_Risk
S100075,8.07,75.41,41.7,81.96,63.5,58.59,10.09,61.67,65,96.37,2,71.74,52.24,6.48,1.06,9.43,1,1,37.76,At_Risk
S100076,7.11,64.95,45.62,49.61,74.21,82.34,20.7,72.38,71,67.43,0,55.68,78.88,6.3,1.36,2.14,0,0,67.83,Average
S100077,6.61,58.49,32.39,89.22,100.0,80.6,17.92,83.2,31,48.63,0,14.46,49.22,5.74,5.47,5.62,1,0,53.56,Average
S100078,7.12,69.07,33.0,62.55,84.33,71.73,9.71,75.79,56,75.55,1,40.91,45.19,6.89,2.46,3.97,0,0,49.12,At_Risk
S100079,4.42,37.79,33.71,61.06,67.12,68.64,9.99,81.36,10,68.97,2,50.3,72.63,6.38,0.31,6.19,1,0,26.59,At_Risk
S100080,6.71,71.18,37.2,61.01,73.33,100.0,6.97,82.21,1,59.91,1,26.0,48.24,5.4,0.24,5.96,0,0,40.69,At_Risk
S100081,7.46,65.68,30.35,82.13,34.64,74.89,12.25,83.22,188,70.61,1,43.28,64.14,5.31,3.34,7.26,1,0,49.48,At_Risk
S100082,8.92,85.85,11.85,65.99,48.2,94.66,15.86,66.1,47,81.6,0,56.91,53.87,4.96,0.73,2.98,1,0,51.1,Average
S100083,6.33,66.37,44.54,60.05,75.42,76.24,8.85,91.96,21,64.89,1,37.11,57.78,6.57,1.1,5.17,0,0,46.57,At_Risk
S100084,5.95,58.91,49.36,63.64,67.58,71.99,30.31,71.97,32,55.59,1,30.12,63.86,6.66,8.89,2.02,1,0,63.36,Average
S100085,6.35,61.01,30.1,43.08,69.62,95.0,19.37,79.83,58,70.69,1,40.82,42.47,5.12,4.96,6.43,0,0,53.63,Average
S100086,8.19,73.93,26.47,57.37,65.55,87.48,14.77,61.82,234,59.65,1,53.96,86.34,7.66,0.23,5.62,1,0,61.37,Average
S100087,7.43,65.03,33.9,51.41,64.92,77.71,15.6,80.6,102,72.26,2,40.21,57.88,5.05,2.58,8.02,1,2,23.55,At_Risk
S100088,6.31,63.04,33.5,65.96,66.65,91.6,5.26,82.85,237,84.47,1,72.2,81.24,5.66,5.31,4.82,1,0,56.58,Average
S100089,7.67,78.86,42.96,79.96,48.1,100.0,6.61,80.54,10,53.15,1,31.76,70.26,7.02,3.15,6.98,0,0,47.44,At_Risk
S100090,7.13,65.94,35.44,78.31,61.34,69.21,24.26,68.3,16,44.0,1,13.36,49.86,7.88,1.56,6.79,1,1,39.72,At_Risk
S100091,8.26,73.91,28.66,88.85,45.09,83.66,26.45,96.92,36,97.8,1,82.83,71.74,7.92,0.32,5.02,2,0,62.09,Average
S100092,6.09,48.0,24.45,85.51,55.09,73.09,0.0,88.75,22,69.73,1,35.11,47.98,7.27,6.78,3.61,0,0,39.59,At_Risk
S100093,6.57,58.53,41.93,62.07,84.13,66.79,18.29,77.92,252,51.8,2,41.09,91.04,4.08,1.71,4.23,1,0,47.1,At_Risk
S100094,6.49,61.2,39.8,70.29,62.11,66.45,24.67,77.78,15,54.98,2,43.66,80.85,6.33,1.53,4.37,0,0,47.21,At_Risk
S100095,5.1,54.82,43.48,69.51,74.53,97.11,12.61,68.93,15,61.83,0,41.63,69.41,5.1,2.74,1.0,0,0,51.45,Average
S100096,7.38,72.85,27.25,37.73,66.84,56.1,25.64,70.66,53,71.93,0,64.61,90.94,6.81,1.05,5.26,0,0,68.97,Average
S100097,7.34,70.94,49.71,51.74,58.84,84.09,20.37,100.0,95,36.58,1,31.1,96.41,3.97,0.78,6.93,1,0,61.14,Average
S100098,7.01,64.96,21.05,67.49,48.86,68.1,18.16,74.63,38,77.08,0,52.14,66.2,5.81,0.81,5.17,1,0,48.02,At_Risk
S100099,6.7,61.27,40.68,67.41,58.6,99.27,13.29,100.0,4,59.07,2,40.27,76.57,5.44,9.52,5.06,1,0,47.84,At_Risk
S100100,5.16,54.64,19.72,77.68,67.93,74.72,15.64,62.61,116,87.28,2,60.96,53.89,6.8,3.35,2.62,0,1,39.04,At_Risk
S100101,6.45,62.11,28.68,76.95,74.28,73.63,11.87,85.53,233,73.02,0,39.35,50.13,6.54,16.25,4.53,0,0,53.6,Average
S100102,6.55,53.86,47.49,43.44,66.96,96.83,17.08,83.39,133,79.63,1,46.34,49.37,4.06,2.34,7.98,2,0,48.41,At_Risk
S100103,5.96,53.9,41.65,77.78,75.39,88.52,16.77,80.54,147,64.96,2,37.51,56.06,5.72,0.36,3.5,0,0,48.19,At_Risk
S100104,6.79,61.08,30.63,72.68,40.68,84.65,11.96,56.12,151,71.19,4,53.25,70.13,7.13,10.99,2.34,1,0,41.46,At_Risk
S100105,7.53,69.3,30.85,79.35,78.87,87.67,1.37,59.43,114,86.0,4,67.33,78.1,5.29,1.98,7.83,0,0,37.59,At_Risk
S100106,9.45,92.05,35.8,86.0,46.95,65.0,13.64,82.93,131,56.92,3,38.07,66.49,8.26,0.41,4.91,1,0,53.15,Average
S100107,7.23,68.23,39.11,67.86,80.74,86.9,7.87,64.64,6,73.75,1,43.0,43.79,8.69,3.42,5.53,0,0,58.29,Average
S100108,7.33,69.37,45.01,88.68,73.04,75.61,7.15,98.14,4,74.97,1,45.47,52.26,5.73,2.47,9.52,0,1,51.75,Average
S100109,6.9,70.83,31.35,56.66,35.08,82.33,10.17,76.64,6,85.71,2,59.54,54.27,6.6,0.75,6.34,1,1,35.62,At_Risk
S100110,4.51,40.02,22.11,55.81,76.79,83.81,20.79,83.83,72,59.67,2,35.08,67.15,8.81,6.49,6.73,0,1,31.93,At_Risk
S100111,6.97,73.63,36.26,76.43,80.92,64.67,7.22,79.39,22,56.97,1,43.58,79.15,7.05,0.18,2.87,0,0,52.7,Average
S100112,7.08,64.56,31.34,64.47,85.13,85.13,8.79,78.98,2,83.46,2,62.68,72.47,7.12,3.54,8.0,2,1,33.62,At_Risk
S100113,10.0,95.36,24.59,73.92,52.7,75.76,19.95,100.0,6,65.07,0,49.89,73.68,5.29,1.14,3.14,1,0,77.38,Good
S100114,6.75,63.0,37.38,99.89,67.87,63.12,9.64,96.27,6,56.31,3,33.99,62.02,7.15,5.44,1.02,1,0,43.98,At_Risk
S100115,7.39,70.72,33.3,75.9,76.11,76.24,7.11,82.31,79,61.56,2,29.11,57.84,5.76,3.45,6.43,0,0,48.78,At_Risk
S100116,6.95,67.85,37.45,73.18,76.78,78.24,20.66,90.12,12,49.99,3,28.42,68.6,7.46,0.6,5.77,2,0,41.91,At_Risk
S100117,5.48,53.8,27.84,56.96,71.55,85.12,14.09,97.6,150,67.64,3,32.71,47.27,5.99,0.61,6.52,1,0,24.03,At_Risk
S100118,8.49,77.6,38.89,44.5,58.17,49.34,15.46,71.03,393,30.55,1,10.57,68.42,6.32,10.32,3.78,0,1,56.43,Average
S100119,7.98,71.29,24.46,68.91,80.81,82.66,13.43,56.68,47,71.46,2,61.32,79.84,5.62,8.01,4.1,2,0,39.94,At_Risk
S100120,8.03,86.28,28.38,86.0,80.9,71.86,17.96,88.3,62,47.96,3,13.57,46.2,4.59,3.73,3.77,1,0,53.93,Average
S100121,5.82,53.33,33.06,65.16,62.53,87.72,19.8,98.69,24,84.49,0,74.39,86.35,6.82,12.82,8.7,0,0,58.41,Average
S100122,8.82,86.62,48.93,76.02,52.46,77.98,14.14,54.28,85,58.83,1,36.53,74.47,5.79,1.21,3.56,1,0,80.35,Good
S100123,5.18,42.76,41.28,91.4,53.35,74.0,4.51,70.91,197,57.24,0,30.44,61.82,6.23,0.77,3.99,1,0,25.88,At_Risk
S100124,7.76,72.63,43.62,91.02,86.84,75.87,17.08,76.38,16,68.55,4,49.02,62.82,7.67,17.17,5.35,0,0,64.21,Average
S100125,9.85,93.04,46.34,76.43,80.21,82.0,12.62,65.26,245,73.11,1,66.83,91.48,5.09,5.55,3.15,0,0,100.0,Excellent
S100126,5.71,56.16,50.0,72.55,64.68,88.89,21.0,77.83,20,68.46,1,44.58,66.22,6.62,0.3,4.64,2,0,42.48,At_Risk
S100127,6.26,48.62,35.33,47.22,61.81,67.31,8.73,63.3,25,46.92,0,12.35,55.44,9.12,2.52,1.31,0,0,28.2,At_Risk
S100128,7.13,68.4,46.36,60.55,36.71,73.88,12.8,75.21,194,69.53,1,44.06,65.15,5.3,3.23,4.54,0,0,54.24,Average
S100129,6.35,55.68,43.1,65.79,63.65,95.63,4.63,90.49,72,66.97,2,43.62,63.13,3.34,1.74,1.0,1,1,33.91,At_Risk
S100130,4.98,48.65,42.97,57.22,45.94,73.67,20.48,48.96,3,66.48,1,43.77,66.45,8.81,7.65,5.04,0,1,33.08,At_Risk
S100131,7.09,63.2,49.19,73.73,67.54,82.41,23.58,64.23,130,75.53,1,59.69,73.44,6.94,10.61,2.94,1,1,81.08,Good
S100132,5.62,49.96,31.65,98.67,83.96,63.19,11.58,100.0,82,57.95,0,44.31,80.22,7.23,1.96,3.01,1,0,47.26,At_Risk
S100133,7.62,71.25,31.01,92.77,49.31,57.43,13.64,67.64,109,53.28,1,26.4,73.68,6.92,0.13,4.38,2,0,46.11,At_Risk
S100134,5.8,50.94,37.56,73.66,68.82,65.52,9.33,41.02,14,75.99,0,62.22,82.3,5.1,6.7,3.87,1,1,30.74,At_Risk
S100135,9.01,83.74,33.54,81.69,80.96,69.72,10.01,82.57,165,42.66,2,10.28,40.13,5.87,0.07,7.86,0,0,51.04,Average
S100136,5.98,52.05,37.55,59.07,68.52,90.48,19.85,78.88,122,71.68,2,60.88,83.61,6.44,7.02,3.53,0,1,46.97,At_Risk
S100137,6.58,55.19,47.5,91.96,56.62,91.79,11.47,82.22,253,52.24,1,18.03,54.87,3.74,2.83,6.07,2,0,38.22,At_Risk
S100138,8.06,80.62,31.17,46.57,65.17,54.9,18.33,80.86,42,86.23,0,68.07,75.86,7.96,2.51,2.0,0,0,75.59,Good
S100139,5.4,46.11,32.56,83.69,80.32,71.51,14.89,99.09,58,49.08,1,41.23,90.21,6.71,1.82,4.75,0,1,34.29,At_Risk
S100140,7.3,68.59,36.39,77.43,69.2,86.37,20.25,69.45,97,49.36,2,43.19,93.59,7.07,6.09,4.6,0,1,54.66,Average
S100141,8.7,85.65,33.17,58.66,64.95,76.74,12.25,78.59,9,98.29,0,68.35,54.22,5.6,6.08,6.2,0,0,69.56,Average
S100142,4.91,44.19,19.69,66.87,83.5,96.05,22.6,73.51,19,84.41,3,63.89,69.15,4.43,10.27,5.65,0,0,46.49,At_Risk
S100143,7.24,65.48,30.36,52.99,73.24,86.08,28.13,90.15,27,57.51,2,46.65,82.54,9.23,7.38,4.67,1,0,60.19,Average
S100144,7.34,70.61,40.5,53.63,45.75,74.79,3.1,91.66,232,51.93,3,39.0,80.29,6.66,4.52,5.27,1,1,33.08,At_Risk
S100145,8.02,80.63,46.5,46.13,75.1,75.86,14.35,85.59,0,55.96,0,48.02,86.75,7.73,0.8,7.7,0,0,62.65,Average
S100146,5.39,46.55,25.76,81.51,80.19,77.32,14.35,100.0,409,72.68,0,59.94,82.56,7.12,0.01,3.84,1,0,58.13,Average
S100147,5.28,49.59,25.73,88.08,45.2,67.85,9.99,88.3,40,71.7,3,64.28,96.19,7.24,2.38,5.18,0,0,37.6,At_Risk
