model_name,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,is_current_production
ACTUAL DEPLOYED MODEL,0.5044,0.4514,0.323,0.3766,0.5232,1896,1509,875,720,True
Logistic Regression,0.519,0.4991,0.3333,0.3997,0.5218,1813,1592,799,796,False
LightGBM,0.5056,0.4878,0.3277,0.392,0.5174,1809,1596,817,778,False
SVM (RBF),0.511,0.4871,0.3321,0.3949,0.5238,1842,1563,818,777,False
Random Forest,0.5058,0.4865,0.3209,0.3867,0.5078,1763,1642,819,776,False
Extra Trees,0.5131,0.4708,0.3265,0.3856,0.5214,1856,1549,844,751,False
XGBoost,0.5014,0.4495,0.3147,0.3703,0.5122,1844,1561,878,717,False
MLP Classifier,0.5076,0.2345,0.3366,0.2764,0.6084,2668,737,1221,374,False
KNN Classifier,0.4987,0.1367,0.3234,0.1922,0.6334,2949,456,1377,218,False
QDA,0.5214,0.0019,0.3,0.0037,0.6802,3398,7,1592,3,False
Naive Bayes,0.51,0.0,0.0,0.0,0.681,3405,0,1595,0,False
AdaBoost,0.5054,0.0,0.0,0.0,0.681,3405,0,1595,0,False
Gradient Boosting,0.5038,0.0,0.0,0.0,0.6804,3402,3,1595,0,False
